,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2006-07,21,POR,NBA,C,63,1392,17.1,.533,.004,.240,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,,2.5,1.0,3.4,.118,,-0.3,-0.6,-0.9,0.4
2,2007-08,22,POR,NBA,PF,76,2649,18.5,.523,.006,.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,,3.5,2.8,6.2,.113,,0.1,0.7,0.8,1.8
3,2008-09,23,POR,NBA,PF,81,3004,19.1,.529,.023,.269,9.5,15.6,12.5,9.3,1.4,2.0,8.0,23.7,,6.1,3.3,9.5,.151,,1.2,0.7,1.9,3.0
4,2009-10,24,POR,NBA,PF,78,2922,18.2,.535,.014,.260,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,,5.5,3.3,8.8,.145,,0.9,0.6,1.6,2.6
5,2010-11,25,POR,NBA,PF,81,3211,21.5,.549,.016,.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,,7.6,3.5,11.1,.166,,1.9,0.5,2.4,3.5
6,2011-12,26,POR,NBA,PF,55,1994,22.7,.560,.012,.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,,5.4,1.6,7.0,.169,,2.7,-0.2,2.4,2.2
7,2012-13,27,POR,NBA,PF,74,2790,20.4,.530,.011,.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,,4.8,2.3,7.2,.124,,0.3,0.5,0.8,2.0
8,2013-14,28,POR,NBA,PF,69,2498,21.8,.507,.011,.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,,4.0,3.5,7.5,.144,,-0.4,0.7,0.3,1.5
9,2014-15,29,POR,NBA,PF,71,2512,22.8,.528,.074,.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,,4.9,3.7,8.6,.165,,0.3,0.0,0.3,1.4
10,2015-16,30,SAS,NBA,PF,74,2261,22.4,.565,.015,.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,,5.6,4.5,10.1,.215,,0.7,1.1,1.8,2.2
11,2016-17,31,SAS,NBA,PF,72,2335,18.6,.532,.053,.258,8.6,16.6,12.7,9.9,1.0,3.1,7.7,24.5,,3.5,3.7,7.3,.149,,-0.3,1.4,1.1,1.8
12,Career,,,NBA,,794,27568,20.3,.534,.023,.270,8.8,19.0,13.9,10.0,1.2,2.3,8.1,25.7,,53.5,33.2,86.7,.151,,0.7,0.5,1.2,22.5
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9 seasons,,POR,NBA,,648,22972,20.3,.532,.021,.269,8.8,18.9,13.8,10.2,1.2,2.2,8.1,25.8,,44.4,25.0,69.4,.145,,0.8,0.4,1.2,18.5
15,2 seasons,,SAS,NBA,,146,4596,20.5,.549,.034,.274,8.9,19.4,14.3,9.1,0.9,2.9,7.7,25.2,,9.1,8.2,17.4,.181,,0.2,1.2,1.4,4.0
