,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2003-04,23,CHI,NBA,SF,41,734,9.6,.394,.163,.182,8.5,19.0,13.6,6.1,2.6,3.2,14.4,15.6,,-0.8,1.1,0.4,.023,,-4.9,2.2,-2.7,-0.1
2,2004-05,24,SAS,NBA,SF,2,15,-3.4,.000,.500,.000,0.0,23.4,11.7,0.0,3.6,0.0,33.3,9.3,,-0.1,0.0,0.0,-0.122,,-13.4,1.9,-11.5,0.0
3,2005-06,25,TOT,NBA,SF,36,524,10.1,.476,.242,.181,8.9,19.1,13.8,4.5,1.2,1.9,14.8,16.8,,-0.2,0.6,0.4,.036,,-3.4,-0.3,-3.7,-0.2
4,2005-06,25,NJN,NBA,SF,9,35,4.4,.468,.000,.400,0.0,23.8,11.7,10.2,3.1,0.0,25.4,21.2,,-0.1,0.1,0.0,-0.065,,-9.9,1.3,-8.6,-0.1
5,2005-06,25,NOK,NBA,SF,27,489,10.5,.476,.259,.165,9.5,18.8,14.0,4.1,1.1,2.0,13.9,16.5,,-0.1,0.5,0.4,.043,,-2.9,-0.4,-3.3,-0.2
6,2006-07,26,NOK,NBA,PF,54,720,14.0,.548,.158,.195,8.2,18.2,13.1,4.0,2.4,2.0,11.6,14.8,,0.8,1.0,1.9,.125,,-1.5,1.0,-0.4,0.3
7,2007-08,27,TOT,NBA,PF,8,63,8.2,.528,.158,.105,9.8,15.2,12.6,9.2,0.0,1.0,20.1,18.0,,0.0,0.0,0.0,.024,,-3.1,-1.8,-5.0,0.0
8,2007-08,27,PHO,NBA,PF,6,53,9.5,.536,.143,.000,11.6,15.8,13.9,7.8,0.0,1.2,12.5,13.5,,0.1,0.0,0.1,.087,,-1.3,-1.3,-2.6,0.0
9,2007-08,27,TOR,NBA,PF,2,10,1.1,.510,.200,.400,0.0,11.9,5.9,16.8,0.0,0.0,33.8,41.9,,-0.1,0.0,-0.1,-0.308,,-12.8,-4.9,-17.7,0.0
10,2008-09,28,TOT,NBA,PF,10,55,3.4,.409,.182,.000,6.3,10.4,8.3,5.3,0.9,0.0,15.4,10.5,,0.0,0.0,0.0,-0.004,,-5.1,-0.9,-6.1,-0.1
11,2008-09,28,CHA,NBA,PF,2,13,-1.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.010,,-6.6,0.7,-5.9,0.0
12,2008-09,28,CHI,NBA,PF,8,42,5.0,.409,.182,.000,8.2,13.6,10.9,6.9,1.2,0.0,15.4,13.8,,0.0,0.0,0.0,-0.008,,-4.7,-1.4,-6.1,0.0
13,Career,,,NBA,,151,2111,10.9,.470,.183,.179,8.4,18.4,13.3,5.0,2.1,2.3,13.9,15.5,,-0.2,2.9,2.6,.059,,-3.4,1.0,-2.4,-0.2
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2 seasons,,NOK,NBA,,81,1209,12.6,.518,.201,.182,8.7,18.4,13.4,4.1,1.9,2.0,12.5,15.5,,0.8,1.5,2.3,.092,,-2.0,0.4,-1.6,0.1
16,2 seasons,,CHI,NBA,,49,776,9.4,.395,.164,.173,8.5,18.7,13.5,6.1,2.5,3.0,14.5,15.5,,-0.8,1.2,0.3,.022,,-4.9,2.0,-2.9,-0.2
17,1 season,,NJN,NBA,,9,35,4.4,.468,.000,.400,0.0,23.8,11.7,10.2,3.1,0.0,25.4,21.2,,-0.1,0.1,0.0,-0.065,,-9.9,1.3,-8.6,-0.1
18,1 season,,PHO,NBA,,6,53,9.5,.536,.143,.000,11.6,15.8,13.9,7.8,0.0,1.2,12.5,13.5,,0.1,0.0,0.1,.087,,-1.3,-1.3,-2.6,0.0
19,1 season,,CHA,NBA,,2,13,-1.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.010,,-6.6,0.7,-5.9,0.0
20,1 season,,SAS,NBA,,2,15,-3.4,.000,.500,.000,0.0,23.4,11.7,0.0,3.6,0.0,33.3,9.3,,-0.1,0.0,0.0,-0.122,,-13.4,1.9,-11.5,0.0
21,1 season,,TOR,NBA,,2,10,1.1,.510,.200,.400,0.0,11.9,5.9,16.8,0.0,0.0,33.8,41.9,,-0.1,0.0,-0.1,-0.308,,-12.8,-4.9,-17.7,0.0
