,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2011-12,23,SAS,NBA,PF,3,15,7.1,.129,.000,.667,7.8,15.0,11.5,8.1,3.4,4.8,0.0,11.8,,0.0,0.0,0.0,-0.028,,-7.1,5.0,-2.1,0.0
2,2012-13,24,TOT,NBA,PF,12,57,13.8,.555,.000,.800,10.0,21.6,15.9,10.3,1.9,2.7,18.2,13.2,,0.1,0.1,0.2,.133,,-2.7,2.2,-0.5,0.0
3,2012-13,24,GSW,NBA,PF,5,21,8.8,.543,.000,4.000,0.0,25.4,13.1,12.1,0.0,3.7,26.6,8.0,,0.0,0.0,0.0,.077,,-6.3,2.3,-4.0,0.0
4,2012-13,24,CHI,NBA,PF,7,36,16.7,.558,.000,.444,15.8,19.4,17.5,9.3,3.0,2.1,15.7,16.3,,0.1,0.1,0.1,.166,,-0.6,2.1,1.5,0.0
5,2013-14,25,TOT,NBA,PF,8,63,4.6,.444,.250,.125,9.0,28.9,19.0,5.1,0.0,3.5,34.8,18.7,,-0.2,0.1,-0.2,-0.132,,-10.4,-1.6,-12.0,-0.2
6,2013-14,25,SAS,NBA,PF,1,15,6.6,.205,.000,.500,7.8,57.8,33.8,0.0,0.0,9.6,17.0,17.7,,-0.1,0.0,0.0,-0.107,,-18.9,-0.7,-19.6,-0.1
7,2013-14,25,UTA,NBA,PF,7,48,4.0,.542,.333,.000,9.3,19.8,14.4,6.7,0.0,1.6,40.0,19.1,,-0.2,0.0,-0.1,-0.140,,-7.7,-2.0,-9.7,-0.1
8,2014-15,26,PHI,NBA,PF,17,194,8.2,.492,.175,.325,8.5,23.5,15.6,6.0,0.8,0.4,22.1,13.2,,-0.1,0.2,0.1,.023,,-6.4,-1.0,-7.4,-0.3
9,Career,,,NBA,,40,329,8.4,.475,.159,.362,8.8,23.8,16.1,6.6,0.9,1.6,23.8,14.2,,-0.3,0.4,0.1,.010,,-6.6,-0.3,-6.9,-0.4
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1 season,,PHI,NBA,,17,194,8.2,.492,.175,.325,8.5,23.5,15.6,6.0,0.8,0.4,22.1,13.2,,-0.1,0.2,0.1,.023,,-6.4,-1.0,-7.4,-0.3
12,1 season,,CHI,NBA,,7,36,16.7,.558,.000,.444,15.8,19.4,17.5,9.3,3.0,2.1,15.7,16.3,,0.1,0.1,0.1,.166,,-0.6,2.1,1.5,0.0
13,1 season,,UTA,NBA,,7,48,4.0,.542,.333,.000,9.3,19.8,14.4,6.7,0.0,1.6,40.0,19.1,,-0.2,0.0,-0.1,-0.140,,-7.7,-2.0,-9.7,-0.1
14,1 season,,GSW,NBA,,5,21,8.8,.543,.000,4.000,0.0,25.4,13.1,12.1,0.0,3.7,26.6,8.0,,0.0,0.0,0.0,.077,,-6.3,2.3,-4.0,0.0
15,2 seasons,,SAS,NBA,,4,30,6.8,.171,.000,.571,7.8,36.4,22.6,4.1,1.7,7.2,10.2,14.8,,-0.1,0.1,0.0,-0.067,,-13.0,2.2,-10.8,-0.1
