,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1996-97,22,CHH,NBA,PF,54,525,13.7,.515,.016,.484,16.7,21.0,18.9,9.6,2.9,2.4,20.9,17.6,,0.3,0.8,1.1,.100,,-1.5,1.8,0.3,0.3
2,1997-98,23,SAS,NBA,PF,53,429,10.1,.485,.022,.449,11.5,12.6,12.1,7.5,2.7,1.2,21.3,22.6,,-0.4,0.8,0.4,.044,,-4.2,0.9,-3.2,-0.1
3,1998-99,24,SAS,NBA,PF,47,608,19.7,.535,.005,.726,17.7,16.0,16.8,8.4,3.6,2.5,17.4,24.6,,1.0,1.6,2.6,.204,,0.7,2.7,3.4,0.8
4,1999-00,25,SAS,NBA,PF,74,1341,13.2,.525,.008,.514,11.8,16.4,14.2,5.7,1.4,2.7,17.3,19.7,,0.9,2.4,3.4,.120,,-2.0,1.3,-0.6,0.5
5,2000-01,26,SAS,NBA,PF,57,1219,14.8,.498,.046,.435,9.3,18.8,14.3,6.6,2.6,2.3,14.4,19.8,,0.7,2.6,3.3,.131,,-1.7,2.5,0.8,0.9
6,2001-02,27,SAS,NBA,PF,82,1725,16.4,.517,.019,.406,11.9,20.6,16.4,6.3,2.2,1.7,15.8,23.9,,1.0,3.4,4.4,.123,,-2.0,0.8,-1.2,0.3
7,2002-03,28,SAS,NBA,PF,79,1933,16.1,.538,.008,.486,9.3,20.5,15.2,11.0,1.6,1.4,18.2,22.4,,1.9,3.3,5.2,.130,,-1.5,1.2,-0.2,0.9
8,2003-04,29,SAS,NBA,PF,67,1256,15.0,.526,.007,.557,9.9,18.5,14.2,9.4,1.5,1.4,18.2,22.6,,1.1,2.7,3.8,.145,,-2.4,1.4,-1.0,0.3
9,2004-05,30,TOT,NBA,PF,76,1475,12.2,.511,.023,.422,10.2,16.9,13.5,6.6,1.7,0.8,16.3,19.6,,0.5,2.1,2.6,.085,,-2.7,0.4,-2.3,-0.1
10,2004-05,30,SAS,NBA,PF,50,862,14.0,.510,.015,.371,12.9,17.9,15.4,8.0,1.9,0.8,15.3,19.8,,0.6,1.7,2.3,.130,,-1.8,1.4,-0.4,0.3
11,2004-05,30,NYK,NBA,PF,26,613,9.5,.511,.034,.500,6.5,15.4,10.9,4.7,1.3,0.9,17.8,19.2,,-0.1,0.4,0.3,.021,,-3.9,-1.1,-5.0,-0.5
12,2005-06,31,NYK,NBA,PF,72,1119,10.2,.466,.004,.488,9.0,19.2,14.1,9.7,2.0,1.0,19.0,17.1,,-0.3,0.8,0.5,.021,,-3.2,0.5,-2.7,-0.2
13,2006-07,32,NYK,NBA,PF,65,810,7.7,.460,.043,.280,7.0,18.6,12.8,12.7,1.7,0.9,23.7,15.3,,-0.6,0.8,0.1,.007,,-4.4,0.8,-3.6,-0.3
14,2007-08,33,NYK,NBA,PF,49,494,7.3,.422,.039,.283,6.9,17.1,11.9,9.3,1.7,1.1,16.5,22.0,,-0.9,0.4,-0.5,-0.052,,-6.2,-1.0,-7.2,-0.6
15,2008-09,34,TOT,NBA,SF-PF,38,470,5.3,.424,.053,.389,4.0,19.5,11.6,11.5,1.1,0.5,19.0,17.7,,-0.8,0.4,-0.4,-0.039,,-6.8,-0.5,-7.3,-0.6
16,2008-09,34,NYK,NBA,PF,18,160,-1.9,.327,.098,.268,2.6,19.1,10.6,8.6,0.3,0.5,27.1,17.1,,-0.6,0.1,-0.6,-0.167,,-11.1,-1.0,-12.1,-0.4
17,2008-09,34,OKC,NBA,SF,20,310,9.0,.465,.033,.444,4.8,19.7,12.1,13.0,1.5,0.5,15.0,18.1,,-0.1,0.3,0.2,.027,,-4.6,-0.2,-4.8,-0.2
18,Career,,,NBA,,813,13404,13.4,.507,.019,.461,10.3,18.5,14.5,8.5,1.9,1.6,17.7,20.7,,4.3,22.2,26.5,.095,,-2.5,1.1,-1.4,1.9
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8 seasons,,SAS,NBA,,509,9373,15.2,.521,.016,.480,11.2,18.6,15.0,8.0,2.0,1.8,17.0,21.9,,6.8,18.7,25.5,.130,,-1.8,1.5,-0.4,3.9
21,5 seasons,,NYK,NBA,,230,3196,8.4,.459,.030,.392,7.4,18.0,12.6,9.4,1.7,0.9,19.7,17.8,,-2.6,2.4,-0.2,-0.003,,-4.5,0.0,-4.5,-2.0
22,1 season,,CHH,NBA,,54,525,13.7,.515,.016,.484,16.7,21.0,18.9,9.6,2.9,2.4,20.9,17.6,,0.3,0.8,1.1,.100,,-1.5,1.8,0.3,0.3
23,1 season,,OKC,NBA,,20,310,9.0,.465,.033,.444,4.8,19.7,12.1,13.0,1.5,0.5,15.0,18.1,,-0.1,0.3,0.2,.027,,-4.6,-0.2,-4.8,-0.2
