,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2007-08,21,GSW,NBA,PG,33,241,8.2,.490,.441,.097,1.3,5.1,3.1,8.8,1.0,0.0,11.0,19.1,,0.0,0.0,0.0,-0.002,,-2.8,-4.3,-7.2,-0.3
2,2008-09,22,GSW,NBA,SG,42,882,11.8,.547,.413,.164,1.2,7.5,4.4,15.3,2.0,0.1,14.8,19.3,,0.4,0.1,0.5,.028,,-0.2,-3.0,-3.2,-0.3
3,2009-10,23,TOR,NBA,SG,66,1121,12.6,.543,.417,.319,1.5,8.3,5.0,11.8,1.9,0.3,12.2,20.1,,0.9,0.2,1.2,.049,,0.4,-2.6,-2.2,-0.1
4,2010-11,24,NOH,NBA,SG,80,1957,12.1,.560,.469,.181,1.1,8.4,4.7,8.0,1.1,0.3,9.4,20.0,,1.9,1.5,3.4,.084,,0.7,-1.7,-1.1,0.5
5,2011-12,25,NOH,NBA,SG,66,1966,11.9,.525,.414,.188,1.2,9.1,5.2,8.9,1.3,0.2,8.5,19.5,,1.9,1.0,2.9,.071,,0.5,-1.8,-1.4,0.3
6,2012-13,26,CHI,NBA,SG,73,1882,10.4,.513,.362,.275,0.8,7.8,4.3,12.9,1.3,0.2,10.7,18.7,,1.3,1.6,3.0,.076,,-1.1,-1.6,-2.7,-0.3
7,2013-14,27,SAS,NBA,SF,80,2016,15.0,.605,.422,.188,1.0,11.2,6.3,13.2,1.3,0.3,11.2,19.0,,3.5,2.4,5.9,.140,,1.9,-0.3,1.7,1.9
8,2014-15,28,SAS,NBA,SG,62,1388,12.4,.553,.489,.211,2.2,10.5,6.4,10.3,1.1,0.2,10.6,18.8,,1.5,1.4,2.9,.100,,0.6,-1.1,-0.5,0.5
9,2015-16,29,SAC,NBA,SG,68,1672,9.4,.500,.468,.217,0.7,6.9,3.8,11.1,1.1,0.1,10.3,19.7,,0.2,0.3,0.5,.014,,-1.3,-2.9,-4.2,-0.9
10,2016-17,30,CHO,NBA,SG,74,1778,13.3,.566,.460,.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,,2.0,1.2,3.2,.088,,0.1,-2.0,-1.9,0.1
11,Career,,,NBA,,644,14903,12.1,.545,.436,.220,1.1,8.9,5.1,11.3,1.3,0.2,10.5,19.4,,13.6,9.9,23.4,.076,,0.2,-1.8,-1.7,1.3
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2 seasons,,NOH,NBA,,146,3923,12.0,.543,.442,.184,1.1,8.8,5.0,8.5,1.2,0.2,8.9,19.8,,3.8,2.5,6.3,.077,,0.6,-1.8,-1.2,0.8
14,2 seasons,,SAS,NBA,,142,3404,14.0,.584,.449,.197,1.5,10.9,6.4,12.0,1.2,0.2,11.0,18.9,,5.0,3.8,8.8,.124,,1.4,-0.6,0.8,2.4
15,2 seasons,,GSW,NBA,,75,1123,11.0,.535,.420,.149,1.2,7.0,4.1,13.9,1.8,0.1,14.0,19.3,,0.4,0.2,0.5,.022,,-0.8,-3.3,-4.1,-0.6
16,1 season,,CHO,NBA,,74,1778,13.3,.566,.460,.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,,2.0,1.2,3.2,.088,,0.1,-2.0,-1.9,0.1
17,1 season,,CHI,NBA,,73,1882,10.4,.513,.362,.275,0.8,7.8,4.3,12.9,1.3,0.2,10.7,18.7,,1.3,1.6,3.0,.076,,-1.1,-1.6,-2.7,-0.3
18,1 season,,SAC,NBA,,68,1672,9.4,.500,.468,.217,0.7,6.9,3.8,11.1,1.1,0.1,10.3,19.7,,0.2,0.3,0.5,.014,,-1.3,-2.9,-4.2,-0.9
19,1 season,,TOR,NBA,,66,1121,12.6,.543,.417,.319,1.5,8.3,5.0,11.8,1.9,0.3,12.2,20.1,,0.9,0.2,1.2,.049,,0.4,-2.6,-2.2,-0.1
