,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1990-91,27,TOT,NBA,SF-SG,33,644,12.9,.598,.063,.560,7.9,10.9,9.4,9.0,1.4,0.9,13.1,14.2,,1.3,0.3,1.6,.122,,0.5,-0.5,-0.1,0.3
2,1990-91,27,PHI,NBA,SG,3,20,-3.6,.381,.286,.286,0.0,5.5,2.8,7.0,0.0,0.0,27.6,23.8,,-0.1,0.0,-0.1,-0.247,,-11.3,-4.8,-16.1,-0.1
3,1990-91,27,GSW,NBA,SF,30,624,13.4,.607,.053,.572,8.1,11.1,9.6,9.1,1.4,1.0,12.4,13.9,,1.4,0.3,1.7,.134,,0.9,-0.4,0.5,0.4
4,1991-92,28,GSW,NBA,SG,79,1677,13.7,.615,.165,.429,4.6,10.1,7.4,12.7,1.9,0.5,14.1,14.0,,3.4,1.1,4.4,.127,,1.3,-0.3,1.0,1.3
5,1992-93,29,POR,NBA,SF,82,1757,14.2,.573,.246,.408,3.6,10.1,6.7,14.2,2.0,0.7,12.6,16.6,,3.0,2.1,5.1,.139,,0.5,0.3,0.8,1.2
6,1993-94,30,HOU,NBA,SF,67,1606,13.4,.575,.358,.384,2.1,10.0,6.3,19.1,1.6,0.3,16.7,18.0,,2.1,2.0,4.2,.125,,0.0,-0.2,-0.2,0.7
7,1994-95,31,HOU,NBA,SF,81,1896,13.7,.631,.413,.351,3.2,8.4,5.9,14.8,1.7,0.4,15.6,15.8,,3.4,1.4,4.8,.122,,1.1,-0.9,0.2,1.1
8,1995-96,32,HOU,NBA,SF,45,1385,14.6,.612,.356,.322,3.9,8.6,6.3,15.4,1.7,0.6,12.6,15.1,,2.8,1.0,3.8,.133,,1.6,-0.5,1.1,1.1
9,1996-97,33,HOU,NBA,SF,78,2687,14.3,.662,.489,.395,2.7,7.2,5.1,17.6,1.8,0.3,16.4,13.9,,6.3,2.6,8.9,.159,,2.4,0.1,2.5,3.1
10,1997-98,34,HOU,NBA,SF,73,1988,12.9,.575,.414,.382,2.3,6.9,4.6,17.4,2.1,0.3,15.8,14.4,,3.2,0.6,3.8,.092,,0.8,-1.2,-0.4,0.8
11,1998-99,35,SAS,NBA,SG,47,1291,14.5,.593,.323,.360,3.3,8.3,6.0,11.5,1.9,0.6,13.7,16.0,,2.6,1.9,4.5,.169,,1.7,1.1,2.8,1.6
12,1999-00,36,SAS,NBA,SF,79,2217,10.4,.565,.407,.326,2.6,9.9,6.4,13.3,1.7,0.3,19.9,13.6,,1.5,3.0,4.6,.099,,0.0,1.3,1.3,1.8
13,2000-01,37,PHO,NBA,SG,68,1506,9.3,.541,.407,.280,2.8,9.0,5.8,12.9,2.0,0.6,17.8,10.0,,1.1,2.0,3.1,.097,,-1.6,1.5,-0.2,0.7
14,Career,,,NBA,,732,18654,13.1,.598,.350,.377,3.2,8.8,6.1,14.9,1.8,0.5,15.5,14.7,,30.7,18.2,48.9,.126,,0.8,0.1,0.9,13.7
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5 seasons,,HOU,NBA,,344,9562,13.8,.614,.413,.370,2.8,8.1,5.5,16.9,1.8,0.4,15.6,15.3,,17.9,7.7,25.6,.128,,1.3,-0.5,0.8,6.8
17,2 seasons,,SAS,NBA,,126,3508,11.9,.577,.372,.340,2.9,9.3,6.2,12.6,1.8,0.4,17.4,14.5,,4.1,5.0,9.1,.125,,0.6,1.3,1.9,3.4
18,2 seasons,,GSW,NBA,,109,2301,13.6,.613,.135,.467,5.5,10.4,8.0,11.7,1.8,0.6,13.7,14.0,,4.8,1.4,6.2,.129,,1.2,-0.3,0.9,1.7
19,1 season,,POR,NBA,,82,1757,14.2,.573,.246,.408,3.6,10.1,6.7,14.2,2.0,0.7,12.6,16.6,,3.0,2.1,5.1,.139,,0.5,0.3,0.8,1.2
20,1 season,,PHO,NBA,,68,1506,9.3,.541,.407,.280,2.8,9.0,5.8,12.9,2.0,0.6,17.8,10.0,,1.1,2.0,3.1,.097,,-1.6,1.5,-0.2,0.7
21,1 season,,PHI,NBA,,3,20,-3.6,.381,.286,.286,0.0,5.5,2.8,7.0,0.0,0.0,27.6,23.8,,-0.1,0.0,-0.1,-0.247,,-11.3,-4.8,-16.1,-0.1
