,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1988-89,23,POR,NBA,PF,56,803,9.1,.505,.000,.279,8.5,15.9,12.1,5.3,1.2,0.5,12.9,15.3,,0.4,0.7,1.1,.063,,-2.9,-1.2,-4.1,-0.4
2,1989-90,24,POR,NBA,PF,58,562,9.1,.480,.000,.327,10.3,18.0,14.1,3.0,1.5,1.0,12.5,14.0,,0.2,0.9,1.0,.088,,-3.4,0.3,-3.1,-0.2
3,1990-91,25,POR,NBA,PF,53,781,11.2,.550,.005,.498,9.3,17.5,13.5,4.5,0.9,0.9,11.8,14.6,,1.0,1.1,2.1,.129,,-1.8,-0.1,-1.9,0.0
4,1991-92,26,POR,NBA,PF,56,800,11.3,.512,.015,.303,11.9,15.5,13.7,6.8,1.6,0.6,11.8,12.9,,0.9,1.2,2.1,.125,,-1.2,0.9,-0.3,0.3
5,1992-93,27,POR,NBA,C,80,1396,11.2,.547,.003,.400,10.0,15.5,12.7,4.1,1.3,1.0,13.0,14.7,,1.5,1.8,3.2,.111,,-2.0,0.0,-2.0,0.0
6,1993-94,28,POR,NBA,C,79,1441,9.9,.514,.003,.271,8.5,15.6,11.9,3.5,1.1,1.3,13.3,14.0,,0.9,1.4,2.3,.076,,-2.8,-0.2,-3.0,-0.4
7,1994-95,29,POR,NBA,PF,49,658,13.2,.555,.010,.328,9.0,19.1,13.8,6.4,1.5,1.8,15.1,16.6,,0.6,1.0,1.6,.116,,-2.2,0.7,-1.5,0.1
8,1995-96,30,HOU,NBA,PF,71,1587,13.1,.583,.004,.397,9.6,15.3,12.5,5.2,1.0,0.9,14.0,17.3,,2.1,1.4,3.6,.107,,-1.6,-1.2,-2.8,-0.3
9,1996-97,31,PHO,NBA,PF,41,1018,13.3,.589,.000,.393,7.7,16.5,12.2,7.2,1.1,0.4,12.5,16.3,,1.6,0.7,2.3,.109,,-0.6,-0.5,-1.1,0.2
10,1997-98,32,PHO,NBA,C,70,1110,10.2,.545,.004,.422,9.9,15.6,12.8,6.0,1.7,1.0,17.9,13.3,,1.0,1.6,2.5,.109,,-2.1,1.0,-1.1,0.2
11,1998-99,33,CHI,NBA,PF,45,1204,12.1,.513,.003,.316,8.6,14.4,11.4,8.0,1.5,1.0,14.6,18.1,,0.5,1.0,1.5,.060,,-2.4,-0.3,-2.7,-0.2
12,1999-00,34,CLE,NBA,PF,75,1712,8.9,.547,.000,.272,8.1,14.9,11.5,5.5,0.9,1.3,18.3,12.0,,1.0,1.4,2.4,.067,,-2.6,0.6,-2.0,0.0
13,2000-01,35,DAL,NBA,PF,18,101,2.1,.428,.000,.250,4.5,18.3,11.6,4.2,0.5,1.4,18.4,12.2,,-0.1,0.1,0.0,.005,,-6.2,-0.5,-6.6,-0.1
14,2001-02,36,SAS,NBA,PF,30,206,11.5,.478,.000,.145,14.4,10.3,12.3,7.9,1.8,0.7,9.3,14.6,,0.3,0.3,0.6,.133,,-0.5,0.5,-0.1,0.1
15,2002-03,37,TOT,NBA,PF,16,100,0.4,.313,.000,.211,9.2,14.3,11.7,5.9,0.5,0.8,25.2,12.5,,-0.2,0.1,-0.1,-0.068,,-8.2,-1.5,-9.7,-0.2
16,2002-03,37,PHI,NBA,PF,11,77,1.5,.336,.000,.118,10.5,14.0,12.2,1.9,0.7,1.0,21.9,13.3,,-0.1,0.1,-0.1,-0.057,,-7.5,-1.8,-9.3,-0.1
17,2002-03,37,DEN,NBA,PF,3,14,-5.0,.266,.000,2.000,7.9,8.7,8.3,21.0,0.0,0.0,51.5,12.3,,-0.1,0.0,0.0,-0.161,,-10.7,-1.4,-12.1,0.0
18,2002-03,37,BOS,NBA,PF,2,9,-1.1,.000,.000,.000,0.0,25.9,12.6,16.3,0.0,0.0,0.0,5.2,,0.0,0.0,0.0,-0.019,,-10.4,0.6,-9.8,0.0
19,Career,,,NBA,,797,13479,10.9,.538,.003,.344,9.2,15.8,12.5,5.5,1.2,1.0,14.2,14.9,,11.6,14.5,26.1,.093,,-2.2,-0.1,-2.2,-0.8
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7 seasons,,POR,NBA,,431,6441,10.7,.526,.005,.341,9.6,16.4,12.9,4.6,1.3,1.0,13.0,14.5,,5.5,7.9,13.4,.100,,-2.3,0.0,-2.3,-0.5
22,2 seasons,,PHO,NBA,,111,2128,11.7,.569,.002,.406,8.9,16.0,12.5,6.6,1.4,0.7,15.0,14.7,,2.6,2.2,4.8,.109,,-1.4,0.3,-1.1,0.5
23,1 season,,CLE,NBA,,75,1712,8.9,.547,.000,.272,8.1,14.9,11.5,5.5,0.9,1.3,18.3,12.0,,1.0,1.4,2.4,.067,,-2.6,0.6,-2.0,0.0
24,1 season,,HOU,NBA,,71,1587,13.1,.583,.004,.397,9.6,15.3,12.5,5.2,1.0,0.9,14.0,17.3,,2.1,1.4,3.6,.107,,-1.6,-1.2,-2.8,-0.3
25,1 season,,CHI,NBA,,45,1204,12.1,.513,.003,.316,8.6,14.4,11.4,8.0,1.5,1.0,14.6,18.1,,0.5,1.0,1.5,.060,,-2.4,-0.3,-2.7,-0.2
26,1 season,,SAS,NBA,,30,206,11.5,.478,.000,.145,14.4,10.3,12.3,7.9,1.8,0.7,9.3,14.6,,0.3,0.3,0.6,.133,,-0.5,0.5,-0.1,0.1
27,1 season,,DAL,NBA,,18,101,2.1,.428,.000,.250,4.5,18.3,11.6,4.2,0.5,1.4,18.4,12.2,,-0.1,0.1,0.0,.005,,-6.2,-0.5,-6.6,-0.1
28,1 season,,PHI,NBA,,11,77,1.5,.336,.000,.118,10.5,14.0,12.2,1.9,0.7,1.0,21.9,13.3,,-0.1,0.1,-0.1,-0.057,,-7.5,-1.8,-9.3,-0.1
29,1 season,,DEN,NBA,,3,14,-5.0,.266,.000,2.000,7.9,8.7,8.3,21.0,0.0,0.0,51.5,12.3,,-0.1,0.0,0.0,-0.161,,-10.7,-1.4,-12.1,0.0
30,1 season,,BOS,NBA,,2,9,-1.1,.000,.000,.000,0.0,25.9,12.6,16.3,0.0,0.0,0.0,5.2,,0.0,0.0,0.0,-0.019,,-10.4,0.6,-9.8,0.0
