,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2003-04,23,TOT,NBA,SG,16,70,3.8,.510,.188,.375,1.6,8.2,4.9,4.6,0.8,0.0,24.4,16.5,,-0.1,0.0,0.0,-0.033,,-6.2,-2.7,-8.9,-0.1
2,2003-04,23,POR,NBA,SG,13,48,6.2,.547,.273,.182,0.0,7.4,3.7,3.4,0.0,0.0,14.4,13.7,,0.0,0.0,0.0,.011,,-4.2,-4.2,-8.4,-0.1
3,2003-04,23,SAS,NBA,SG,3,22,-1.5,.444,.000,.800,5.1,10.0,7.6,7.2,2.4,0.0,37.2,22.6,,-0.1,0.0,-0.1,-0.129,,-10.6,0.7,-9.8,0.0
4,2004-05,24,CHA,NBA,SG,25,430,14.7,.517,.217,.461,3.3,13.2,8.0,6.8,2.1,0.4,10.4,24.9,,0.4,0.3,0.7,.078,,-1.2,-2.4,-3.6,-0.2
5,2005-06,25,CHA,NBA,SG,78,1275,13.9,.540,.389,.353,2.9,12.0,7.1,4.6,1.9,0.7,8.0,20.8,,1.6,1.0,2.6,.097,,-0.4,-2.1,-2.5,-0.2
6,2006-07,26,CHA,NBA,SG,72,1878,14.6,.580,.406,.316,2.1,11.2,6.5,8.2,1.5,0.4,8.9,19.9,,3.4,1.2,4.6,.117,,1.4,-1.7,-0.3,0.8
7,2007-08,27,CHA,NBA,SG,80,2016,10.7,.554,.409,.234,1.9,11.1,6.4,5.8,1.2,0.7,8.2,16.1,,1.9,1.0,3.0,.071,,-0.7,-1.5,-2.2,-0.1
8,2008-09,28,TOT,NBA,SG,55,616,5.5,.451,.310,.146,1.4,12.2,6.8,7.2,1.8,0.8,15.3,16.4,,-0.8,0.7,-0.1,-0.008,,-5.2,-0.2,-5.4,-0.5
9,2008-09,28,CHA,NBA,SG,34,475,7.0,.475,.326,.138,1.3,12.9,7.2,8.4,2.1,0.9,15.1,17.1,,-0.5,0.6,0.1,.015,,-4.5,0.2,-4.3,-0.3
10,2008-09,28,DAL,NBA,SG,21,141,0.5,.351,.242,.182,1.6,9.7,5.7,2.9,1.1,0.5,16.4,13.9,,-0.3,0.1,-0.2,-0.084,,-7.8,-1.2,-9.0,-0.2
11,2009-10,29,DAL,NBA,SG,25,121,7.1,.437,.380,.120,3.8,7.5,5.7,7.7,2.1,0.0,11.7,22.7,,-0.2,0.1,-0.1,-0.029,,-4.1,-2.5,-6.6,-0.1
12,2010-11,30,CHA,NBA,SG,54,582,12.2,.530,.231,.261,2.5,11.7,7.1,6.9,1.6,0.8,9.4,19.8,,0.3,0.5,0.8,.062,,-2.3,-2.0,-4.3,-0.3
13,2011-12,31,CHA,NBA,SG,53,596,5.6,.409,.274,.242,1.5,10.0,5.6,10.6,1.4,0.9,12.1,15.3,,-0.7,0.1,-0.6,-0.051,,-5.3,-2.1,-7.3,-0.8
14,2012-13,32,CHA,NBA,SG,1,6,2.9,,,,0.0,0.0,0.0,23.4,0.0,0.0,,0.0,,0.0,0.0,0.0,.029,,-7.6,-7.8,-15.4,0.0
15,Career,,,NBA,,459,7590,11.6,.535,.359,.290,2.2,11.3,6.6,6.9,1.5,0.6,9.5,18.7,,5.9,4.9,10.7,.068,,-1.1,-1.7,-2.8,-1.6
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8 seasons,,CHA,NBA,,397,7258,12.0,.540,.361,.295,2.2,11.5,6.7,7.0,1.5,0.6,9.3,18.7,,6.5,4.6,11.1,.073,,-0.9,-1.7,-2.6,-1.1
18,2 seasons,,DAL,NBA,,46,262,3.5,.402,.325,.145,2.7,8.7,5.7,5.2,1.6,0.3,13.7,17.9,,-0.5,0.2,-0.3,-0.058,,-6.1,-1.8,-7.9,-0.4
19,1 season,,POR,NBA,,13,48,6.2,.547,.273,.182,0.0,7.4,3.7,3.4,0.0,0.0,14.4,13.7,,0.0,0.0,0.0,.011,,-4.2,-4.2,-8.4,-0.1
20,1 season,,SAS,NBA,,3,22,-1.5,.444,.000,.800,5.1,10.0,7.6,7.2,2.4,0.0,37.2,22.6,,-0.1,0.0,-0.1,-0.129,,-10.6,0.7,-9.8,0.0
