,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2002-03,24,LAC,NBA,C,52,802,10.8,.540,.000,.398,9.1,15.4,12.3,3.1,0.7,2.8,18.6,15.1,,0.4,0.4,0.8,.048,,-3.4,-0.9,-4.4,-0.5
2,2003-04,25,LAC,NBA,PF,42,510,11.1,.458,.007,.275,10.6,11.9,11.3,7.4,0.9,2.4,10.4,16.6,,0.3,0.1,0.4,.039,,-2.1,-1.7,-3.7,-0.2
3,2004-05,26,CHA,NBA,PF,79,1649,10.5,.465,.000,.403,9.3,13.5,11.3,7.6,1.0,3.1,15.7,19.7,,-1.1,1.2,0.1,.004,,-3.7,0.3,-3.3,-0.6
4,2005-06,27,CHA,NBA,PF,57,1348,14.3,.550,.005,.452,7.6,16.8,11.9,9.7,1.1,2.5,16.4,20.1,,0.8,1.2,2.0,.072,,-2.0,0.6,-1.4,0.2
5,2006-07,28,TOT,NBA,PF-C,30,309,5.2,.442,.000,.588,5.7,14.8,10.2,9.0,1.0,2.0,21.8,19.1,,-0.6,0.3,-0.3,-0.039,,-7.1,-0.1,-7.2,-0.4
6,2006-07,28,CHA,NBA,PF,24,244,4.8,.464,.000,.583,5.7,13.5,9.5,8.9,0.4,1.9,23.4,18.3,,-0.4,0.1,-0.2,-0.047,,-6.9,-0.9,-7.8,-0.4
7,2006-07,28,SAS,NBA,C,6,65,6.7,.376,.000,.600,5.8,19.7,13.0,9.2,3.3,2.3,16.5,22.1,,-0.2,0.2,0.0,-0.009,,-8.0,3.0,-5.0,0.0
8,2007-08,29,NOH,NBA,C,52,621,9.0,.491,.000,.322,5.1,22.6,13.6,5.4,0.6,2.3,17.0,18.5,,-0.5,0.8,0.3,.022,,-6.2,0.1,-6.0,-0.6
9,2008-09,30,NOH,NBA,C,31,373,6.0,.438,.000,.379,9.7,11.0,10.4,7.6,0.3,2.0,17.2,17.3,,-0.3,0.3,-0.1,-0.008,,-5.6,-0.7,-6.2,-0.4
10,2010-11,32,DEN,NBA,C,30,366,8.3,.573,.000,.412,8.8,14.4,11.7,5.3,0.5,2.3,18.9,9.0,,0.3,0.3,0.6,.083,,-2.0,1.0,-1.0,0.1
11,2013-14,35,NOP,NBA,C,2,27,3.9,.500,.000,.000,0.0,4.4,2.2,0.0,0.0,3.1,0.0,10.1,,0.0,0.0,0.0,.011,,-4.9,-2.8,-7.6,0.0
12,Career,,,NBA,,375,6005,10.6,.497,.002,.401,8.3,15.2,11.7,7.1,0.9,2.6,16.4,17.9,,-0.6,4.6,4.0,.032,,-3.6,0.0,-3.6,-2.4
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3 seasons,,CHA,NBA,,160,3241,11.7,.501,.002,.434,8.3,14.9,11.4,8.6,1.0,2.8,16.5,19.8,,-0.6,2.5,1.9,.028,,-3.2,0.4,-2.9,-0.7
15,2 seasons,,LAC,NBA,,94,1312,11.0,.504,.003,.342,9.7,14.1,11.9,4.8,0.8,2.7,15.2,15.7,,0.7,0.5,1.2,.045,,-2.9,-1.2,-4.1,-0.7
16,3 seasons,,"NOH,NOP",NBA,,85,1021,7.8,.473,.000,.335,6.7,17.9,12.1,6.0,0.5,2.2,16.8,17.9,,-0.9,1.1,0.2,.011,,-5.9,-0.2,-6.1,-1.1
17,1 season,,DEN,NBA,,30,366,8.3,.573,.000,.412,8.8,14.4,11.7,5.3,0.5,2.3,18.9,9.0,,0.3,0.3,0.6,.083,,-2.0,1.0,-1.0,0.1
18,1 season,,SAS,NBA,,6,65,6.7,.376,.000,.600,5.8,19.7,13.0,9.2,3.3,2.3,16.5,22.1,,-0.2,0.2,0.0,-0.009,,-8.0,3.0,-5.0,0.0
