,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1995-96,22,PHO,NBA,SF,82,3212,14.0,.551,.191,.331,5.1,8.3,6.7,13.9,1.4,0.7,10.6,17.3,,5.0,1.3,6.3,.095,,1.6,-0.5,1.1,2.5
2,1996-97,23,TOT,NBA,SF,83,2790,14.5,.530,.261,.229,3.6,11.9,7.8,14.3,1.3,0.7,12.2,22.0,,2.3,1.6,3.9,.067,,0.3,-0.9,-0.7,0.9
3,1996-97,23,PHO,NBA,SF,27,796,14.6,.538,.185,.232,5.0,12.5,8.8,13.9,1.2,0.4,11.8,21.0,,0.8,0.4,1.2,.074,,0.1,-1.1,-1.0,0.2
4,1996-97,23,DAL,NBA,SF,56,1994,14.5,.527,.291,.227,3.1,11.7,7.3,14.4,1.4,0.8,12.4,22.4,,1.5,1.1,2.7,.064,,0.3,-0.9,-0.5,0.7
5,1997-98,24,DAL,NBA,SF,82,3394,19.3,.522,.162,.276,4.8,9.6,7.2,22.7,2.1,0.6,11.5,25.7,,5.5,2.0,7.5,.106,,3.2,-0.8,2.4,3.7
6,1998-99,25,DAL,NBA,SF,50,2051,19.2,.517,.155,.258,3.8,10.7,7.2,19.9,1.7,0.5,9.9,24.2,,4.4,0.9,5.4,.126,,3.5,-0.9,2.6,2.4
7,1999-00,26,DAL,NBA,SF,82,3464,19.2,.522,.151,.194,3.8,12.2,8.0,21.3,1.6,0.6,9.9,25.1,,6.4,1.9,8.3,.114,,3.0,-0.7,2.4,3.8
8,2000-01,27,DAL,NBA,SF,82,3443,18.2,.521,.169,.209,3.6,10.0,6.9,18.3,1.8,0.7,10.1,24.9,,5.6,2.9,8.5,.119,,2.5,-0.2,2.3,3.7
9,2001-02,28,DAL,NBA,SF,69,2754,17.6,.532,.182,.204,3.7,10.7,7.3,14.0,1.2,0.6,8.0,23.9,,5.3,1.0,6.3,.110,,2.3,-1.3,1.0,2.1
10,2002-03,29,DAL,NBA,SF,69,2642,17.6,.514,.270,.193,4.5,12.3,8.4,12.8,1.5,0.6,8.1,24.2,,4.3,2.5,6.7,.123,,2.2,-0.6,1.6,2.4
11,2003-04,30,DAL,NBA,SG,72,2778,17.8,.539,.319,.167,3.0,9.9,6.4,11.7,1.6,1.0,6.3,20.9,,7.0,0.5,7.6,.131,,3.8,-1.5,2.3,3.0
12,2004-05,31,DAL,NBA,SG,64,2358,14.3,.519,.314,.150,2.2,10.1,6.2,11.7,1.1,0.6,5.8,19.5,,3.6,1.9,5.5,.112,,1.7,-0.7,1.0,1.8
13,2005-06,32,SAS,NBA,SG,77,2038,12.7,.523,.401,.165,1.8,12.2,7.2,9.3,1.0,0.2,7.7,18.9,,2.0,2.9,5.0,.117,,-0.1,-0.3,-0.4,0.8
14,2006-07,33,SAS,NBA,SF,82,1823,13.7,.524,.431,.148,2.3,12.0,7.4,9.7,0.9,0.6,6.1,19.6,,2.1,2.6,4.7,.125,,0.1,-0.6,-0.4,0.7
15,2007-08,34,SAS,NBA,SG,82,2204,11.4,.519,.469,.105,1.5,12.0,6.8,8.6,0.7,0.3,6.6,18.5,,1.3,2.9,4.2,.091,,-0.6,-0.4,-1.0,0.5
16,2008-09,35,SAS,NBA,SF,81,2336,11.4,.547,.463,.090,1.3,12.3,6.9,7.7,0.9,0.5,7.8,16.1,,1.6,2.8,4.4,.091,,-0.6,0.1,-0.5,0.9
17,2009-10,36,TOT,NBA,SF,46,709,9.0,.530,.446,.082,1.0,10.7,6.0,9.2,0.7,0.6,9.9,13.8,,0.3,0.7,1.0,.066,,-1.9,-0.7,-2.6,-0.1
18,2009-10,36,SAS,NBA,SF,25,395,6.5,.461,.423,.093,1.5,9.6,5.6,6.8,0.8,0.7,11.4,13.2,,-0.2,0.4,0.2,.026,,-3.4,-0.2,-3.7,-0.2
19,2009-10,36,BOS,NBA,SF,21,314,12.1,.608,.471,.069,0.4,12.2,6.4,12.2,0.7,0.5,8.2,14.6,,0.4,0.3,0.8,.115,,0.0,-1.3,-1.3,0.1
20,Career,,,NBA,,1103,37996,16.0,.527,.257,.201,3.3,10.9,7.2,14.5,1.4,0.6,9.0,21.7,,56.9,28.3,85.2,.108,,1.7,-0.7,1.0,29.2
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9 seasons,,DAL,NBA,,626,24878,17.7,.524,.214,.210,3.7,10.8,7.2,16.7,1.6,0.7,9.3,23.6,,43.8,14.6,58.4,.113,,2.6,-0.8,1.8,23.7
23,5 seasons,,SAS,NBA,,347,8796,12.0,.526,.441,.125,1.7,12.0,7.0,8.7,0.9,0.5,7.2,18.0,,6.9,11.6,18.5,.101,,-0.5,-0.3,-0.7,2.8
24,2 seasons,,PHO,NBA,,109,4008,14.1,.548,.189,.308,5.1,9.2,7.1,13.9,1.3,0.7,10.9,18.1,,5.8,1.7,7.6,.091,,1.3,-0.6,0.7,2.7
25,1 season,,BOS,NBA,,21,314,12.1,.608,.471,.069,0.4,12.2,6.4,12.2,0.7,0.5,8.2,14.6,,0.4,0.3,0.8,.115,,0.0,-1.3,-1.3,0.1
