,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2002-03,23,TOT,NBA,PG-SG,46,688,9.3,.436,.236,.318,3.4,8.1,5.9,19.4,2.1,0.4,14.2,13.0,,0.3,0.4,0.7,.049,,-2.1,-1.0,-3.1,-0.2
2,2002-03,23,ATL,NBA,SG,15,364,9.4,.453,.210,.358,2.9,9.6,6.4,18.1,2.3,0.2,14.6,13.8,,0.1,0.2,0.3,.042,,-2.0,-0.8,-2.9,-0.1
3,2002-03,23,MIN,NBA,PG,31,324,9.1,.414,.269,.269,4.0,6.5,5.2,21.0,1.8,0.7,13.8,12.2,,0.2,0.2,0.4,.056,,-2.2,-1.2,-3.4,-0.1
4,2003-04,24,HOU,NBA,PG,26,145,14.4,.606,.278,.333,2.6,10.1,6.5,20.6,1.1,0.0,14.5,15.9,,0.4,0.2,0.5,.169,,0.0,-1.9,-1.9,0.0
5,2004-05,25,SAS,NBA,PG,48,278,11.0,.482,.208,.208,1.7,8.8,5.3,19.1,2.7,0.3,14.3,16.4,,0.1,0.5,0.6,.099,,-2.7,0.5,-2.2,0.0
6,2005-06,26,TOT,NBA,PG,47,348,5.8,.398,.211,.456,3.1,10.4,6.7,13.9,2.1,0.2,18.2,17.3,,-0.5,0.2,-0.3,-0.042,,-5.3,-1.0,-6.3,-0.4
7,2005-06,26,CLE,NBA,PG,37,243,2.0,.327,.237,.203,2.9,10.3,6.6,11.2,1.8,0.3,18.9,15.1,,-0.6,0.2,-0.4,-0.075,,-7.0,-0.4,-7.3,-0.3
8,2005-06,26,SEA,NBA,PG,10,105,14.6,.503,.161,.935,3.4,10.5,6.9,20.2,3.0,0.0,17.1,22.5,,0.1,0.0,0.1,.035,,-1.4,-2.4,-3.8,0.0
9,2006-07,27,SEA,NBA,PG,47,534,12.7,.533,.106,.298,3.3,8.8,6.1,22.9,1.5,0.6,16.3,16.2,,0.6,0.1,0.8,.070,,-1.2,-2.0,-3.2,-0.2
10,2007-08,28,TOT,NBA,PG,15,188,8.6,.543,.222,.111,3.0,8.3,5.6,11.3,2.4,0.0,19.2,10.7,,0.0,0.2,0.2,.052,,-2.6,-0.4,-2.9,0.0
11,2007-08,28,DEN,NBA,PG,8,122,6.4,.503,.217,.087,3.6,7.0,5.3,6.6,2.0,0.0,17.3,10.1,,0.0,0.1,0.1,.032,,-3.3,-0.3,-3.6,0.0
12,2007-08,28,WAS,NBA,PG,4,44,10.1,.625,.500,.000,2.6,13.7,8.0,9.7,3.7,0.0,20.0,5.2,,0.0,0.0,0.1,.094,,-1.4,1.6,0.2,0.0
13,2007-08,28,SEA,NBA,PG,3,22,17.7,.607,.111,.222,0.0,4.9,2.5,40.5,2.3,0.0,23.3,25.3,,0.0,0.0,0.0,.074,,-0.6,-4.9,-5.6,0.0
14,2009-10,30,OKC,NBA,PG,4,59,5.9,.581,.250,.333,2.0,5.7,3.9,10.1,0.0,0.0,22.5,13.5,,0.0,0.0,0.0,.023,,-3.6,-2.6,-6.2,-0.1
15,Career,,,NBA,,233,2240,10.0,.482,.196,.307,3.0,8.8,5.9,18.5,1.9,0.3,16.0,14.9,,0.9,1.6,2.5,.053,,-2.4,-1.1,-3.5,-0.8
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4 seasons,,"SEA,OKC",NBA,,64,720,12.6,.533,.124,.399,3.1,8.7,5.9,22.0,1.6,0.4,17.2,17.2,,0.7,0.2,0.9,.061,,-1.4,-2.2,-3.6,-0.3
18,1 season,,SAS,NBA,,48,278,11.0,.482,.208,.208,1.7,8.8,5.3,19.1,2.7,0.3,14.3,16.4,,0.1,0.5,0.6,.099,,-2.7,0.5,-2.2,0.0
19,1 season,,CLE,NBA,,37,243,2.0,.327,.237,.203,2.9,10.3,6.6,11.2,1.8,0.3,18.9,15.1,,-0.6,0.2,-0.4,-0.075,,-7.0,-0.4,-7.3,-0.3
20,1 season,,MIN,NBA,,31,324,9.1,.414,.269,.269,4.0,6.5,5.2,21.0,1.8,0.7,13.8,12.2,,0.2,0.2,0.4,.056,,-2.2,-1.2,-3.4,-0.1
21,1 season,,HOU,NBA,,26,145,14.4,.606,.278,.333,2.6,10.1,6.5,20.6,1.1,0.0,14.5,15.9,,0.4,0.2,0.5,.169,,0.0,-1.9,-1.9,0.0
22,1 season,,ATL,NBA,,15,364,9.4,.453,.210,.358,2.9,9.6,6.4,18.1,2.3,0.2,14.6,13.8,,0.1,0.2,0.3,.042,,-2.0,-0.8,-2.9,-0.1
23,1 season,,DEN,NBA,,8,122,6.4,.503,.217,.087,3.6,7.0,5.3,6.6,2.0,0.0,17.3,10.1,,0.0,0.1,0.1,.032,,-3.3,-0.3,-3.6,0.0
24,1 season,,WAS,NBA,,4,44,10.1,.625,.500,.000,2.6,13.7,8.0,9.7,3.7,0.0,20.0,5.2,,0.0,0.0,0.1,.094,,-1.4,1.6,0.2,0.0
