,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1998-99,21,PHI,NBA,C,26,121,10.0,.410,.000,.500,17.0,18.6,17.8,3.0,2.2,2.6,19.0,23.7,,-0.2,0.2,0.0,.013,,-6.0,-1.5,-7.5,-0.2
2,1999-00,22,PHI,NBA,C,28,190,7.0,.424,.000,.407,9.2,20.1,14.5,1.6,1.1,4.6,22.0,18.9,,-0.4,0.3,-0.1,-0.016,,-8.4,0.4,-8.1,-0.3
3,2000-01,23,TOT,NBA,C,58,912,19.2,.520,.003,.341,14.1,23.6,18.8,3.9,1.7,2.8,13.1,24.0,,1.1,1.4,2.5,.129,,-1.5,-0.9,-2.4,-0.1
4,2000-01,23,PHI,NBA,C,30,196,15.3,.478,.000,.318,10.6,20.9,15.9,2.0,1.6,2.6,8.2,25.2,,0.1,0.4,0.5,.116,,-3.9,-2.4,-6.3,-0.2
5,2000-01,23,ATL,NBA,C,28,716,20.3,.532,.004,.349,15.0,24.3,19.6,4.4,1.7,2.8,14.5,23.7,,1.0,1.0,2.0,.133,,-0.9,-0.5,-1.4,0.1
6,2001-02,24,ATL,NBA,C,82,2168,14.0,.490,.001,.311,12.7,21.6,17.1,2.6,1.5,2.1,12.7,19.4,,0.9,2.4,3.3,.072,,-3.0,-1.0,-4.1,-1.1
7,2002-03,25,ATL,NBA,C,35,445,12.4,.452,.000,.258,12.5,20.2,16.5,2.4,1.9,3.3,12.4,20.8,,-0.1,0.5,0.4,.045,,-4.9,-1.8,-6.6,-0.5
8,2003-04,26,TOT,NBA,C,80,1611,16.1,.542,.000,.358,12.8,20.7,16.8,4.0,1.8,2.4,14.9,18.3,,1.8,1.9,3.7,.110,,-1.5,-0.4,-1.9,0.1
9,2003-04,26,ATL,NBA,C,53,938,14.8,.525,.000,.393,12.3,19.8,16.1,3.8,1.2,2.1,14.3,18.6,,0.9,0.8,1.7,.087,,-2.4,-1.8,-4.2,-0.5
10,2003-04,26,NYK,NBA,C,27,673,18.1,.567,.000,.307,13.4,22.0,17.8,4.2,2.6,2.8,15.8,17.9,,0.9,1.1,2.0,.144,,-0.3,1.6,1.4,0.6
11,2004-05,27,TOT,NBA,C,77,1933,16.4,.521,.002,.377,14.9,20.7,17.8,2.9,1.6,3.3,13.3,19.2,,2.0,2.6,4.6,.115,,-1.7,0.3,-1.4,0.3
12,2004-05,27,NYK,NBA,C,54,1519,17.0,.550,.002,.372,13.0,21.0,17.0,2.9,1.8,2.7,13.1,18.5,,2.1,1.7,3.8,.120,,-1.1,0.1,-1.0,0.4
13,2004-05,27,SAS,NBA,C,23,414,14.2,.426,.000,.394,22.0,19.5,20.8,3.2,0.7,5.8,13.9,21.8,,-0.1,0.9,0.8,.095,,-4.0,1.2,-2.8,-0.1
14,2005-06,28,SAS,NBA,C,80,1389,15.0,.560,.000,.382,14.2,21.2,17.8,4.7,0.8,2.5,17.1,18.3,,1.7,2.8,4.5,.156,,-2.0,1.0,-1.0,0.4
15,2006-07,29,DET,NBA,C,51,773,16.5,.554,.000,.369,13.7,21.5,17.6,2.0,1.9,4.0,14.3,18.5,,0.9,1.5,2.3,.145,,-2.3,0.5,-1.8,0.0
16,2007-08,30,TOT,NBA,C,82,1650,15.8,.533,.002,.309,13.5,21.1,17.3,7.6,1.4,2.8,14.4,19.5,,1.3,2.0,3.4,.098,,-1.6,0.7,-0.9,0.5
17,2007-08,30,DET,NBA,C,21,228,13.1,.478,.017,.508,15.1,23.2,19.1,4.1,1.7,2.8,13.2,17.2,,0.1,0.5,0.5,.112,,-3.1,1.0,-2.1,0.0
18,2007-08,30,CHA,NBA,C,61,1422,16.2,.540,.000,.284,13.3,20.8,17.0,8.1,1.4,2.8,14.6,19.9,,1.3,1.6,2.8,.096,,-1.3,0.7,-0.7,0.5
19,2008-09,31,CHA,NBA,C,39,341,7.7,.438,.000,.396,12.8,15.9,14.3,3.9,0.8,3.9,16.2,19.6,,-0.4,0.5,0.0,.004,,-6.4,-0.1,-6.5,-0.4
20,2009-10,32,CHA,NBA,C,58,984,19.6,.578,.000,.365,14.2,22.9,18.6,5.4,0.8,3.6,11.8,21.3,,1.8,1.8,3.6,.174,,-1.0,0.3,-0.7,0.3
21,2010-11,33,TOT,NBA,C,75,1280,15.9,.538,.002,.250,13.2,21.2,17.2,3.3,1.2,3.5,12.3,20.6,,1.0,1.6,2.7,.100,,-2.5,-0.8,-3.3,-0.4
22,2010-11,33,CHA,NBA,C,51,851,15.9,.520,.003,.278,13.3,22.6,17.9,3.7,0.9,4.4,12.5,22.4,,0.3,1.1,1.4,.080,,-3.3,-0.8,-4.1,-0.5
23,2010-11,33,OKC,NBA,C,24,429,16.0,.583,.000,.183,13.0,18.5,15.8,2.4,1.9,1.7,11.8,17.0,,0.7,0.5,1.2,.139,,-0.7,-1.0,-1.7,0.0
24,2011-12,34,OKC,NBA,C,63,692,11.0,.477,.006,.136,10.4,17.1,14.0,3.1,1.5,3.9,12.7,13.4,,0.3,1.0,1.3,.090,,-3.1,0.9,-2.2,0.0
25,2012-13,35,CHI,NBA,C,63,693,10.8,.414,.011,.261,12.0,20.4,16.2,5.8,1.6,3.5,10.7,14.9,,0.0,1.2,1.2,.082,,-4.6,1.8,-2.8,-0.1
26,2013-14,36,CHI,NBA,C,80,562,10.1,.445,.000,.238,13.6,21.7,17.7,5.8,1.3,4.1,21.0,14.5,,-0.4,1.2,0.8,.070,,-6.0,2.6,-3.3,-0.2
27,2014-15,37,CHI,NBA,C,23,128,8.7,.431,.000,.100,9.6,22.3,16.1,3.6,1.6,2.8,18.3,13.4,,-0.1,0.2,0.1,.040,,-6.1,0.9,-5.3,-0.1
28,2015-16,38,OKC,NBA,C,5,19,6.0,.680,.000,.400,6.1,16.3,11.5,0.0,0.0,0.0,33.8,19.9,,0.0,0.0,0.0,-0.009,,-7.4,-5.9,-13.2,-0.1
29,Career,,,NBA,,1005,15891,15.0,.516,.002,.324,13.3,21.0,17.2,4.0,1.4,3.0,14.0,19.0,,11.1,23.2,34.3,.104,,-2.6,0.1,-2.5,-2.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4 seasons,,CHA,NBA,,209,3598,16.2,.537,.001,.314,13.5,21.3,17.4,5.9,1.1,3.5,13.4,20.8,,2.9,4.9,7.8,.105,,-2.2,0.1,-2.0,0.0
32,4 seasons,,ATL,NBA,,198,4267,15.1,.501,.001,.329,13.0,21.5,17.3,3.1,1.5,2.3,13.4,20.1,,2.7,4.7,7.4,.083,,-2.7,-1.2,-3.9,-2.1
33,3 seasons,,CHI,NBA,,166,1383,10.4,.427,.006,.238,12.4,21.1,16.8,5.6,1.5,3.7,15.5,14.6,,-0.6,2.7,2.1,.073,,-5.3,2.0,-3.3,-0.4
34,2 seasons,,SAS,NBA,,103,1803,14.8,.523,.000,.385,16.0,20.8,18.5,4.3,0.8,3.3,16.3,19.1,,1.6,3.7,5.3,.142,,-2.5,1.1,-1.4,0.3
35,3 seasons,,OKC,NBA,,92,1140,12.8,.527,.003,.161,11.3,17.6,14.7,2.8,1.6,3.0,12.8,14.9,,1.0,1.5,2.5,.107,,-2.3,0.1,-2.2,-0.1
36,3 seasons,,PHI,NBA,,84,507,10.9,.446,.000,.386,11.6,20.1,15.8,2.1,1.6,3.4,15.3,22.5,,-0.5,0.9,0.4,.042,,-6.1,-1.1,-7.2,-0.7
37,2 seasons,,NYK,NBA,,81,2192,17.4,.555,.002,.353,13.1,21.3,17.2,3.3,2.1,2.7,13.9,18.3,,3.0,2.8,5.8,.127,,-0.8,0.6,-0.3,1.0
38,2 seasons,,DET,NBA,,72,1001,15.7,.537,.004,.399,14.0,21.9,17.9,2.5,1.9,3.7,14.1,18.2,,0.9,1.9,2.9,.137,,-2.5,0.6,-1.9,0.0
