,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1993-94,22,LAL,NBA,PG,81,2700,13.6,.485,.347,.183,1.8,8.0,4.8,25.4,1.6,0.2,11.3,19.9,,2.7,0.7,3.4,.061,,1.1,-2.5,-1.4,0.4
2,1994-95,23,LAL,NBA,PG,80,2944,16.3,.544,.462,.271,1.0,7.4,4.2,33.6,1.7,0.1,15.1,21.3,,5.0,1.3,6.4,.104,,2.7,-3.0,-0.3,1.2
3,1995-96,24,LAL,NBA,PG,74,2513,15.9,.528,.424,.215,1.4,6.9,4.2,30.7,1.4,0.3,13.0,21.4,,4.2,1.6,5.7,.109,,2.3,-2.7,-0.4,1.0
4,1996-97,25,LAL,NBA,PG,79,2937,16.0,.518,.435,.186,1.7,7.0,4.4,37.5,1.3,0.3,15.4,21.0,,5.0,2.2,7.2,.118,,2.3,-2.6,-0.3,1.2
5,1997-98,26,LAL,NBA,PG,64,2053,17.8,.538,.425,.231,1.8,8.8,5.3,33.5,1.6,0.2,11.3,19.8,,5.6,1.5,7.1,.166,,3.8,-2.4,1.4,1.8
6,1998-99,27,DEN,NBA,PG,50,1802,16.7,.488,.304,.228,0.9,6.6,3.6,38.6,1.2,0.1,12.5,24.3,,3.2,-1.0,2.2,.058,,2.7,-4.8,-2.1,0.0
7,1999-00,28,DEN,NBA,PG,79,2950,16.0,.483,.331,.198,1.2,10.3,5.7,39.7,1.2,0.3,14.4,22.7,,3.7,1.2,4.9,.079,,2.2,-2.4,-0.3,1.3
8,2000-01,29,DEN,NBA,PG,71,2688,18.5,.515,.322,.224,1.8,8.1,4.9,38.4,1.2,0.5,11.9,23.0,,6.1,0.3,6.4,.114,,4.0,-2.9,1.1,2.1
9,2001-02,30,TOT,NBA,PG-SG,72,2496,17.8,.495,.285,.205,1.2,10.5,5.8,35.1,0.9,0.3,10.5,26.8,,3.9,0.4,4.4,.084,,3.6,-2.9,0.7,1.7
10,2001-02,30,DEN,NBA,PG,45,1739,18.4,.488,.276,.191,1.2,10.3,5.5,40.2,0.9,0.3,10.5,28.4,,2.7,0.2,2.9,.080,,4.4,-3.0,1.3,1.5
11,2001-02,30,DAL,NBA,SG,27,757,16.3,.513,.312,.245,1.3,11.0,6.2,23.5,1.0,0.4,10.3,23.2,,1.3,0.2,1.5,.093,,1.7,-2.4,-0.7,0.2
12,2002-03,31,DAL,NBA,SG,73,2026,15.6,.510,.375,.173,1.9,9.4,5.7,24.4,1.1,0.1,12.1,22.8,,2.6,1.3,4.0,.094,,1.8,-2.1,-0.3,0.9
13,2003-04,32,GSW,NBA,PG,39,1255,13.1,.469,.313,.207,1.4,7.9,4.7,28.5,0.9,0.1,13.0,22.1,,0.8,0.4,1.2,.045,,0.3,-2.7,-2.4,-0.1
14,2004-05,33,POR,NBA,SG,53,1619,12.5,.494,.458,.132,1.5,9.7,5.7,23.3,1.5,0.0,13.4,19.5,,0.9,0.7,1.6,.049,,0.4,-2.2,-1.8,0.1
15,2005-06,34,SAS,NBA,PG,65,986,11.0,.492,.449,.120,0.7,9.9,5.5,20.2,0.9,0.2,13.6,20.2,,0.1,1.3,1.4,.070,,-1.4,-1.4,-2.8,-0.2
16,Career,,,NBA,,880,28969,15.8,.507,.373,.204,1.4,8.4,4.9,32.6,1.3,0.2,12.9,22.0,,43.9,12.0,55.9,.093,,2.3,-2.7,-0.4,11.4
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5 seasons,,LAL,NBA,,378,13147,15.8,.522,.419,.217,1.5,7.5,4.5,32.2,1.5,0.2,13.4,20.7,,22.5,7.3,29.8,.109,,2.4,-2.7,-0.3,5.7
19,4 seasons,,DEN,NBA,,245,9179,17.3,.494,.311,.209,1.3,8.9,5.0,39.2,1.1,0.3,12.5,24.2,,15.7,0.7,16.4,.086,,3.2,-3.2,0.1,4.8
20,2 seasons,,DAL,NBA,,100,2783,15.8,.511,.358,.193,1.7,9.8,5.8,24.2,1.0,0.2,11.6,22.9,,3.9,1.5,5.4,.094,,1.8,-2.2,-0.4,1.1
21,1 season,,SAS,NBA,,65,986,11.0,.492,.449,.120,0.7,9.9,5.5,20.2,0.9,0.2,13.6,20.2,,0.1,1.3,1.4,.070,,-1.4,-1.4,-2.8,-0.2
22,1 season,,POR,NBA,,53,1619,12.5,.494,.458,.132,1.5,9.7,5.7,23.3,1.5,0.0,13.4,19.5,,0.9,0.7,1.6,.049,,0.4,-2.2,-1.8,0.1
23,1 season,,GSW,NBA,,39,1255,13.1,.469,.313,.207,1.4,7.9,4.7,28.5,0.9,0.1,13.0,22.1,,0.8,0.4,1.2,.045,,0.3,-2.7,-2.4,-0.1
