,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2009-10,24,UTA,NBA,SG,14,73,13.6,.495,.000,.655,13.3,17.4,15.4,2.1,2.8,0.0,13.8,26.7,,0.0,0.1,0.1,.067,,-5.0,-3.5,-8.5,-0.1
2,2010-11,25,TOT,NBA,SG,17,322,13.3,.546,.062,.708,8.5,15.4,11.9,9.3,2.7,0.0,14.1,13.6,,0.4,0.3,0.7,.097,,-0.9,0.4,-0.5,0.1
3,2010-11,25,SAS,NBA,SG,1,8,-0.5,.333,.000,.000,0.0,28.4,14.5,18.6,0.0,0.0,25.0,23.0,,0.0,0.0,0.0,-0.183,,-12.4,-0.6,-13.0,0.0
4,2010-11,25,WAS,NBA,SG,16,314,13.7,.553,.065,.742,8.8,15.1,11.8,9.0,2.8,0.0,13.6,13.4,,0.4,0.3,0.7,.104,,-0.6,0.4,-0.2,0.1
5,2013-14,28,TOT,NBA,SG,6,47,6.9,.580,.333,.667,2.5,18.7,10.7,2.8,0.0,0.0,11.4,8.3,,0.0,0.0,0.1,.082,,-3.7,-1.5,-5.2,0.0
6,2013-14,28,SAS,NBA,SG,4,34,8.9,.595,.200,.400,3.5,15.9,9.9,3.9,0.0,0.0,0.0,7.8,,0.1,0.0,0.1,.121,,-1.9,-0.7,-2.6,0.0
7,2013-14,28,MIN,NBA,SG,2,13,1.7,.532,1.000,2.000,0.0,25.8,12.6,0.0,0.0,0.0,34.7,9.4,,0.0,0.0,0.0,-0.020,,-8.3,-3.7,-12.0,0.0
8,Career,,,NBA,,37,442,12.7,.533,.060,.690,8.7,16.1,12.3,7.4,2.4,0.0,13.9,15.2,,0.4,0.4,0.8,.091,,-1.9,-0.5,-2.3,0.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1 season,,WAS,NBA,,16,314,13.7,.553,.065,.742,8.8,15.1,11.8,9.0,2.8,0.0,13.6,13.4,,0.4,0.3,0.7,.104,,-0.6,0.4,-0.2,0.1
11,1 season,,UTA,NBA,,14,73,13.6,.495,.000,.655,13.3,17.4,15.4,2.1,2.8,0.0,13.8,26.7,,0.0,0.1,0.1,.067,,-5.0,-3.5,-8.5,-0.1
12,2 seasons,,SAS,NBA,,5,42,7.1,.507,.125,.250,2.8,18.3,10.8,6.7,0.0,0.0,10.1,10.7,,0.0,0.0,0.1,.063,,-3.9,-0.7,-4.6,0.0
13,1 season,,MIN,NBA,,2,13,1.7,.532,1.000,2.000,0.0,25.8,12.6,0.0,0.0,0.0,34.7,9.4,,0.0,0.0,0.0,-0.020,,-8.3,-3.7,-12.0,0.0
