,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2013-14,23,TOT,NBA,PG,2,13,13.8,.500,.333,.000,0.0,8.8,4.3,0.0,7.9,0.0,0.0,10.3,,0.0,0.0,0.0,.131,,-2.4,3.5,1.1,0.0
2,2013-14,23,MEM,NBA,PG,1,4,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.006,,-5.8,0.6,-5.2,0.0
3,2013-14,23,CLE,NBA,PG,1,9,19.9,.500,.333,.000,0.0,12.8,6.2,0.0,11.5,0.0,0.0,14.9,,0.0,0.0,0.0,.187,,-0.9,4.8,3.9,0.0
4,2014-15,24,PHO,NBA,PG,2,8,-11.4,.000,.333,.000,0.0,27.7,13.7,15.6,0.0,0.0,0.0,16.5,,-0.1,0.0,0.0,-0.298,,-14.3,-1.6,-15.9,0.0
5,2015-16,25,SAC,NBA,PG,44,692,13.8,.603,.496,.241,1.4,7.9,4.7,14.2,1.5,0.4,12.7,17.4,,1.2,0.2,1.4,.097,,0.9,-2.4,-1.5,0.1
6,2016-17,26,DAL,NBA,PG,70,2029,15.5,.601,.458,.142,1.4,9.2,5.1,15.9,2.0,0.3,11.0,19.5,,2.9,1.7,4.6,.109,,1.8,-0.4,1.4,1.7
7,Career,,,NBA,,118,2742,15.0,.600,.466,.165,1.4,8.9,5.0,15.4,1.9,0.3,11.3,18.9,,4.0,2.0,6.0,.105,,1.5,-0.9,0.6,1.8
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1 season,,DAL,NBA,,70,2029,15.5,.601,.458,.142,1.4,9.2,5.1,15.9,2.0,0.3,11.0,19.5,,2.9,1.7,4.6,.109,,1.8,-0.4,1.4,1.7
10,1 season,,SAC,NBA,,44,692,13.8,.603,.496,.241,1.4,7.9,4.7,14.2,1.5,0.4,12.7,17.4,,1.2,0.2,1.4,.097,,0.9,-2.4,-1.5,0.1
11,1 season,,PHO,NBA,,2,8,-11.4,.000,.333,.000,0.0,27.7,13.7,15.6,0.0,0.0,0.0,16.5,,-0.1,0.0,0.0,-0.298,,-14.3,-1.6,-15.9,0.0
12,1 season,,CLE,NBA,,1,9,19.9,.500,.333,.000,0.0,12.8,6.2,0.0,11.5,0.0,0.0,14.9,,0.0,0.0,0.0,.187,,-0.9,4.8,3.9,0.0
13,1 season,,MEM,NBA,,1,4,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.006,,-5.8,0.6,-5.2,0.0
