,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2001-02,21,MEM,NBA,C,82,3007,19.5,.566,.005,.448,8.8,18.2,13.5,13.8,0.7,3.9,15.0,22.6,,4.8,2.8,7.6,.121,,0.7,1.5,2.2,3.2
2,2002-03,22,MEM,NBA,PF,82,2948,20.7,.570,.009,.506,7.4,19.9,13.7,13.6,0.6,3.4,13.5,24.1,,6.5,2.0,8.5,.138,,1.5,0.6,2.1,3.0
3,2003-04,23,MEM,NBA,PF,78,2458,21.7,.542,.014,.487,9.4,18.3,13.8,14.9,0.9,3.9,12.8,26.8,,5.3,2.8,8.1,.159,,1.6,1.2,2.7,2.9
4,2004-05,24,MEM,NBA,PF,56,1790,22.5,.582,.009,.528,8.7,18.7,13.7,14.7,1.1,4.1,13.8,26.2,,4.1,2.8,6.8,.184,,1.6,2.2,3.8,2.6
5,2005-06,25,MEM,NBA,PF,80,3135,22.7,.555,.010,.517,7.5,20.0,13.8,23.7,0.8,3.9,13.8,26.4,,6.6,5.4,12.0,.184,,2.0,3.1,5.1,5.6
6,2006-07,26,MEM,NBA,C,59,2133,24.1,.593,.013,.466,8.3,24.2,16.3,17.7,0.7,4.5,13.5,25.3,,5.4,1.5,6.9,.155,,2.6,1.7,4.2,3.3
7,2007-08,27,TOT,NBA,C,66,2351,21.6,.594,.018,.407,7.4,18.7,13.1,15.2,0.6,3.0,10.6,22.1,,6.4,2.1,8.4,.172,,2.0,0.9,2.9,2.9
8,2007-08,27,MEM,NBA,C,39,1433,20.1,.566,.027,.386,7.3,19.6,13.4,14.0,0.6,2.8,10.9,22.7,,3.0,0.9,3.9,.129,,1.0,0.5,1.5,1.3
9,2007-08,27,LAL,NBA,C,27,918,24.0,.639,.003,.441,7.7,17.4,12.8,17.0,0.8,3.3,10.0,21.2,,3.4,1.2,4.6,.239,,3.5,1.6,5.1,1.6
10,2008-09,28,LAL,NBA,C,81,2999,22.2,.617,.002,.420,10.0,19.3,14.7,14.8,0.9,2.1,11.3,20.4,,9.8,4.2,13.9,.223,,3.3,1.7,5.0,5.3
11,2009-10,29,LAL,NBA,C,65,2403,22.9,.593,.006,.429,11.4,22.7,17.1,15.0,0.8,3.5,12.5,21.4,,6.8,4.2,11.0,.220,,2.4,3.0,5.4,4.5
12,2010-11,30,LAL,NBA,C,82,3037,23.3,.589,.003,.384,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,,10.0,4.7,14.7,.232,,3.0,2.2,5.3,5.6
13,2011-12,31,LAL,NBA,PF,65,2430,20.4,.547,.029,.285,8.8,21.8,15.6,17.2,0.8,2.6,12.1,22.1,,5.2,3.1,8.3,.165,,1.7,2.0,3.7,3.5
14,2012-13,32,LAL,NBA,PF,49,1655,16.7,.512,.048,.307,7.6,20.1,14.0,19.9,0.7,2.7,13.7,20.5,,2.0,1.7,3.7,.107,,-0.4,1.9,1.5,1.5
15,2013-14,33,LAL,NBA,C,60,1884,19.3,.522,.016,.287,7.0,25.9,16.4,18.7,0.7,3.5,12.4,26.4,,1.3,1.7,3.0,.076,,-1.0,1.6,0.6,1.3
16,2014-15,34,CHI,NBA,PF,78,2681,22.7,.550,.023,.317,9.2,27.6,18.6,14.4,0.5,4.0,10.7,24.7,,6.0,4.4,10.4,.187,,0.7,2.1,2.8,3.2
17,2015-16,35,CHI,NBA,C,72,2291,21.7,.529,.069,.290,7.3,28.7,18.2,21.7,0.9,4.7,12.8,24.6,,3.2,3.9,7.1,.149,,0.5,3.5,4.0,3.5
18,2016-17,36,SAS,NBA,C,64,1627,20.2,.578,.172,.305,7.6,26.8,17.4,14.7,0.8,3.5,10.6,21.3,,3.3,3.1,6.4,.189,,0.9,2.8,3.7,2.4
19,Career,,,NBA,,1119,38829,21.5,.566,.024,.404,8.6,21.7,15.3,16.5,0.8,3.5,12.5,23.5,,86.7,50.3,137.0,.169,,1.6,2.0,3.5,54.2
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7 seasons,,MEM,NBA,,476,16904,21.6,.566,.011,.482,8.2,19.8,14.0,16.4,0.8,3.8,13.5,24.9,,35.7,18.2,53.8,.153,,1.6,1.6,3.2,22.0
22,7 seasons,,LAL,NBA,,429,15326,21.4,.574,.014,.362,9.3,21.2,15.4,16.5,0.8,2.9,11.6,21.9,,38.5,20.7,59.2,.185,,1.9,2.1,4.0,23.2
23,2 seasons,,CHI,NBA,,150,4972,22.2,.540,.044,.305,8.3,28.1,18.4,17.8,0.7,4.3,11.7,24.7,,9.2,8.3,17.5,.169,,0.6,2.7,3.3,6.7
24,1 season,,SAS,NBA,,64,1627,20.2,.578,.172,.305,7.6,26.8,17.4,14.7,0.8,3.5,10.6,21.3,,3.3,3.1,6.4,.189,,0.9,2.8,3.7,2.4
