,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2006-07,23,DAL,NBA,PF,12,71,11.6,.582,.000,1.059,15.6,19.9,17.8,0.0,0.8,0.0,26.5,22.3,,-0.1,0.1,0.0,.022,,-6.0,-5.7,-11.7,-0.2
2,2008-09,25,TOT,NBA,PF,22,283,14.5,.447,.019,.466,23.1,23.8,23.5,3.3,1.7,1.4,13.3,23.4,,0.0,0.4,0.3,.058,,-3.6,-2.7,-6.2,-0.3
3,2008-09,25,SAS,NBA,PF,3,20,35.8,.744,.000,1.000,30.2,29.4,29.8,0.0,2.7,3.7,16.6,29.3,,0.1,0.1,0.2,.418,,2.7,-5.6,-2.9,0.0
4,2008-09,25,TOR,NBA,PF,19,263,12.9,.421,.021,.427,22.5,23.4,23.0,3.6,1.6,1.2,13.0,23.0,,-0.1,0.3,0.2,.031,,-4.0,-2.4,-6.5,-0.3
5,2009-10,26,TOT,NBA,PF,20,120,11.4,.448,.000,.727,16.1,18.3,17.2,3.6,1.7,5.7,18.7,20.3,,-0.1,0.1,0.0,.006,,-5.0,0.2,-4.8,-0.1
6,2009-10,26,HOU,NBA,PF,4,13,15.2,.377,.000,1.500,8.5,27.5,17.6,11.0,3.9,5.6,0.0,22.6,,0.0,0.0,0.0,.108,,-4.9,3.8,-1.1,0.0
7,2009-10,26,TOR,NBA,PF,16,107,11.0,.460,.000,.621,17.0,17.2,17.1,2.7,1.4,5.7,21.3,20.0,,-0.1,0.1,0.0,-0.006,,-5.0,-0.2,-5.2,-0.1
8,2010-11,27,NOH,NBA,PF,7,35,-0.1,.333,.000,.000,10.4,28.0,19.1,8.0,0.0,0.0,40.0,6.8,,0.0,0.0,0.0,.013,,-6.6,1.2,-5.4,0.0
9,Career,,,NBA,,61,509,12.4,.463,.013,.577,19.5,22.3,20.9,3.2,1.4,2.1,17.0,21.4,,-0.2,0.6,0.4,.038,,-4.4,-2.1,-6.6,-0.6
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,TOR,NBA,,35,370,12.3,.431,.016,.472,20.9,21.6,21.3,3.3,1.5,2.5,15.2,22.1,,-0.2,0.4,0.2,.020,,-4.3,-1.8,-6.1,-0.4
12,1 season,,DAL,NBA,,12,71,11.6,.582,.000,1.059,15.6,19.9,17.8,0.0,0.8,0.0,26.5,22.3,,-0.1,0.1,0.0,.022,,-6.0,-5.7,-11.7,-0.2
13,1 season,,NOH,NBA,,7,35,-0.1,.333,.000,.000,10.4,28.0,19.1,8.0,0.0,0.0,40.0,6.8,,0.0,0.0,0.0,.013,,-6.6,1.2,-5.4,0.0
14,1 season,,HOU,NBA,,4,13,15.2,.377,.000,1.500,8.5,27.5,17.6,11.0,3.9,5.6,0.0,22.6,,0.0,0.0,0.0,.108,,-4.9,3.8,-1.1,0.0
15,1 season,,SAS,NBA,,3,20,35.8,.744,.000,1.000,30.2,29.4,29.8,0.0,2.7,3.7,16.6,29.3,,0.1,0.1,0.2,.418,,2.7,-5.6,-2.9,0.0
