,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1998-99,22,MIN,NBA,C,2,30,3.5,.311,.000,.167,10.4,20.2,14.9,5.0,0.0,0.0,7.2,20.3,,-0.1,0.0,0.0,-0.049,,-7.9,-3.9,-11.8,-0.1
2,1999-00,23,MIN,NBA,C,82,1723,11.0,.492,.005,.238,9.0,16.6,12.8,7.8,0.6,3.6,12.9,14.4,,1.0,1.9,3.0,.082,,-2.3,1.2,-1.1,0.4
3,2000-01,24,MIN,NBA,C,73,1233,10.4,.472,.003,.204,9.1,17.5,13.2,5.4,1.1,3.6,13.7,14.8,,0.2,1.3,1.5,.060,,-3.4,0.7,-2.7,-0.2
4,2001-02,25,MIN,NBA,C,82,2218,12.9,.499,.002,.108,10.6,17.2,13.9,5.2,1.1,3.7,12.0,16.0,,1.6,2.5,4.1,.089,,-1.5,1.3,-0.1,1.1
5,2002-03,26,MIN,NBA,C,77,2337,14.7,.536,.003,.125,7.3,16.9,12.2,7.7,0.9,3.6,11.0,17.5,,2.6,2.6,5.2,.107,,-0.6,1.3,0.6,1.6
6,2003-04,27,SAS,NBA,C,82,2353,15.3,.473,.000,.163,12.4,17.6,15.0,8.4,1.2,5.1,12.5,16.8,,1.6,5.6,7.2,.147,,-1.6,4.5,2.9,2.9
7,2004-05,28,SAS,NBA,C,70,1785,12.0,.463,.000,.070,12.0,18.0,15.0,6.3,0.9,4.7,14.1,13.5,,0.5,3.8,4.2,.114,,-2.7,4.1,1.4,1.5
8,2005-06,29,SAS,NBA,C,80,1515,11.0,.521,.006,.090,9.1,14.8,12.1,3.4,0.8,4.2,13.2,12.6,,0.9,2.9,3.7,.118,,-2.9,2.8,-0.1,0.7
9,2006-07,30,TOR,NBA,C,80,1676,13.9,.558,.002,.119,8.0,17.4,12.6,7.0,1.1,3.9,11.2,13.8,,1.9,2.2,4.1,.118,,-1.4,2.6,1.2,1.4
10,2007-08,31,TOR,NBA,C,71,1486,16.1,.565,.006,.105,10.3,17.0,13.6,8.9,0.7,2.8,10.9,17.4,,2.3,1.6,3.9,.125,,-0.1,1.1,1.1,1.2
11,2008-09,32,IND,NBA,C,70,1214,14.1,.524,.002,.073,8.4,13.5,10.9,14.3,1.2,2.3,12.3,18.5,,1.1,1.1,2.2,.086,,-1.1,0.4,-0.8,0.4
12,2009-10,33,TOR,NBA,C,42,413,16.0,.539,.000,.034,10.9,14.5,12.7,9.9,1.2,3.2,9.6,18.5,,0.6,0.2,0.8,.089,,0.0,-0.4,-0.4,0.2
13,Career,,,NBA,,811,17983,13.3,.511,.003,.126,9.7,16.8,13.3,7.4,1.0,3.8,12.2,15.7,,14.2,25.7,39.9,.107,,-1.7,2.1,0.4,11.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5 seasons,,MIN,NBA,,316,7541,12.6,.505,.003,.154,8.9,17.0,13.0,6.6,0.9,3.6,12.1,15.9,,5.4,8.4,13.8,.088,,-1.7,1.2,-0.6,2.7
16,3 seasons,,SAS,NBA,,232,5653,13.1,.481,.001,.119,11.4,17.0,14.2,6.4,1.0,4.7,13.1,14.6,,3.0,12.2,15.2,.129,,-2.3,3.9,1.6,5.2
17,3 seasons,,TOR,NBA,,193,3575,15.1,.558,.004,.100,9.3,16.9,13.1,8.1,1.0,3.4,10.9,15.8,,4.8,4.0,8.8,.118,,-0.7,1.6,1.0,2.7
18,1 season,,IND,NBA,,70,1214,14.1,.524,.002,.073,8.4,13.5,10.9,14.3,1.2,2.3,12.3,18.5,,1.1,1.1,2.2,.086,,-1.1,0.4,-0.8,0.4
