,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2002-03,23,MIA,NBA,SG,72,1514,9.5,.437,.299,.182,2.1,12.3,7.1,11.4,0.8,2.2,11.1,21.6,,-1.4,1.4,0.1,.002,,-3.4,-0.4,-3.8,-0.7
2,2003-04,24,MIA,NBA,SF,45,675,14.0,.586,.432,.084,0.7,10.0,5.3,6.6,0.8,1.5,9.7,20.0,,1.0,0.5,1.6,.113,,0.2,-2.5,-2.2,0.0
3,2004-05,25,MIA,NBA,SF,65,1203,10.3,.488,.374,.117,1.5,12.7,7.3,8.1,0.8,1.8,7.9,18.1,,0.3,1.4,1.7,.068,,-2.0,-0.9,-2.9,-0.3
4,2005-06,26,NOK,NBA,SF,79,1875,10.8,.501,.382,.180,3.2,11.8,7.4,3.7,0.9,2.0,8.7,18.6,,0.4,1.3,1.7,.045,,-1.6,-1.3,-2.9,-0.4
5,2006-07,27,NOK,NBA,SF,81,2223,10.8,.495,.461,.110,2.1,11.4,6.7,4.7,1.0,1.9,7.5,18.3,,0.8,1.8,2.6,.056,,-1.0,-0.8,-1.7,0.2
6,2007-08,28,NOH,NBA,SF,51,875,8.8,.460,.512,.119,2.1,11.5,6.7,5.9,0.9,1.9,3.5,15.1,,0.3,0.8,1.2,.063,,-1.9,-0.3,-2.2,0.0
7,2008-09,29,NOH,NBA,SF,82,2614,11.8,.541,.447,.137,2.3,10.2,6.3,4.8,1.1,2.0,6.5,16.8,,2.2,2.4,4.6,.084,,-0.3,-0.2,-0.5,1.0
8,2009-10,30,LAC,NBA,SF,82,2702,10.7,.524,.497,.167,1.7,8.7,5.1,6.8,0.7,1.9,7.8,17.0,,1.8,0.9,2.7,.048,,-0.4,-1.1,-1.6,0.3
9,2010-11,31,TOT,NBA,SG,47,770,6.2,.446,.574,.114,1.5,10.1,5.9,5.3,0.5,1.5,8.8,15.8,,-0.5,0.3,-0.1,-0.009,,-3.4,-1.9,-5.3,-0.6
10,2010-11,31,LAC,NBA,SG,41,744,5.9,.433,.571,.119,1.6,10.3,6.0,5.5,0.6,1.6,8.5,15.6,,-0.5,0.3,-0.2,-0.013,,-3.6,-1.7,-5.3,-0.6
11,2010-11,31,CHI,NBA,SG,6,26,14.5,.727,.636,.000,0.0,4.4,2.3,0.0,0.0,0.0,15.4,23.0,,0.0,0.0,0.1,.107,,1.2,-6.1,-4.9,0.0
12,2011-12,32,TOR,NBA,SF,34,453,4.8,.398,.579,.090,1.6,15.4,8.5,6.8,0.8,0.9,9.8,15.9,,-0.6,0.4,-0.2,-0.022,,-4.2,-1.3,-5.5,-0.4
13,2013-14,34,IND,NBA,SG,50,378,12.2,.585,.564,.127,1.9,9.9,6.1,7.4,1.0,1.8,8.7,15.4,,0.5,0.6,1.1,.138,,-0.6,-0.3,-0.9,0.1
14,2014-15,35,WAS,NBA,SF,75,1505,11.4,.531,.455,.130,2.1,12.4,7.4,6.5,1.0,1.2,8.1,17.9,,1.0,1.6,2.6,.084,,-0.8,-0.8,-1.7,0.1
15,2015-16,36,SAS,NBA,SF,46,432,13.4,.558,.471,.154,0.8,13.5,7.4,7.7,1.5,4.1,6.7,12.6,,0.4,0.9,1.3,.146,,-0.9,2.7,1.8,0.4
16,Career,,,NBA,,809,17219,10.6,.505,.443,.140,2.0,11.1,6.6,6.3,0.9,1.9,8.0,17.7,,6.5,14.3,20.8,.058,,-1.3,-0.8,-2.1,-0.4
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4 seasons,,"NOK,NOH",NBA,,293,7587,10.9,.508,.442,.138,2.4,11.1,6.7,4.6,1.0,1.9,7.1,17.5,,3.7,6.3,10.1,.064,,-1.0,-0.6,-1.6,0.7
19,3 seasons,,MIA,NBA,,182,3392,10.7,.484,.351,.141,1.6,12.0,6.8,9.2,0.8,1.9,9.8,20.0,,0.0,3.3,3.3,.047,,-2.2,-1.0,-3.2,-1.0
20,2 seasons,,LAC,NBA,,123,3446,9.6,.506,.512,.157,1.6,9.0,5.3,6.5,0.7,1.8,7.9,16.7,,1.3,1.2,2.5,.034,,-1.1,-1.3,-2.4,-0.3
21,1 season,,WAS,NBA,,75,1505,11.4,.531,.455,.130,2.1,12.4,7.4,6.5,1.0,1.2,8.1,17.9,,1.0,1.6,2.6,.084,,-0.8,-0.8,-1.7,0.1
22,1 season,,IND,NBA,,50,378,12.2,.585,.564,.127,1.9,9.9,6.1,7.4,1.0,1.8,8.7,15.4,,0.5,0.6,1.1,.138,,-0.6,-0.3,-0.9,0.1
23,1 season,,SAS,NBA,,46,432,13.4,.558,.471,.154,0.8,13.5,7.4,7.7,1.5,4.1,6.7,12.6,,0.4,0.9,1.3,.146,,-0.9,2.7,1.8,0.4
24,1 season,,TOR,NBA,,34,453,4.8,.398,.579,.090,1.6,15.4,8.5,6.8,0.8,0.9,9.8,15.9,,-0.6,0.4,-0.2,-0.022,,-4.2,-1.3,-5.5,-0.4
25,1 season,,CHI,NBA,,6,26,14.5,.727,.636,.000,0.0,4.4,2.3,0.0,0.0,0.0,15.4,23.0,,0.0,0.0,0.1,.107,,1.2,-6.1,-4.9,0.0
