,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1987-88,23,LAC,NBA,SF,35,857,7.6,.400,.136,.155,6.6,8.1,7.3,10.8,1.6,1.4,12.1,24.6,,-1.8,0.7,-1.1,-0.061,,-4.5,-0.9,-5.4,-0.7
2,1988-89,24,LAC,NBA,SF,63,1303,12.1,.496,.175,.205,5.8,8.9,7.3,11.5,2.9,1.2,15.0,23.0,,-0.6,1.0,0.4,.014,,-1.6,-0.8,-2.4,-0.1
3,1989-90,25,TOT,NBA,SF,47,743,9.1,.435,.109,.201,4.3,8.3,6.3,11.1,2.1,1.1,10.9,23.8,,-0.8,0.8,0.0,-0.002,,-4.1,-1.2,-5.3,-0.6
4,1989-90,25,LAC,NBA,SF,5,133,12.6,.453,.088,.368,7.0,5.9,6.4,11.1,3.3,0.4,12.0,23.6,,-0.1,0.1,0.1,.029,,-2.2,-0.9,-3.1,0.0
5,1989-90,25,CLE,NBA,SF,32,542,7.8,.424,.113,.172,3.5,9.0,6.2,10.9,2.1,1.1,11.1,23.1,,-0.8,0.6,-0.2,-0.016,,-4.9,-1.0,-5.9,-0.5
6,1989-90,25,SAS,NBA,SF,10,68,12.1,.470,.119,.143,5.1,8.1,6.6,12.7,0.7,2.7,8.2,29.7,,0.0,0.1,0.1,.044,,-2.2,-3.3,-5.5,-0.1
7,1990-91,26,TOT,NBA,SF,73,1896,14.8,.526,.184,.230,6.3,9.6,7.9,9.4,2.6,1.2,10.6,20.2,,2.2,1.0,3.3,.082,,0.8,-0.6,0.2,1.1
8,1990-91,26,SAS,NBA,SF,22,354,15.5,.589,.205,.323,5.6,12.5,9.2,18.9,2.8,1.9,19.9,21.3,,0.4,0.6,1.0,.141,,0.7,1.6,2.3,0.4
9,1990-91,26,DEN,NBA,SF,51,1542,14.6,.515,.180,.214,6.5,8.9,7.6,7.2,2.5,1.0,8.7,19.9,,1.8,0.4,2.2,.069,,0.8,-1.0,-0.2,0.7
10,1991-92,27,DEN,NBA,SF,81,2623,18.1,.528,.122,.211,5.6,11.3,8.3,15.0,2.7,1.6,11.0,24.3,,3.7,2.9,6.6,.121,,2.1,0.6,2.7,3.1
11,1992-93,28,DEN,NBA,SF,79,2722,15.8,.517,.105,.254,5.1,11.6,8.3,16.7,2.2,1.7,13.0,22.3,,2.4,3.6,5.9,.105,,0.7,1.2,1.9,2.6
12,1993-94,29,DEN,NBA,SF,82,2654,13.1,.478,.227,.222,4.2,11.9,8.2,17.6,2.2,1.6,12.8,20.5,,0.9,3.9,4.8,.088,,-0.1,1.4,1.3,2.2
13,1994-95,30,DEN,NBA,SF,74,2198,16.9,.538,.314,.206,5.3,12.5,9.0,17.6,2.7,2.2,11.8,21.5,,3.1,2.7,5.8,.126,,2.2,1.2,3.5,3.0
14,1995-96,31,DEN,NBA,SF,52,817,8.4,.444,.350,.154,3.5,13.8,8.6,14.1,2.2,1.9,15.8,17.6,,-0.7,0.9,0.3,.016,,-3.3,0.6,-2.7,-0.1
15,1996-97,32,TOT,NBA,SF,13,200,9.2,.468,.447,.158,2.6,15.0,8.6,8.2,2.1,1.5,12.9,20.1,,-0.1,0.2,0.1,.024,,-2.9,-1.3,-4.2,-0.1
16,1996-97,32,IND,NBA,SF,2,33,-1.5,.253,.111,.222,3.7,21.4,12.6,9.3,0.0,0.0,16.8,16.6,,-0.1,0.0,-0.1,-0.128,,-10.0,-1.0,-11.0,-0.1
17,1996-97,32,NJN,NBA,SF,11,167,11.4,.497,.493,.149,2.4,13.8,7.8,8.0,2.5,1.8,12.3,20.8,,0.0,0.1,0.2,.054,,-1.6,-1.3,-2.9,0.0
18,Career,,,NBA,,599,16013,14.2,.501,.183,.214,5.2,11.1,8.1,14.6,2.4,1.6,12.3,22.0,,8.2,17.8,26.0,.078,,0.1,0.5,0.5,10.3
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6 seasons,,DEN,NBA,,419,12556,15.3,.512,.188,.219,5.1,11.6,8.3,15.4,2.5,1.7,11.9,21.6,,11.2,14.4,25.6,.098,,0.8,0.8,1.6,11.5
21,3 seasons,,LAC,NBA,,103,2293,10.4,.456,.155,.194,6.1,8.4,7.3,11.2,2.4,1.2,13.7,23.7,,-2.5,1.9,-0.6,-0.013,,-2.7,-0.9,-3.6,-0.9
22,1 season,,CLE,NBA,,32,542,7.8,.424,.113,.172,3.5,9.0,6.2,10.9,2.1,1.1,11.1,23.1,,-0.8,0.6,-0.2,-0.016,,-4.9,-1.0,-5.9,-0.5
23,2 seasons,,SAS,NBA,,32,422,15.0,.561,.183,.278,5.5,11.7,8.8,17.9,2.4,2.0,17.4,22.7,,0.4,0.7,1.1,.126,,0.2,0.8,1.0,0.3
24,1 season,,NJN,NBA,,11,167,11.4,.497,.493,.149,2.4,13.8,7.8,8.0,2.5,1.8,12.3,20.8,,0.0,0.1,0.2,.054,,-1.6,-1.3,-2.9,0.0
25,1 season,,IND,NBA,,2,33,-1.5,.253,.111,.222,3.7,21.4,12.6,9.3,0.0,0.0,16.8,16.6,,-0.1,0.0,-0.1,-0.128,,-10.0,-1.0,-11.0,-0.1
