,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2001-02,21,NJN,NBA,SF,79,1917,13.4,.524,.095,.448,4.9,12.2,8.6,11.7,1.7,1.8,13.1,19.1,,1.8,2.9,4.7,.117,,-1.3,0.9,-0.4,0.8
2,2002-03,22,NJN,NBA,SF,80,2879,16.6,.563,.026,.479,6.0,14.4,10.2,12.1,1.5,1.1,12.4,19.7,,5.4,4.4,9.9,.164,,0.7,1.2,1.9,2.9
3,2003-04,23,NJN,NBA,SF,82,3133,18.1,.573,.118,.420,4.1,13.3,8.7,18.7,1.6,0.7,13.0,22.8,,6.5,4.4,11.0,.168,,2.0,0.4,2.5,3.5
4,2004-05,24,NJN,NBA,SF,33,1355,16.6,.537,.158,.477,4.3,17.2,10.7,19.0,1.3,1.0,16.2,28.2,,0.6,1.8,2.4,.086,,-0.1,0.3,0.1,0.7
5,2005-06,25,NJN,NBA,SF,78,3059,18.9,.603,.187,.577,3.6,17.1,10.2,18.0,1.0,0.4,12.1,22.1,,7.6,4.1,11.7,.184,,2.3,0.6,3.0,3.8
6,2006-07,26,NJN,NBA,SF,55,1956,13.8,.555,.218,.490,2.9,11.5,7.2,13.1,0.9,0.3,12.9,22.1,,2.0,1.4,3.4,.082,,-0.5,-1.3,-1.8,0.1
7,2007-08,27,NJN,NBA,SF,82,3200,17.4,.571,.160,.511,3.4,9.0,6.2,15.0,1.2,0.5,10.9,26.1,,6.1,1.5,7.6,.114,,2.0,-2.0,0.0,1.6
8,2008-09,28,MIL,NBA,SF,82,2939,15.4,.554,.239,.424,2.2,13.3,7.5,11.7,1.2,0.4,10.2,24.6,,4.2,2.4,6.6,.109,,1.0,-1.2,-0.2,1.3
9,2009-10,29,SAS,NBA,SF,81,2520,13.1,.551,.241,.370,2.7,13.6,8.3,9.6,0.9,1.1,10.4,18.3,,3.0,3.0,6.0,.113,,-0.3,0.6,0.3,1.5
10,2010-11,30,SAS,NBA,SF,81,2459,12.4,.612,.478,.304,2.6,11.8,7.3,6.5,0.8,1.0,11.3,15.4,,3.7,2.1,5.9,.115,,1.1,0.0,1.2,2.0
11,2011-12,31,TOT,NBA,SF,63,1748,11.1,.550,.551,.174,1.7,12.4,7.2,7.3,1.1,0.8,8.7,15.1,,1.9,1.2,3.1,.085,,0.7,-0.6,0.1,0.9
12,2011-12,31,SAS,NBA,SF,41,1168,10.9,.556,.596,.157,1.8,12.0,7.0,6.7,1.1,0.7,8.6,14.6,,1.4,1.0,2.4,.100,,1.2,0.0,1.2,0.9
13,2011-12,31,GSW,NBA,SF,22,580,11.6,.540,.467,.207,1.6,13.3,7.4,8.6,1.1,0.9,8.9,16.1,,0.6,0.1,0.7,.056,,-0.3,-1.7,-2.1,0.0
14,2012-13,32,GSW,NBA,SF,56,568,10.3,.552,.331,.390,1.0,14.9,8.1,8.0,1.3,1.0,12.6,14.4,,0.4,0.6,1.0,.081,,-2.6,-0.3,-2.9,-0.1
15,2013-14,33,UTA,NBA,SF,82,2213,11.8,.573,.460,.248,0.9,10.8,5.7,9.6,1.3,0.5,11.5,16.9,,2.3,0.4,2.7,.058,,0.3,-1.7,-1.4,0.3
16,2014-15,34,DAL,NBA,SF,74,1244,11.3,.577,.478,.352,2.2,14.0,8.1,7.0,1.3,0.7,12.2,15.3,,1.4,0.9,2.3,.088,,-0.2,-0.5,-0.7,0.4
17,2015-16,35,CLE,NBA,SF,74,1326,9.7,.585,.554,.279,1.3,9.6,5.5,6.4,1.3,0.9,10.9,13.4,,1.4,1.3,2.7,.099,,-0.5,-0.3,-0.8,0.4
18,2016-17,36,CLE,NBA,SF,79,1614,8.2,.574,.542,.315,2.0,11.5,6.9,6.6,0.8,0.5,11.8,12.2,,1.3,0.8,2.1,.063,,-1.3,-1.0,-2.4,-0.1
19,Career,,,NBA,,1161,34130,14.5,.567,.249,.418,3.1,12.9,8.0,12.0,1.2,0.8,11.9,20.0,,49.6,33.3,82.9,.117,,0.6,-0.3,0.3,20.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7 seasons,,NJN,NBA,,489,17499,16.8,.566,.137,.489,4.2,13.4,8.7,15.4,1.3,0.8,12.6,22.7,,30.0,20.6,50.6,.139,,1.0,0.0,1.0,13.4
22,3 seasons,,SAS,NBA,,203,6147,12.4,.575,.394,.306,2.5,12.6,7.7,7.8,0.9,1.0,10.5,16.4,,8.1,6.2,14.3,.111,,0.6,0.2,0.8,4.4
23,2 seasons,,CLE,NBA,,153,2940,8.9,.579,.548,.298,1.7,10.6,6.3,6.5,1.0,0.7,11.4,12.7,,2.7,2.1,4.8,.079,,-1.0,-0.7,-1.6,0.3
24,1 season,,MIL,NBA,,82,2939,15.4,.554,.239,.424,2.2,13.3,7.5,11.7,1.2,0.4,10.2,24.6,,4.2,2.4,6.6,.109,,1.0,-1.2,-0.2,1.3
25,1 season,,UTA,NBA,,82,2213,11.8,.573,.460,.248,0.9,10.8,5.7,9.6,1.3,0.5,11.5,16.9,,2.3,0.4,2.7,.058,,0.3,-1.7,-1.4,0.3
26,2 seasons,,GSW,NBA,,78,1148,11.0,.546,.407,.289,1.3,14.0,7.8,8.3,1.2,0.9,10.7,15.2,,1.0,0.7,1.6,.068,,-1.4,-1.0,-2.5,-0.1
27,1 season,,DAL,NBA,,74,1244,11.3,.577,.478,.352,2.2,14.0,8.1,7.0,1.3,0.7,12.2,15.3,,1.4,0.9,2.3,.088,,-0.2,-0.5,-0.7,0.4
