,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1992-93,22,HOU,NBA,SF,79,2330,12.1,.520,.069,.293,5.8,12.8,9.5,11.9,1.7,2.2,16.8,17.5,,0.4,3.2,3.6,.075,,-2.0,1.9,0.0,1.2
2,1993-94,23,HOU,NBA,SF,81,2370,14.2,.521,.194,.224,6.4,13.9,10.3,14.5,2.5,2.0,15.1,17.0,,1.6,4.3,5.9,.120,,-0.6,3.1,2.5,2.7
3,1994-95,24,HOU,NBA,PF,64,2074,13.5,.556,.423,.210,4.7,12.8,9.0,15.2,2.3,2.5,17.2,15.3,,1.6,2.6,4.2,.097,,0.2,2.3,2.5,2.4
4,1995-96,25,HOU,NBA,SF,71,2634,13.7,.537,.530,.195,4.3,13.2,8.9,16.1,2.3,2.9,16.8,16.3,,1.5,3.4,4.9,.089,,0.6,2.4,3.0,3.3
5,1996-97,26,TOT,NBA,SF,54,1395,13.0,.529,.428,.250,5.7,13.9,9.8,11.9,2.5,3.0,15.3,15.2,,1.0,1.9,2.9,.098,,-0.1,2.5,2.3,1.5
6,1996-97,26,PHO,NBA,SF,32,719,11.1,.507,.400,.256,6.5,12.7,9.7,11.1,2.0,2.7,17.5,16.5,,0.0,0.7,0.7,.046,,-1.1,1.4,0.3,0.4
7,1996-97,26,LAL,NBA,SF,22,676,15.0,.556,.461,.242,4.8,15.1,10.0,12.8,3.0,3.3,12.5,13.8,,1.0,1.2,2.2,.153,,1.0,3.6,4.6,1.1
8,1997-98,27,LAL,NBA,PF,72,2192,14.4,.542,.221,.402,9.8,17.9,14.0,10.6,2.6,3.0,16.7,11.9,,3.0,3.6,6.6,.144,,0.9,3.8,4.8,3.7
9,1998-99,28,LAL,NBA,PF,38,744,13.5,.565,.308,.315,9.0,14.7,11.9,11.2,2.5,3.8,22.8,13.0,,0.8,0.9,1.7,.109,,0.6,2.9,3.5,1.0
10,1999-00,29,LAL,NBA,PF,76,1685,14.3,.528,.259,.311,8.6,14.3,11.5,10.0,2.6,3.3,15.0,12.7,,2.1,3.6,5.7,.161,,0.1,4.0,4.1,2.6
11,2000-01,30,LAL,NBA,PF,79,1587,11.0,.489,.411,.218,6.7,14.3,10.5,11.7,1.8,2.4,15.9,14.0,,1.1,1.5,2.6,.078,,-0.5,0.8,0.3,0.9
12,2001-02,31,LAL,NBA,PF,81,2140,14.5,.528,.441,.300,6.8,17.8,12.3,15.3,1.9,3.0,14.5,12.8,,3.3,3.6,6.9,.154,,0.9,3.2,4.1,3.3
13,2002-03,32,LAL,NBA,PF,80,2343,12.4,.488,.372,.282,8.6,16.1,12.3,14.3,2.1,1.9,17.3,12.2,,2.3,2.5,4.8,.098,,0.2,1.8,2.0,2.3
14,2003-04,33,SAS,NBA,PF,81,1290,14.5,.496,.310,.307,9.5,14.0,11.8,12.8,2.0,2.8,12.2,16.1,,1.7,2.9,4.6,.171,,0.2,3.1,3.3,1.7
15,2004-05,34,SAS,NBA,PF,75,1396,14.9,.533,.368,.291,7.6,14.8,11.2,9.2,2.6,3.1,14.0,16.4,,1.4,3.1,4.6,.157,,-0.1,3.6,3.5,1.9
16,2005-06,35,SAS,NBA,PF,63,1182,13.5,.499,.493,.233,7.3,16.7,12.1,10.1,2.0,3.1,11.3,14.7,,1.0,2.5,3.6,.145,,-0.2,3.4,3.2,1.5
17,2006-07,36,SAS,NBA,PF,68,1124,11.9,.480,.594,.255,8.2,16.1,12.3,10.1,2.1,2.7,13.6,13.6,,0.6,2.4,2.9,.125,,-0.5,3.3,2.8,1.4
18,2007-08,37,SAS,NBA,PF,45,583,9.6,.426,.588,.235,7.2,14.8,11.0,11.9,1.9,2.5,14.3,12.6,,-0.1,1.1,1.1,.088,,-2.3,3.2,0.9,0.4
19,Career,,,NBA,,1107,27069,13.4,.520,.351,.265,7.0,14.8,11.0,12.8,2.2,2.7,15.7,14.6,,23.3,43.1,66.3,.118,,-0.1,2.8,2.7,32.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7 seasons,,LAL,NBA,,448,11367,13.5,.521,.350,.300,8.0,16.1,12.1,12.5,2.3,2.8,16.2,12.7,,13.5,16.8,30.4,.128,,0.4,2.8,3.2,15.0
22,5 seasons,,SAS,NBA,,332,5575,13.4,.498,.440,.271,8.0,15.3,11.7,10.7,2.2,2.9,13.0,15.0,,4.6,12.1,16.7,.144,,-0.4,3.3,3.0,7.0
23,4 seasons,,HOU,NBA,,295,9408,13.4,.532,.301,.231,5.3,13.2,9.4,14.4,2.2,2.4,16.4,16.6,,5.1,13.5,18.6,.095,,-0.4,2.4,2.0,9.5
24,1 season,,PHO,NBA,,32,719,11.1,.507,.400,.256,6.5,12.7,9.7,11.1,2.0,2.7,17.5,16.5,,0.0,0.7,0.7,.046,,-1.1,1.4,0.3,0.4
