,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1997-98,21,BOS,NBA,SG,80,2662,14.1,.491,.024,.196,4.4,8.3,6.2,11.6,2.4,0.5,9.6,22.3,,2.2,1.9,4.0,.073,,-0.9,-1.1,-2.0,0.0
2,1998-99,22,BOS,NBA,SG,41,1551,13.5,.463,.042,.149,2.6,8.8,5.6,12.2,2.3,0.6,10.6,24.2,,0.1,1.2,1.3,.039,,-1.7,-1.0,-2.7,-0.3
3,1999-00,23,TOT,NBA,SG,68,2377,12.7,.479,.044,.250,2.9,8.6,5.7,11.3,1.6,0.7,11.2,24.4,,0.2,1.6,1.8,.036,,-1.7,-1.3,-3.0,-0.6
4,1999-00,23,DEN,NBA,SG,37,1408,13.4,.500,.064,.247,2.2,9.6,5.9,12.8,1.2,0.7,11.4,23.7,,0.6,0.6,1.2,.040,,-1.2,-1.6,-2.7,-0.3
5,1999-00,23,ORL,NBA,SG,31,969,11.8,.452,.019,.254,3.9,7.1,5.5,9.2,2.1,0.6,11.0,25.3,,-0.3,1.0,0.6,.031,,-2.5,-0.9,-3.4,-0.3
6,2000-01,24,CHI,NBA,SG,61,2535,14.8,.492,.041,.203,3.2,8.0,5.5,16.2,1.7,0.8,9.6,24.8,,1.5,0.4,1.8,.035,,-0.2,-2.2,-2.3,-0.2
7,2001-02,25,TOT,NBA,SG,53,1716,10.2,.439,.079,.152,3.3,8.8,6.0,14.2,1.0,0.6,9.5,24.8,,-1.5,0.4,-1.1,-0.032,,-2.7,-2.4,-5.1,-1.3
8,2001-02,25,CHI,NBA,SG,40,1503,10.8,.440,.079,.151,3.3,8.9,6.0,15.1,1.1,0.5,9.4,25.8,,-1.4,0.3,-1.1,-0.035,,-2.4,-2.5,-4.9,-1.1
9,2001-02,25,IND,NBA,SG,13,213,6.0,.432,.075,.164,3.3,8.8,6.1,7.6,0.5,1.0,11.1,17.2,,-0.2,0.1,0.0,-0.010,,-4.9,-1.8,-6.7,-0.3
10,2002-03,26,IND,NBA,SG,72,1671,9.3,.439,.027,.136,2.2,8.0,5.2,11.5,1.5,0.6,7.9,18.6,,-0.3,1.6,1.3,.037,,-3.4,-0.8,-4.2,-0.9
11,2003-04,27,SAS,NBA,SG,39,516,9.3,.446,.033,.081,2.2,8.3,5.3,7.8,1.5,0.7,10.6,21.9,,-0.4,0.8,0.4,.040,,-5.0,-0.7,-5.7,-0.5
12,2004-05,28,NJN,NBA,SF,18,390,9.4,.422,.019,.063,2.7,9.7,6.2,9.8,2.2,0.4,7.9,21.2,,-0.5,0.5,-0.1,-0.007,,-5.3,-0.8,-6.2,-0.4
13,Career,,,NBA,,432,13418,12.5,.470,.041,.182,3.2,8.4,5.7,12.6,1.8,0.6,9.8,23.2,,1.2,8.3,9.4,.034,,-1.8,-1.4,-3.3,-4.3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2 seasons,,BOS,NBA,,121,4213,13.9,.481,.031,.178,3.8,8.5,6.0,11.8,2.4,0.5,10.0,23.0,,2.2,3.1,5.3,.060,,-1.2,-1.1,-2.3,-0.3
16,2 seasons,,CHI,NBA,,101,4038,13.3,.472,.056,.183,3.3,8.3,5.7,15.8,1.4,0.7,9.5,25.2,,0.1,0.7,0.7,.009,,-1.0,-2.3,-3.3,-1.3
17,2 seasons,,IND,NBA,,85,1884,8.9,.439,.032,.139,2.3,8.1,5.3,11.0,1.4,0.7,8.2,18.4,,-0.4,1.7,1.2,.032,,-3.6,-0.9,-4.5,-1.2
18,1 season,,SAS,NBA,,39,516,9.3,.446,.033,.081,2.2,8.3,5.3,7.8,1.5,0.7,10.6,21.9,,-0.4,0.8,0.4,.040,,-5.0,-0.7,-5.7,-0.5
19,1 season,,DEN,NBA,,37,1408,13.4,.500,.064,.247,2.2,9.6,5.9,12.8,1.2,0.7,11.4,23.7,,0.6,0.6,1.2,.040,,-1.2,-1.6,-2.7,-0.3
20,1 season,,ORL,NBA,,31,969,11.8,.452,.019,.254,3.9,7.1,5.5,9.2,2.1,0.6,11.0,25.3,,-0.3,1.0,0.6,.031,,-2.5,-0.9,-3.4,-0.3
21,1 season,,NJN,NBA,,18,390,9.4,.422,.019,.063,2.7,9.7,6.2,9.8,2.2,0.4,7.9,21.2,,-0.5,0.5,-0.1,-0.007,,-5.3,-0.8,-6.2,-0.4
