,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2008-09,20,NJN,NBA,PF,66,1312,13.6,.532,.464,.285,9.3,19.0,14.1,6.4,1.8,1.2,12.1,18.6,,1.3,1.2,2.5,.090,,-0.1,-1.0,-1.1,0.3
2,2009-10,21,ORL,NBA,PF,63,911,18.1,.574,.544,.211,9.2,16.2,12.8,7.1,1.4,1.1,11.7,24.4,,1.7,1.4,3.1,.161,,2.3,-1.0,1.3,0.8
3,2010-11,22,ORL,NBA,PF,64,1424,19.0,.591,.650,.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,,4.0,2.5,6.4,.216,,4.1,0.2,4.4,2.3
4,2011-12,23,ORL,NBA,PF,61,1964,21.2,.589,.557,.226,13.0,14.7,13.8,5.1,1.4,1.0,6.4,21.2,,7.0,1.9,8.9,.219,,5.9,-1.3,4.6,3.3
5,2012-13,24,NOH,NBA,PF,81,2503,18.1,.548,.500,.161,8.9,15.9,12.4,6.9,0.9,1.0,7.5,24.0,,5.7,0.8,6.5,.125,,4.1,-2.9,1.3,2.1
6,2013-14,25,NOP,NBA,PF,22,795,18.8,.572,.463,.175,9.5,11.3,10.4,3.6,0.7,0.7,5.0,22.9,,2.2,0.1,2.3,.138,,4.3,-4.5,-0.1,0.4
7,2014-15,26,NOP,NBA,PF,61,1675,15.6,.524,.492,.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,,2.6,0.9,3.5,.100,,2.0,-3.1,-1.1,0.4
8,2015-16,27,NOP,NBA,PF,66,2008,17.2,.546,.385,.245,7.0,15.2,10.9,6.1,0.9,1.0,8.0,24.7,,3.1,0.8,3.9,.092,,1.5,-2.9,-1.4,0.3
9,2016-17,28,HOU,NBA,PF,72,2116,13.5,.583,.655,.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,,4.0,1.1,5.2,.118,,1.8,-2.6,-0.8,0.6
10,Career,,,NBA,,556,14708,17.2,.560,.520,.210,8.8,14.9,11.8,5.8,1.1,1.1,7.8,21.9,,31.6,10.7,42.2,.138,,2.9,-2.2,0.8,10.4
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4 seasons,,"NOH,NOP",NBA,,230,6981,17.3,.544,.460,.199,8.1,14.4,11.2,5.9,0.9,1.0,7.3,23.9,,13.6,2.5,16.2,.111,,2.9,-3.1,-0.2,3.1
13,3 seasons,,ORL,NBA,,188,4299,19.8,.586,.583,.222,11.5,16.1,13.9,5.9,1.3,1.4,8.1,21.6,,12.6,5.8,18.4,.206,,4.5,-0.7,3.8,6.3
14,1 season,,HOU,NBA,,72,2116,13.5,.583,.655,.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,,4.0,1.1,5.2,.118,,1.8,-2.6,-0.8,0.6
15,1 season,,NJN,NBA,,66,1312,13.6,.532,.464,.285,9.3,19.0,14.1,6.4,1.8,1.2,12.1,18.6,,1.3,1.2,2.5,.090,,-0.1,-1.0,-1.1,0.3
