,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2012-13,22,DAL,NBA,SF,78,1353,10.2,.491,.523,.199,2.9,12.3,7.7,10.0,2.4,1.0,10.9,15.1,,0.2,1.3,1.5,.055,,-0.9,0.4,-0.5,0.5
2,2013-14,23,DAL,NBA,SF,78,1254,11.9,.551,.510,.206,4.3,13.5,8.9,6.7,2.4,1.4,11.3,13.2,,1.2,1.1,2.3,.089,,0.0,0.6,0.6,0.8
3,2014-15,24,TOT,NBA,SF,82,1647,13.9,.517,.382,.259,4.7,14.9,9.7,8.6,2.2,1.2,7.5,17.5,,1.9,2.0,3.9,.113,,-0.1,0.6,0.6,1.1
4,2014-15,24,DAL,NBA,SF,25,265,12.7,.550,.500,.145,5.0,7.1,6.0,6.5,2.9,1.5,11.0,15.3,,0.3,0.3,0.5,.098,,0.6,0.5,1.1,0.2
5,2014-15,24,BOS,NBA,SF,57,1382,14.1,.512,.362,.277,4.7,16.4,10.5,9.0,2.1,1.1,6.9,17.9,,1.6,1.8,3.3,.116,,-0.2,0.7,0.5,0.9
6,2015-16,25,BOS,NBA,SF,73,2308,15.8,.565,.446,.294,3.2,14.2,8.6,8.9,2.7,1.2,8.3,18.5,,3.8,3.5,7.3,.152,,1.5,1.3,2.8,2.8
7,2016-17,26,BOS,NBA,SF,72,2335,14.9,.613,.547,.301,2.3,17.3,9.9,10.1,1.5,0.8,8.8,17.0,,4.2,2.5,6.7,.137,,1.4,0.1,1.5,2.1
8,Career,,,NBA,,383,8897,13.8,.557,.477,.267,3.4,14.8,9.1,9.0,2.2,1.1,8.9,16.6,,11.3,10.5,21.7,.117,,0.6,0.6,1.2,7.3
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,BOS,NBA,,202,6025,15.1,.570,.463,.293,3.2,15.9,9.5,9.4,2.1,1.0,8.2,17.8,,9.5,7.8,17.3,.138,,1.1,0.7,1.8,5.8
11,3 seasons,,DAL,NBA,,181,2872,11.2,.521,.516,.196,3.7,12.3,8.1,8.3,2.4,1.2,11.1,14.3,,1.7,2.7,4.4,.074,,-0.4,0.5,0.1,1.5
