,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2004-05,19,NYK,NBA,SF,80,1382,13.3,.503,.033,.447,7.5,13.1,10.3,9.8,2.7,1.0,13.6,17.8,,0.8,1.3,2.1,.073,,-1.6,0.7,-1.0,0.4
2,2005-06,20,TOT,NBA,SF,57,999,11.8,.468,.022,.562,9.6,17.1,13.3,9.8,3.0,0.9,18.0,15.8,,-0.1,1.0,0.9,.043,,-2.1,1.5,-0.6,0.4
3,2005-06,20,NYK,NBA,SF,36,709,10.2,.459,.021,.527,8.3,15.3,11.7,10.4,3.2,1.0,20.4,14.4,,-0.4,0.6,0.3,.020,,-2.3,2.0,-0.3,0.3
4,2005-06,20,ORL,NBA,SF,21,290,15.8,.485,.025,.625,12.7,21.5,17.3,8.3,2.6,0.5,13.6,19.3,,0.2,0.4,0.6,.101,,-1.6,0.2,-1.4,0.0
5,2006-07,21,ORL,NBA,SG,57,1278,16.2,.567,.019,.461,9.7,14.2,12.0,8.9,2.5,1.2,15.8,19.2,,1.5,1.9,3.4,.128,,0.2,1.2,1.5,1.1
6,2007-08,22,TOT,NBA,SF,35,546,16.1,.568,.132,.551,6.4,15.4,11.1,11.8,2.9,1.5,12.0,15.6,,0.9,0.9,1.8,.157,,0.0,1.8,1.8,0.5
7,2007-08,22,ORL,NBA,SF,11,115,12.7,.479,.097,.484,5.2,18.3,12.0,10.7,2.2,1.9,11.7,17.0,,0.0,0.2,0.2,.085,,-3.4,1.9,-1.5,0.0
8,2007-08,22,LAL,NBA,SF,24,431,17.1,.594,.143,.571,6.7,14.6,10.8,12.0,3.0,1.3,12.0,15.3,,0.9,0.7,1.6,.176,,0.9,1.8,2.7,0.5
9,2008-09,23,LAL,NBA,SF,82,1999,15.5,.544,.320,.284,6.4,13.4,10.0,10.4,3.5,0.9,11.5,16.6,,2.5,3.5,6.1,.146,,1.0,2.1,3.1,2.6
10,2009-10,24,HOU,NBA,SF,72,2629,13.3,.488,.407,.228,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,,0.1,3.1,3.2,.058,,0.0,1.3,1.3,2.2
11,2010-11,25,NOH,NBA,SF,75,2600,11.3,.487,.356,.259,2.8,16.4,9.5,10.0,2.5,1.0,12.2,17.7,,-0.4,3.8,3.4,.062,,-1.2,2.3,1.1,2.0
12,2011-12,26,NOH,NBA,SF,41,1350,14.2,.496,.216,.253,3.7,15.1,9.5,16.8,2.8,1.5,14.5,18.4,,0.5,1.7,2.2,.078,,-0.3,2.2,1.8,1.3
13,2012-13,27,WAS,NBA,SF,56,1471,14.0,.538,.463,.211,3.3,16.9,10.0,12.7,2.5,1.1,14.6,17.9,,0.7,2.4,3.1,.102,,-0.4,1.9,1.5,1.3
14,2013-14,28,WAS,NBA,SF,77,2723,15.8,.590,.518,.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,,4.3,3.7,8.0,.141,,2.3,1.1,3.4,3.6
15,2014-15,29,HOU,NBA,SF,82,2930,12.7,.539,.610,.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,,2.7,3.9,6.6,.108,,0.6,1.3,1.9,2.9
16,2015-16,30,HOU,NBA,SF,81,2859,12.9,.551,.581,.187,2.6,11.6,7.1,10.0,2.8,0.8,10.8,15.7,,3.1,2.3,5.4,.090,,1.2,0.3,1.5,2.5
17,2016-17,31,HOU,NBA,SF,80,2773,12.3,.548,.695,.158,2.1,15.9,9.0,8.8,2.5,0.6,8.0,14.1,,2.8,3.2,6.0,.104,,0.7,1.0,1.7,2.6
18,Career,,,NBA,,875,25539,13.6,.531,.420,.253,4.2,14.8,9.5,11.3,2.7,0.9,12.5,17.2,,19.3,32.7,52.1,.098,,0.3,1.4,1.6,23.4
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4 seasons,,HOU,NBA,,315,11191,12.8,.529,.565,.185,2.7,14.1,8.4,11.6,2.6,0.7,11.3,16.8,,8.6,12.5,21.1,.091,,0.6,1.0,1.6,10.2
21,2 seasons,,WAS,NBA,,133,4194,15.2,.572,.499,.221,3.8,16.5,10.1,11.5,2.4,0.8,13.1,17.8,,5.0,6.2,11.1,.127,,1.4,1.4,2.7,4.9
22,2 seasons,,NOH,NBA,,116,3950,12.3,.490,.307,.257,3.1,15.9,9.5,12.3,2.6,1.2,13.0,17.9,,0.1,5.5,5.6,.068,,-0.9,2.2,1.3,3.3
23,2 seasons,,NYK,NBA,,116,2091,12.2,.490,.030,.469,7.8,13.8,10.8,10.0,2.9,1.0,15.6,16.7,,0.5,1.9,2.4,.055,,-1.9,1.1,-0.7,0.7
24,2 seasons,,LAL,NBA,,106,2430,15.7,.552,.294,.327,6.4,13.7,10.1,10.7,3.4,1.0,11.6,16.4,,3.4,4.2,7.6,.151,,1.0,2.0,3.0,3.1
25,3 seasons,,ORL,NBA,,89,1683,15.9,.547,.025,.490,9.9,15.8,12.9,8.9,2.5,1.1,15.2,19.1,,1.7,2.5,4.2,.120,,-0.3,1.1,0.8,1.2
