,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2010-11,20,IND,NBA,SG,12,115,5.5,.410,.128,.359,1.0,16.3,8.7,28.3,1.8,0.0,26.2,23.5,,-0.4,0.1,-0.2,-0.093,,-7.4,-0.7,-8.1,-0.2
2,2011-12,21,IND,NBA,SG,42,442,7.0,.400,.240,.136,3.1,10.4,6.7,16.5,2.5,0.9,21.4,17.3,,-0.8,0.5,-0.3,-0.031,,-4.4,0.2,-4.2,-0.3
3,2012-13,22,IND,NBA,SG,78,2278,11.8,.530,.314,.192,2.3,12.3,7.4,16.2,1.9,0.5,14.4,15.2,,1.8,3.6,5.5,.115,,-0.6,1.6,0.9,1.7
4,2013-14,23,IND,NBA,SG,78,2752,14.7,.564,.280,.226,4.1,18.1,11.4,22.1,1.0,0.2,18.0,19.4,,2.6,4.8,7.4,.130,,0.7,1.7,2.3,3.0
5,2014-15,24,CHO,NBA,SG,61,1573,8.8,.419,.191,.200,2.7,17.1,9.7,25.4,1.2,0.4,17.6,21.1,,-2.7,1.8,-0.9,-0.026,,-4.0,0.5,-3.5,-0.6
6,2015-16,25,TOT,NBA,SF,69,1372,13.5,.548,.165,.234,3.2,15.1,9.1,16.2,1.6,0.6,15.2,20.2,,0.9,1.3,2.2,.076,,-1.1,-0.3,-1.4,0.2
7,2015-16,25,LAC,NBA,SF,43,680,9.8,.569,.283,.181,3.1,14.0,8.7,13.1,1.8,0.3,21.1,15.1,,0.1,0.8,0.9,.066,,-2.4,0.7,-1.6,0.1
8,2015-16,25,MEM,NBA,SF,26,692,17.1,.537,.101,.263,3.3,16.2,9.5,19.2,1.4,0.8,11.8,25.3,,0.8,0.5,1.2,.086,,0.1,-1.3,-1.2,0.1
9,2016-17,26,TOT,NBA,SG,18,361,9.6,.485,.167,.108,1.2,14.8,8.0,24.8,0.7,0.7,17.1,18.7,,-0.2,0.2,0.1,.009,,-3.9,-1.5,-5.4,-0.3
10,2016-17,26,NOP,NBA,SG,6,162,10.3,.496,.182,.145,1.9,9.8,5.9,27.7,0.6,0.5,15.8,19.0,,0.0,0.1,0.1,.028,,-3.0,-1.9,-4.8,-0.1
11,2016-17,26,MIN,NBA,SG,6,67,6.6,.480,.095,.095,0.0,17.7,8.7,11.2,0.0,0.0,15.5,17.1,,-0.1,0.0,-0.1,-0.045,,-6.1,-3.1,-9.3,-0.1
12,2016-17,26,IND,NBA,SG,6,132,10.3,.474,.182,.068,0.9,19.3,10.2,28.1,1.1,1.3,19.5,19.1,,-0.1,0.1,0.0,.012,,-4.0,-0.2,-4.2,-0.1
13,Career,,,NBA,,358,8893,12.0,.513,.241,.208,3.0,15.4,9.3,20.2,1.4,0.4,17.0,18.7,,1.4,12.4,13.8,.074,,-1.3,0.9,-0.4,3.6
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5 seasons,,IND,NBA,,216,5719,12.7,.534,.283,.206,3.2,15.2,9.4,19.6,1.5,0.4,17.3,17.6,,3.2,9.2,12.4,.104,,-0.5,1.4,0.9,4.2
16,1 season,,CHO,NBA,,61,1573,8.8,.419,.191,.200,2.7,17.1,9.7,25.4,1.2,0.4,17.6,21.1,,-2.7,1.8,-0.9,-0.026,,-4.0,0.5,-3.5,-0.6
17,1 season,,LAC,NBA,,43,680,9.8,.569,.283,.181,3.1,14.0,8.7,13.1,1.8,0.3,21.1,15.1,,0.1,0.8,0.9,.066,,-2.4,0.7,-1.6,0.1
18,1 season,,MEM,NBA,,26,692,17.1,.537,.101,.263,3.3,16.2,9.5,19.2,1.4,0.8,11.8,25.3,,0.8,0.5,1.2,.086,,0.1,-1.3,-1.2,0.1
19,1 season,,MIN,NBA,,6,67,6.6,.480,.095,.095,0.0,17.7,8.7,11.2,0.0,0.0,15.5,17.1,,-0.1,0.0,-0.1,-0.045,,-6.1,-3.1,-9.3,-0.1
20,1 season,,NOP,NBA,,6,162,10.3,.496,.182,.145,1.9,9.8,5.9,27.7,0.6,0.5,15.8,19.0,,0.0,0.1,0.1,.028,,-3.0,-1.9,-4.8,-0.1
