,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2009-10,23,UTA,NBA,SG,82,2025,12.3,.592,.292,.342,3.0,8.0,5.6,9.0,1.6,0.6,12.5,16.5,,2.6,1.9,4.6,.108,,0.3,-0.5,-0.2,0.9
2,2010-11,24,POR,NBA,SG,82,2758,15.5,.582,.386,.322,2.0,9.7,5.7,10.2,2.0,0.3,11.0,21.3,,5.0,2.3,7.2,.126,,2.1,-1.1,1.1,2.1
3,2011-12,25,POR,NBA,SG,66,2228,14.1,.539,.442,.224,2.9,9.0,5.9,8.3,2.3,0.5,8.0,18.7,,3.4,1.4,4.8,.104,,1.9,-0.6,1.3,1.9
4,2012-13,26,POR,NBA,SG,69,2403,14.1,.574,.526,.231,1.7,7.6,4.6,11.8,2.0,0.6,10.9,19.1,,3.6,1.0,4.7,.093,,2.3,-1.1,1.2,2.0
5,2013-14,27,POR,NBA,SG,82,2780,15.7,.588,.506,.298,2.0,9.1,5.6,10.9,1.4,0.4,8.8,19.6,,6.3,1.9,8.2,.142,,3.4,-0.9,2.4,3.1
6,2014-15,28,POR,NBA,SG,60,2024,16.1,.586,.592,.193,2.1,9.5,5.9,10.8,1.9,0.4,9.0,19.8,,4.0,2.2,6.2,.147,,3.8,0.1,3.9,3.0
7,2015-16,29,DAL,NBA,SF,78,2644,10.9,.532,.615,.171,1.1,8.8,4.9,8.9,1.5,0.5,7.8,17.2,,1.9,1.8,3.7,.067,,0.8,-0.3,0.5,1.6
8,2016-17,30,DAL,NBA,SG,73,2495,11.9,.533,.566,.211,0.8,11.8,6.0,13.6,1.6,0.6,9.9,19.4,,1.0,2.1,3.1,.060,,0.2,-0.1,0.1,1.3
9,Career,,,NBA,,592,19357,13.8,.566,.496,.249,1.9,9.2,5.5,10.5,1.8,0.5,9.7,19.0,,27.8,14.6,42.5,.105,,1.9,-0.6,1.3,16.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5 seasons,,POR,NBA,,359,12193,15.1,.575,.486,.260,2.1,9.0,5.5,10.4,1.9,0.4,9.6,19.8,,22.3,8.8,31.1,.122,,2.7,-0.8,1.9,12.1
12,2 seasons,,DAL,NBA,,151,5139,11.4,.532,.590,.191,1.0,10.2,5.5,11.2,1.6,0.6,8.9,18.3,,2.9,3.9,6.8,.064,,0.5,-0.2,0.3,3.0
13,1 season,,UTA,NBA,,82,2025,12.3,.592,.292,.342,3.0,8.0,5.6,9.0,1.6,0.6,12.5,16.5,,2.6,1.9,4.6,.108,,0.3,-0.5,-0.2,0.9
