,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1996-97,20,DAL,NBA,PF,43,602,12.2,.487,.005,.396,8.9,19.6,14.2,4.9,1.3,2.9,15.1,19.7,,-0.2,0.7,0.5,.037,,-5.1,-0.3,-5.4,-0.5
2,1997-98,21,DAL,NBA,PF,41,1027,14.4,.502,.003,.302,10.2,22.8,16.4,4.1,1.6,2.7,14.4,18.9,,0.1,1.3,1.4,.067,,-3.7,-0.2,-3.9,-0.5
3,1998-99,22,DAL,NBA,PF,39,568,12.6,.491,.005,.516,9.0,19.3,14.1,1.9,0.9,2.0,13.7,21.8,,0.1,0.5,0.6,.047,,-4.1,-3.1,-7.2,-0.7
4,1999-00,23,SAS,NBA,PF,71,980,13.1,.499,.000,.413,9.3,21.6,15.8,6.4,0.5,2.5,15.1,20.0,,0.3,1.7,2.0,.098,,-3.6,0.4,-3.2,-0.3
5,2000-01,24,SAS,NBA,PF,61,963,12.2,.524,.012,.492,8.3,19.7,14.3,5.0,0.6,2.9,18.2,18.3,,0.2,1.7,1.9,.093,,-3.6,0.9,-2.6,-0.2
6,2001-02,25,LAL,NBA,PF,69,1655,14.5,.545,.000,.353,8.7,23.2,16.0,5.7,0.9,3.8,11.2,12.9,,2.4,2.8,5.3,.153,,-1.7,2.3,0.6,1.1
7,2002-03,26,LAL,NBA,C,67,1243,11.6,.465,.004,.369,10.3,23.1,16.7,7.5,0.8,3.2,15.0,13.4,,0.6,1.4,2.1,.079,,-3.4,0.8,-2.6,-0.2
8,2003-04,27,MIA,NBA,PF,33,418,10.4,.444,.020,.444,11.6,19.7,15.6,2.4,1.2,2.1,11.2,15.0,,0.1,0.6,0.7,.080,,-4.5,-0.7,-5.3,-0.3
9,2004-05,28,WAS,NBA,PF,14,134,3.1,.371,.000,.097,6.5,8.7,7.6,4.5,1.2,3.9,19.8,13.1,,-0.2,0.1,-0.1,-0.047,,-7.0,0.5,-6.6,-0.2
10,2005-06,29,IND,NBA,PF,7,22,-6.2,.347,.000,1.000,0.0,15.3,7.9,0.0,0.0,3.3,41.0,10.3,,-0.1,0.0,0.0,-0.091,,-12.5,0.3,-12.3,-0.1
11,Career,,,NBA,,445,7612,12.7,.500,.004,.394,9.3,21.4,15.4,5.2,0.9,3.0,14.5,16.7,,3.4,10.8,14.2,.089,,-3.5,0.5,-3.0,-1.8
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2 seasons,,LAL,NBA,,136,2898,13.2,.511,.002,.360,9.4,23.2,16.3,6.5,0.9,3.6,12.8,13.1,,3.1,4.3,7.3,.121,,-2.4,1.7,-0.8,0.9
14,2 seasons,,SAS,NBA,,132,1943,12.6,.510,.005,.449,8.8,20.7,15.0,5.7,0.5,2.7,16.5,19.1,,0.5,3.4,3.9,.096,,-3.6,0.7,-2.9,-0.4
15,3 seasons,,DAL,NBA,,123,2197,13.3,.495,.004,.385,9.5,21.0,15.2,3.7,1.3,2.6,14.4,19.9,,0.0,2.4,2.5,.054,,-4.2,-1.0,-5.1,-1.7
16,1 season,,MIA,NBA,,33,418,10.4,.444,.020,.444,11.6,19.7,15.6,2.4,1.2,2.1,11.2,15.0,,0.1,0.6,0.7,.080,,-4.5,-0.7,-5.3,-0.3
17,1 season,,WAS,NBA,,14,134,3.1,.371,.000,.097,6.5,8.7,7.6,4.5,1.2,3.9,19.8,13.1,,-0.2,0.1,-0.1,-0.047,,-7.0,0.5,-6.6,-0.2
18,1 season,,IND,NBA,,7,22,-6.2,.347,.000,1.000,0.0,15.3,7.9,0.0,0.0,3.3,41.0,10.3,,-0.1,0.0,0.0,-0.091,,-12.5,0.3,-12.3,-0.1
