,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1989-90,21,SAS,NBA,SF,81,2032,12.5,.546,.014,.334,7.2,9.2,8.2,10.7,1.1,0.4,13.1,17.4,,2.6,2.0,4.6,.108,,-0.4,-0.6,-0.9,0.6
2,1990-91,22,SAS,NBA,SF,82,3044,14.2,.564,.066,.412,5.4,10.8,8.3,11.1,1.1,0.7,11.3,17.8,,5.1,3.7,8.8,.138,,1.0,0.6,1.6,2.8
3,1991-92,23,SAS,NBA,SF,82,3120,14.4,.564,.079,.318,5.0,10.3,7.7,10.0,1.3,0.6,11.4,18.1,,5.0,3.4,8.4,.130,,1.0,0.4,1.4,2.7
4,1992-93,24,SAS,NBA,SF,70,2604,15.5,.566,.113,.367,3.9,10.0,7.1,15.4,1.3,0.7,12.5,20.6,,3.9,2.2,6.1,.113,,1.6,0.0,1.6,2.3
5,1993-94,25,DET,NBA,SF,73,2409,11.3,.510,.110,.219,3.1,9.1,6.0,12.5,1.1,0.7,13.0,18.1,,1.0,0.4,1.4,.028,,-1.4,-0.9,-2.3,-0.2
6,1994-95,26,SAS,NBA,SF,81,2858,16.0,.587,.311,.377,2.6,8.5,5.7,11.3,1.4,0.9,10.8,21.6,,5.8,2.9,8.7,.147,,2.4,-0.3,2.1,2.9
7,1995-96,27,SAS,NBA,SF,77,2901,16.3,.585,.348,.375,2.8,12.1,7.6,11.8,1.2,0.8,13.1,23.4,,4.1,3.6,7.7,.128,,2.0,0.0,2.0,2.9
8,1996-97,28,SAS,NBA,SF,39,1393,14.0,.529,.272,.422,4.0,12.7,8.2,15.5,0.9,1.4,13.9,21.3,,1.4,0.1,1.5,.051,,0.3,-1.5,-1.1,0.3
9,1997-98,29,SAS,NBA,SF,36,1012,9.5,.495,.297,.257,1.9,11.6,7.1,10.0,1.3,1.0,14.5,18.3,,-0.1,1.5,1.4,.065,,-2.2,0.7,-1.5,0.1
10,1998-99,30,SAS,NBA,SF,50,1509,12.6,.493,.235,.276,2.8,12.5,7.9,13.3,0.9,0.8,11.1,19.7,,1.3,2.2,3.5,.113,,-0.5,0.5,0.0,0.7
11,1999-00,31,SAS,NBA,SF,19,391,8.8,.475,.349,.302,1.8,11.4,6.8,11.1,1.6,0.4,13.7,16.4,,0.0,0.6,0.5,.067,,-2.1,0.4,-1.7,0.0
12,2000-01,32,SAS,NBA,SF,52,1229,12.4,.544,.381,.248,1.6,13.4,7.8,10.8,1.0,1.4,11.9,16.3,,1.3,1.7,3.0,.118,,0.0,0.8,0.8,0.9
13,Career,,,NBA,,742,24502,13.9,.553,.190,.340,3.9,10.6,7.3,12.0,1.2,0.8,12.2,19.5,,31.4,24.2,55.7,.109,,0.6,0.0,0.6,16.1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11 seasons,,SAS,NBA,,669,22093,14.2,.558,.198,.352,3.9,10.8,7.5,11.9,1.2,0.8,12.2,19.6,,30.4,23.9,54.3,.118,,0.9,0.1,0.9,16.3
16,1 season,,DET,NBA,,73,2409,11.3,.510,.110,.219,3.1,9.1,6.0,12.5,1.1,0.7,13.0,18.1,,1.0,0.4,1.4,.028,,-1.4,-0.9,-2.3,-0.2
