,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1998-99,23,TOR,NBA,PF,8,28,7.8,.619,.000,.250,0.0,4.2,2.1,0.0,1.9,0.0,25.3,19.2,,0.0,0.0,0.0,-0.036,,-5.7,-4.6,-10.3,-0.1
2,1999-00,24,TOR,NBA,PF,5,12,9.7,.515,.167,.667,0.0,19.3,9.3,0.0,4.3,5.9,27.9,39.7,,0.0,0.0,0.0,-0.094,,-13.0,-2.9,-15.8,0.0
3,2001-02,26,MIA,NBA,C,21,319,9.3,.466,.000,.386,7.0,20.4,13.7,4.3,0.9,2.4,15.6,18.2,,-0.2,0.5,0.3,.044,,-6.0,0.4,-5.6,-0.3
4,2002-03,27,MIA,NBA,PF,23,223,3.8,.412,.017,.254,4.0,14.4,9.1,2.3,1.2,2.1,17.6,16.8,,-0.4,0.3,-0.2,-0.037,,-8.1,-0.1,-8.3,-0.4
5,2004-05,29,SAS,NBA,PF,23,244,8.7,.412,.038,.350,8.6,18.2,13.4,5.2,0.7,3.3,13.2,20.3,,-0.3,0.5,0.2,.038,,-6.6,0.7,-5.9,-0.2
6,2005-06,30,SAS,NBA,PF,25,181,17.9,.531,.042,.169,8.0,19.8,14.0,7.0,1.5,2.8,8.4,22.0,,0.2,0.4,0.6,.156,,-2.1,0.7,-1.4,0.0
7,2006-07,31,PHO,NBA,PF,3,17,6.7,.436,.167,.333,0.0,19.6,10.3,0.0,0.0,4.1,0.0,18.2,,0.0,0.0,0.0,.043,,-7.7,-3.4,-11.2,0.0
8,2007-08,32,PHO,NBA,C,19,130,16.1,.574,.093,.442,8.5,21.7,15.6,4.5,1.1,5.0,13.5,20.4,,0.1,0.2,0.3,.121,,-2.9,0.2,-2.6,0.0
9,2008-09,33,NOH,NBA,C,60,838,8.8,.521,.061,.267,9.0,18.0,13.5,2.6,0.5,3.3,16.0,12.6,,0.2,1.0,1.2,.067,,-4.5,0.4,-4.1,-0.5
10,2009-10,34,NOH,NBA,C,14,75,9.0,.490,.000,.625,21.5,14.3,18.0,3.6,0.0,3.0,16.4,7.4,,0.1,0.0,0.2,.104,,-1.4,-0.1,-1.5,0.0
11,2010-11,35,POR,NBA,C,29,208,4.9,.473,.045,.182,9.0,14.8,11.8,2.9,0.8,2.0,18.8,13.1,,-0.1,0.2,0.1,.019,,-5.3,-0.7,-6.0,-0.2
12,Career,,,NBA,,230,2275,9.1,.488,.043,.299,8.3,17.8,13.1,3.6,0.8,3.0,15.1,16.0,,-0.5,3.1,2.6,.055,,-5.1,0.2,-4.9,-1.7
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2 seasons,,NOH,NBA,,74,913,8.8,.519,.058,.283,10.0,17.7,13.9,2.7,0.4,3.3,16.0,12.2,,0.3,1.0,1.3,.070,,-4.2,0.3,-3.9,-0.4
15,2 seasons,,SAS,NBA,,48,425,12.7,.466,.040,.265,8.4,18.9,13.7,6.0,1.0,3.1,11.1,21.0,,-0.1,0.8,0.8,.088,,-4.7,0.7,-4.0,-0.2
16,2 seasons,,MIA,NBA,,44,542,7.0,.445,.007,.333,5.8,17.9,11.8,3.5,1.0,2.3,16.4,17.7,,-0.7,0.8,0.1,.010,,-6.9,0.2,-6.7,-0.6
17,1 season,,POR,NBA,,29,208,4.9,.473,.045,.182,9.0,14.8,11.8,2.9,0.8,2.0,18.8,13.1,,-0.1,0.2,0.1,.019,,-5.3,-0.7,-6.0,-0.2
18,2 seasons,,PHO,NBA,,22,147,15.0,.558,.102,.429,7.5,21.5,15.0,4.0,1.0,4.9,12.1,20.2,,0.1,0.2,0.3,.112,,-3.4,-0.2,-3.6,-0.1
19,2 seasons,,TOR,NBA,,13,40,8.3,.571,.071,.429,0.0,8.7,4.2,0.0,2.6,1.8,26.5,25.4,,-0.1,0.0,0.0,-0.053,,-7.9,-4.1,-11.9,-0.1
