,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2006-07,21,CLE,NBA,SG,23,202,7.5,.455,.338,.189,3.4,8.9,6.0,8.1,1.8,1.2,14.9,21.1,,-0.2,0.3,0.1,.015,,-4.4,-0.7,-5.1,-0.2
2,2007-08,22,TOT,NBA,SG,21,240,6.3,.411,.238,.230,2.8,6.9,4.7,12.8,2.4,1.0,14.7,30.7,,-0.8,0.3,-0.5,-0.102,,-6.5,-3.1,-9.6,-0.5
3,2007-08,22,CLE,NBA,SG,15,218,8.1,.433,.261,.207,2.5,7.0,4.7,14.1,2.4,0.4,13.6,29.2,,-0.5,0.2,-0.2,-0.052,,-4.7,-2.9,-7.6,-0.3
4,2007-08,22,CHI,NBA,SG,6,22,-11.8,.255,.067,.400,5.0,5.3,5.1,0.0,2.3,7.1,22.1,45.5,,-0.3,0.0,-0.3,-0.592,,-24.3,-4.7,-29.0,-0.2
5,2008-09,23,TOT,NBA,SG,48,477,12.9,.554,.224,.236,2.8,8.1,5.5,13.7,2.5,1.2,17.3,21.4,,0.1,0.6,0.7,.067,,-2.2,-0.7,-2.9,-0.1
6,2008-09,23,CHA,NBA,SG,30,341,12.1,.529,.228,.244,2.9,5.8,4.4,14.8,2.9,1.2,17.6,22.9,,-0.1,0.4,0.3,.041,,-2.6,-0.6,-3.3,-0.1
7,2008-09,23,LAL,NBA,SG,18,136,15.0,.631,.214,.214,2.5,13.9,8.3,10.9,1.5,1.1,16.4,17.8,,0.2,0.2,0.4,.131,,-1.2,-0.7,-1.9,0.0
8,2009-10,24,LAL,NBA,SG,82,1700,12.4,.517,.319,.204,2.0,10.0,6.0,9.9,1.7,1.4,9.4,18.8,,1.1,2.3,3.4,.096,,-1.3,-0.1,-1.4,0.3
9,2010-11,25,LAL,NBA,SG,82,1568,13.6,.518,.330,.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8,22.2,,1.1,1.9,3.1,.093,,-0.6,-1.1,-1.7,0.1
10,2011-12,26,PHO,NBA,SG,59,1400,13.6,.507,.314,.166,3.1,9.5,6.3,8.1,1.6,0.8,9.1,22.8,,0.8,0.8,1.6,.054,,0.0,-1.3,-1.3,0.2
11,2012-13,27,PHO,NBA,SG,59,1402,13.1,.493,.247,.219,3.5,8.7,6.0,12.8,2.2,0.8,10.6,22.2,,0.4,0.8,1.2,.041,,-0.9,-1.3,-2.1,0.0
12,2013-14,28,TOT,NBA,SG,29,251,4.7,.419,.030,.318,3.2,9.5,6.4,5.0,2.7,0.0,19.3,17.1,,-0.5,0.3,-0.3,-0.050,,-6.8,-0.3,-7.0,-0.3
13,2013-14,28,SAS,NBA,SG,10,103,-0.5,.360,.071,.321,1.1,12.6,7.1,6.4,0.5,0.0,20.0,17.5,,-0.3,0.1,-0.2,-0.102,,-9.2,-0.9,-10.1,-0.2
14,2013-14,28,NYK,NBA,SG,19,148,8.4,.462,.000,.316,4.6,7.4,6.0,4.1,4.3,0.0,18.8,16.7,,-0.2,0.2,0.0,-0.013,,-5.0,0.2,-4.9,-0.1
15,2014-15,29,MIA,NBA,SG,5,89,4.4,.482,.368,.211,0.0,1.3,0.7,5.2,2.4,0.0,16.2,13.1,,-0.1,0.0,0.0,-0.016,,-4.2,-1.9,-6.1,-0.1
16,Career,,,NBA,,408,7329,12.4,.503,.291,.194,2.8,9.0,5.9,10.2,2.0,0.9,10.9,21.4,,1.9,7.2,9.2,.060,,-1.4,-1.0,-2.3,-0.6
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3 seasons,,LAL,NBA,,182,3404,13.0,.521,.321,.181,2.3,9.5,5.9,10.0,2.0,1.1,9.9,20.3,,2.5,4.3,6.8,.096,,-1.0,-0.6,-1.6,0.4
19,2 seasons,,PHO,NBA,,118,2802,13.3,.500,.281,.192,3.3,9.1,6.2,10.5,1.9,0.8,9.8,22.5,,1.2,1.6,2.8,.047,,-0.4,-1.3,-1.7,0.2
20,2 seasons,,CLE,NBA,,38,420,7.9,.442,.292,.200,2.9,7.9,5.4,11.2,2.1,0.7,14.1,25.3,,-0.7,0.5,-0.2,-0.020,,-4.5,-1.9,-6.4,-0.5
21,1 season,,CHA,NBA,,30,341,12.1,.529,.228,.244,2.9,5.8,4.4,14.8,2.9,1.2,17.6,22.9,,-0.1,0.4,0.3,.041,,-2.6,-0.6,-3.3,-0.1
22,1 season,,NYK,NBA,,19,148,8.4,.462,.000,.316,4.6,7.4,6.0,4.1,4.3,0.0,18.8,16.7,,-0.2,0.2,0.0,-0.013,,-5.0,0.2,-4.9,-0.1
23,1 season,,SAS,NBA,,10,103,-0.5,.360,.071,.321,1.1,12.6,7.1,6.4,0.5,0.0,20.0,17.5,,-0.3,0.1,-0.2,-0.102,,-9.2,-0.9,-10.1,-0.2
24,1 season,,CHI,NBA,,6,22,-11.8,.255,.067,.400,5.0,5.3,5.1,0.0,2.3,7.1,22.1,45.5,,-0.3,0.0,-0.3,-0.592,,-24.3,-4.7,-29.0,-0.2
25,1 season,,MIA,NBA,,5,89,4.4,.482,.368,.211,0.0,1.3,0.7,5.2,2.4,0.0,16.2,13.1,,-0.1,0.0,0.0,-0.016,,-4.2,-1.9,-6.1,-0.1
