,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2001-02,23,PHI,NBA,PG,67,1528,12.6,.469,.073,.301,3.5,8.4,5.9,21.9,3.4,0.3,15.7,18.2,,0.4,2.4,2.8,.087,,-1.6,1.0,-0.7,0.5
2,2002-03,24,SAS,NBA,PG,30,471,15.9,.509,.076,.393,5.7,8.0,6.9,26.9,2.5,1.0,17.1,20.2,,0.6,0.6,1.2,.125,,-0.1,0.2,0.1,0.2
3,2003-04,25,GSW,NBA,PG,60,1595,17.3,.509,.042,.427,2.7,8.4,5.5,28.7,3.3,0.4,14.1,20.9,,2.6,1.6,4.2,.127,,0.8,0.1,0.9,1.2
4,2004-05,26,TOT,NBA,PG,62,1866,15.8,.493,.100,.416,2.1,9.1,5.4,33.1,3.0,0.3,14.1,20.1,,1.9,1.8,3.7,.096,,-0.2,-0.4,-0.5,0.7
5,2004-05,26,GSW,NBA,PG,46,1501,16.4,.508,.104,.425,2.2,9.2,5.5,30.9,3.0,0.3,13.4,20.2,,2.1,1.5,3.5,.113,,0.4,-0.1,0.3,0.9
6,2004-05,26,NOH,NBA,PG,16,365,13.4,.422,.082,.373,1.6,8.8,5.0,42.3,3.3,0.4,17.4,19.7,,-0.2,0.4,0.2,.027,,-2.5,-1.4,-3.9,-0.2
7,2005-06,27,NOK,NBA,PG,71,2019,16.1,.497,.086,.435,2.2,9.3,5.7,29.8,2.9,0.2,14.9,23.8,,1.1,2.0,3.0,.072,,0.4,-0.3,0.1,1.0
8,2006-07,28,ATL,NBA,PG,42,1054,7.3,.363,.101,.216,1.4,8.0,4.6,28.1,3.6,0.3,19.8,16.6,,-1.8,1.0,-0.7,-0.034,,-4.6,-0.5,-5.1,-0.8
9,2008-09,30,ATL,NBA,PG,2,15,5.7,.317,.000,.286,0.0,0.0,0.0,32.4,0.0,0.0,0.0,24.6,,0.0,0.0,0.0,-0.083,,-8.3,-10.7,-19.1,-0.1
10,Career,,,NBA,,334,8548,14.5,.481,.079,.382,2.6,8.7,5.6,28.5,3.1,0.3,15.3,20.4,,4.7,9.5,14.2,.080,,-0.7,0.0,-0.7,2.8
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2 seasons,,GSW,NBA,,106,3096,16.9,.509,.072,.426,2.5,8.8,5.5,29.8,3.1,0.3,13.7,20.6,,4.7,3.1,7.8,.120,,0.6,0.0,0.6,2.0
13,2 seasons,,"NOH,NOK",NBA,,87,2384,15.7,.487,.085,.427,2.1,9.2,5.6,31.7,3.0,0.3,15.3,23.2,,0.9,2.3,3.2,.065,,-0.1,-0.5,-0.6,0.9
14,1 season,,PHI,NBA,,67,1528,12.6,.469,.073,.301,3.5,8.4,5.9,21.9,3.4,0.3,15.7,18.2,,0.4,2.4,2.8,.087,,-1.6,1.0,-0.7,0.5
15,2 seasons,,ATL,NBA,,44,1069,7.3,.362,.098,.218,1.3,7.9,4.6,28.1,3.6,0.3,19.4,16.7,,-1.8,1.0,-0.8,-0.034,,-4.6,-0.7,-5.3,-0.9
16,1 season,,SAS,NBA,,30,471,15.9,.509,.076,.393,5.7,8.0,6.9,26.9,2.5,1.0,17.1,20.2,,0.6,0.6,1.2,.125,,-0.1,0.2,0.1,0.2
