,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2000-01,22,NJN,NBA,SF,77,1660,12.1,.503,.271,.236,2.8,11.9,7.2,15.1,2.7,0.6,17.1,20.8,,-0.4,1.3,0.9,.026,,-1.5,-0.7,-2.1,-0.1
2,2001-02,23,SAS,NBA,SF,23,227,7.9,.452,.396,.187,1.6,11.3,6.6,8.3,3.5,0.9,18.9,24.9,,-0.5,0.4,-0.1,-0.024,,-4.7,0.2,-4.5,-0.1
3,2002-03,24,SAS,NBA,SG,80,2254,14.5,.526,.363,.224,3.6,10.8,7.4,14.1,3.0,0.9,16.4,22.1,,1.2,3.6,4.8,.102,,0.6,1.1,1.7,2.1
4,2003-04,25,ATL,NBA,SF,80,2940,16.1,.521,.339,.236,3.8,10.4,7.1,15.7,2.6,0.5,13.8,25.0,,2.7,1.8,4.4,.072,,2.1,-1.2,0.8,2.1
5,2004-05,26,IND,NBA,SF,51,1806,15.9,.518,.349,.280,3.0,13.4,8.3,13.5,2.0,0.6,11.8,27.7,,1.0,2.1,3.1,.082,,1.0,-0.6,0.4,1.1
6,2005-06,27,IND,NBA,SG,81,2910,13.6,.512,.295,.297,2.0,10.1,6.2,14.2,1.9,1.1,13.5,24.0,,0.5,3.9,4.4,.073,,-0.5,0.7,0.2,1.6
7,2006-07,28,TOT,NBA,SF-SG,75,2479,14.4,.540,.329,.317,2.7,7.5,5.0,18.8,1.7,1.0,14.5,22.1,,2.3,1.7,4.1,.079,,0.6,-1.2,-0.6,0.9
8,2006-07,28,IND,NBA,SG,37,1186,13.1,.527,.321,.340,1.6,7.8,4.6,16.7,1.4,1.3,14.1,21.7,,0.7,1.0,1.7,.069,,-0.2,-1.1,-1.3,0.2
9,2006-07,28,GSW,NBA,SF,38,1293,15.7,.550,.337,.298,3.7,7.2,5.4,20.6,1.9,0.8,14.9,22.5,,1.6,0.8,2.4,.089,,1.4,-1.3,0.1,0.7
10,2007-08,29,GSW,NBA,SF,73,2855,14.9,.536,.416,.307,2.4,9.8,6.0,15.2,1.6,0.7,12.6,23.1,,3.2,1.4,4.6,.077,,1.5,-1.4,0.1,1.5
11,2008-09,30,GSW,NBA,SF,59,2339,16.1,.530,.306,.357,3.3,10.8,7.1,25.6,1.8,0.9,16.6,25.2,,1.5,0.7,2.2,.045,,1.7,-1.5,0.2,1.3
12,2009-10,31,TOT,NBA,SG-PF,81,3129,15.6,.518,.277,.306,3.0,12.2,7.7,17.7,2.2,1.1,13.9,27.5,,0.5,4.6,5.0,.077,,0.3,0.5,0.8,2.2
13,2009-10,31,GSW,NBA,PF,9,300,14.5,.499,.301,.278,2.2,10.9,6.5,21.3,2.2,1.4,14.8,25.0,,-0.1,0.2,0.0,.008,,-1.1,-1.5,-2.6,0.0
14,2009-10,31,CHA,NBA,SG,72,2829,15.7,.520,.275,.309,3.1,12.3,7.8,17.3,2.2,1.1,13.8,27.8,,0.6,4.4,5.0,.085,,0.5,0.7,1.2,2.3
15,2010-11,32,CHA,NBA,SG,67,2405,14.6,.520,.339,.288,2.6,12.7,7.7,18.4,1.8,0.9,14.9,27.4,,-0.2,2.1,1.9,.039,,0.6,-0.8,-0.2,1.1
16,2011-12,33,TOT,NBA,SF,47,1212,10.7,.485,.400,.268,2.0,13.1,7.6,14.6,2.3,0.8,17.8,21.3,,-0.7,1.3,0.6,.025,,-1.7,0.1,-1.6,0.1
17,2011-12,33,MIL,NBA,SF,26,712,8.9,.459,.397,.221,2.4,10.5,6.4,16.6,1.9,0.6,18.1,22.5,,-0.8,0.5,-0.3,-0.019,,-2.3,-1.1,-3.4,-0.3
18,2011-12,33,SAS,NBA,SF,21,500,13.1,.529,.405,.353,1.4,16.9,9.3,11.8,2.9,1.0,17.3,19.5,,0.1,0.8,0.9,.086,,-0.8,1.8,0.9,0.4
19,2012-13,34,SAS,NBA,SF,55,1075,8.0,.473,.515,.212,2.5,13.5,8.3,10.7,1.8,0.9,17.6,18.7,,-1.2,1.5,0.3,.013,,-3.0,0.6,-2.4,-0.1
20,2013-14,35,LAC,NBA,SF,9,107,0.1,.270,.538,.154,2.2,8.0,5.2,6.2,2.8,0.7,17.8,13.9,,-0.3,0.1,-0.2,-0.099,,-6.8,0.9,-5.9,-0.1
21,Career,,,NBA,,858,27398,14.3,.519,.339,.284,2.8,11.1,7.0,16.4,2.1,0.9,14.6,24.2,,9.5,26.6,36.1,.063,,0.4,-0.4,0.0,13.6
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4 seasons,,GSW,NBA,,179,6787,15.5,.535,.358,.322,2.9,9.7,6.2,20.1,1.8,0.8,14.6,23.8,,6.2,3.0,9.2,.065,,1.4,-1.4,0.0,3.4
24,4 seasons,,SAS,NBA,,179,4056,12.3,.509,.406,.233,2.9,12.3,7.8,12.6,2.7,0.9,16.9,21.0,,-0.5,6.3,5.9,.069,,-0.8,1.0,0.2,2.2
25,3 seasons,,IND,NBA,,169,5902,14.2,.517,.318,.299,2.2,10.7,6.5,14.5,1.8,1.0,13.0,24.7,,2.3,7.0,9.2,.075,,0.0,-0.1,0.0,2.9
26,2 seasons,,CHA,NBA,,139,5234,15.2,.520,.304,.299,2.9,12.5,7.7,17.8,2.0,1.0,14.3,27.6,,0.4,6.5,6.9,.063,,0.5,0.0,0.6,3.4
27,1 season,,ATL,NBA,,80,2940,16.1,.521,.339,.236,3.8,10.4,7.1,15.7,2.6,0.5,13.8,25.0,,2.7,1.8,4.4,.072,,2.1,-1.2,0.8,2.1
28,1 season,,NJN,NBA,,77,1660,12.1,.503,.271,.236,2.8,11.9,7.2,15.1,2.7,0.6,17.1,20.8,,-0.4,1.3,0.9,.026,,-1.5,-0.7,-2.1,-0.1
29,1 season,,MIL,NBA,,26,712,8.9,.459,.397,.221,2.4,10.5,6.4,16.6,1.9,0.6,18.1,22.5,,-0.8,0.5,-0.3,-0.019,,-2.3,-1.1,-3.4,-0.3
30,1 season,,LAC,NBA,,9,107,0.1,.270,.538,.154,2.2,8.0,5.2,6.2,2.8,0.7,17.8,13.9,,-0.3,0.1,-0.2,-0.099,,-6.8,0.9,-5.9,-0.1
