,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1988-89,23,PHO,NBA,PG,26,157,12.7,.540,.370,.196,2.1,9.1,5.8,18.6,2.0,0.0,10.7,14.1,,0.2,0.2,0.4,.123,,0.4,-0.8,-0.4,0.1
2,1989-90,24,CLE,NBA,PG,78,1664,12.0,.560,.333,.169,0.8,5.8,3.3,21.5,1.4,0.3,13.8,14.0,,2.1,1.1,3.2,.093,,-0.9,-2.0,-2.9,-0.4
3,1990-91,25,CLE,NBA,PG,57,905,10.9,.550,.278,.238,0.6,4.1,2.4,20.3,1.6,0.3,14.0,13.8,,0.9,0.4,1.3,.071,,-1.7,-2.9,-4.5,-0.6
4,1991-92,26,CLE,NBA,PG,48,847,15.3,.612,.312,.228,1.9,8.1,5.1,18.0,1.6,0.7,10.6,15.0,,1.8,0.6,2.4,.138,,1.6,-1.5,0.1,0.5
5,1992-93,27,TOT,NBA,SG-PG,52,481,9.4,.505,.213,.197,1.2,8.9,5.3,20.4,1.0,0.1,16.9,14.3,,0.2,0.4,0.6,.057,,-2.8,-1.7,-4.4,-0.3
6,1992-93,27,CLE,NBA,PG,5,41,17.5,.551,.200,.200,0.0,18.8,9.8,36.2,2.5,0.0,15.5,13.9,,0.1,0.1,0.1,.168,,-0.5,-0.4,-0.9,0.0
7,1992-93,27,ORL,NBA,SG,47,440,8.6,.501,.214,.196,1.4,8.0,4.9,18.9,0.9,0.1,17.0,14.4,,0.1,0.3,0.4,.047,,-3.0,-1.8,-4.7,-0.3
8,1993-94,28,CHI,NBA,PG,82,2036,13.7,.572,.215,.168,1.5,6.0,3.8,15.2,1.9,0.1,8.4,14.7,,4.0,2.1,6.1,.145,,0.5,-0.9,-0.3,0.8
9,1994-95,29,CHI,NBA,PG,82,1839,13.5,.635,.343,.164,1.3,6.4,3.8,12.4,1.2,0.1,8.3,14.0,,4.2,1.7,5.9,.153,,1.2,-1.6,-0.4,0.7
10,1995-96,30,CHI,NBA,PG,82,1919,15.2,.663,.492,.174,1.5,5.2,3.3,14.1,1.7,0.1,7.5,12.9,,6.0,2.3,8.3,.208,,3.2,-0.9,2.3,2.1
11,1996-97,31,CHI,NBA,PG,82,1861,15.6,.667,.507,.143,1.8,6.0,3.9,13.5,1.9,0.1,8.0,12.9,,5.4,2.0,7.5,.192,,3.3,-0.8,2.5,2.1
12,1997-98,32,CHI,NBA,PG,50,1119,12.9,.581,.430,.162,1.4,6.5,3.9,13.2,1.3,0.3,7.7,14.0,,2.5,1.2,3.8,.161,,1.2,-1.1,0.1,0.6
13,1998-99,33,SAS,NBA,PG,44,734,9.9,.507,.460,.201,1.0,5.5,3.4,10.6,1.7,0.3,10.4,13.4,,0.7,0.9,1.6,.103,,-0.9,-0.1,-0.9,0.2
14,1999-00,34,SAS,NBA,PG,32,268,10.6,.564,.419,.149,1.3,6.5,4.0,7.2,0.8,0.0,8.2,14.8,,0.4,0.3,0.6,.111,,-0.4,-1.9,-2.3,0.0
15,2000-01,35,SAS,NBA,PG,55,650,10.6,.546,.484,.094,1.1,4.8,3.0,14.1,1.3,0.1,11.3,13.5,,0.8,0.6,1.5,.108,,0.0,-1.5,-1.5,0.1
16,2001-02,36,POR,NBA,PG,65,775,12.3,.573,.304,.184,0.9,8.3,4.6,13.0,0.9,0.1,9.3,15.2,,1.5,0.4,1.8,.114,,-0.4,-2.6,-3.0,-0.2
17,2002-03,37,SAS,NBA,PG,75,952,11.4,.552,.484,.133,1.5,5.6,3.7,11.9,1.5,0.2,11.4,14.9,,1.3,0.9,2.2,.109,,0.0,-1.6,-1.7,0.1
18,Career,,,NBA,,910,16207,13.1,.593,.375,.170,1.3,6.1,3.8,15.0,1.5,0.2,9.9,14.0,,32.1,15.1,47.2,.140,,0.8,-1.4,-0.6,5.8
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5 seasons,,CHI,NBA,,378,8774,14.3,.624,.387,.163,1.5,6.0,3.7,13.8,1.7,0.1,8.0,13.7,,22.1,9.4,31.5,.172,,1.9,-1.0,0.9,6.4
21,4 seasons,,SAS,NBA,,206,2604,10.7,.540,.471,.143,1.2,5.5,3.5,11.6,1.4,0.2,10.8,14.1,,3.1,2.7,5.8,.107,,-0.3,-1.2,-1.5,0.3
22,4 seasons,,CLE,NBA,,188,3457,12.6,.571,.313,.202,1.0,6.1,3.6,20.5,1.5,0.4,13.0,14.2,,5.0,2.2,7.1,.099,,-0.5,-2.1,-2.6,-0.5
23,1 season,,POR,NBA,,65,775,12.3,.573,.304,.184,0.9,8.3,4.6,13.0,0.9,0.1,9.3,15.2,,1.5,0.4,1.8,.114,,-0.4,-2.6,-3.0,-0.2
24,1 season,,ORL,NBA,,47,440,8.6,.501,.214,.196,1.4,8.0,4.9,18.9,0.9,0.1,17.0,14.4,,0.1,0.3,0.4,.047,,-3.0,-1.8,-4.7,-0.3
25,1 season,,PHO,NBA,,26,157,12.7,.540,.370,.196,2.1,9.1,5.8,18.6,2.0,0.0,10.7,14.1,,0.2,0.2,0.4,.123,,0.4,-0.8,-0.4,0.1
