,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2006-07,23,HOU,NBA,SF,35,191,7.7,.501,.780,.040,2.4,13.2,7.8,4.9,1.4,0.0,7.3,13.4,,0.1,0.3,0.4,.091,,-2.3,-0.6,-2.9,0.0
2,2007-08,24,HOU,NBA,SF,35,264,17.3,.651,.696,.039,1.7,13.0,7.5,3.9,0.4,0.8,3.7,18.7,,0.7,0.3,1.1,.196,,2.6,-2.8,-0.2,0.1
3,2008-09,25,LAC,NBA,PF,71,1161,13.5,.606,.722,.058,1.8,10.9,6.2,5.8,0.9,0.3,5.4,16.8,,2.0,0.2,2.2,.092,,1.6,-3.5,-1.9,0.0
4,2009-10,26,LAC,NBA,SF,54,362,8.3,.505,.657,.083,0.3,10.3,5.3,2.6,1.0,0.4,1.8,14.2,,0.2,0.1,0.3,.043,,-2.2,-3.2,-5.4,-0.3
5,2010-11,27,TOT,NBA,SF,30,215,17.8,.737,.687,.119,2.2,12.6,7.6,2.2,0.2,1.7,5.4,16.0,,0.7,0.2,0.9,.196,,3.3,-2.9,0.4,0.1
6,2010-11,27,DAL,NBA,SF,7,18,19.6,.688,.500,.000,0.0,31.3,16.2,0.0,0.0,0.0,0.0,20.8,,0.1,0.0,0.1,.205,,0.3,-7.2,-6.9,0.0
7,2010-11,27,SAS,NBA,SF,23,197,17.7,.744,.712,.136,2.4,10.9,6.8,2.4,0.3,1.8,6.0,15.5,,0.6,0.2,0.8,.195,,3.5,-2.5,1.0,0.2
8,2011-12,28,NYK,NBA,PF,54,1020,15.9,.684,.837,.077,1.0,10.9,5.9,2.0,0.8,0.7,5.7,16.2,,2.9,0.9,3.9,.181,,3.7,-2.7,1.1,0.8
9,2012-13,29,NYK,NBA,SF,81,1641,11.3,.602,.816,.077,1.2,10.0,5.4,3.3,0.9,0.4,2.6,13.0,,3.2,0.8,4.0,.116,,2.0,-2.0,0.0,0.8
10,2013-14,30,TOR,NBA,PF,54,540,11.1,.599,.836,.041,1.7,10.8,6.3,3.8,1.2,0.6,3.3,12.9,,1.0,0.5,1.4,.127,,1.1,-1.7,-0.5,0.2
11,2014-15,31,TOT,NBA,SF-PF,35,197,8.6,.554,.857,.036,1.1,11.4,6.3,8.6,0.0,0.8,8.1,14.1,,0.2,0.1,0.3,.075,,-0.2,-3.2,-3.4,-0.1
12,2014-15,31,UTA,NBA,SF,22,109,14.5,.669,.943,.057,1.1,15.8,8.5,9.3,0.0,0.7,7.7,16.4,,0.3,0.1,0.4,.162,,3.3,-3.6,-0.2,0.0
13,2014-15,31,OKC,NBA,PF,13,88,1.3,.357,.714,.000,1.2,6.0,3.7,7.7,0.0,0.9,8.7,11.3,,-0.1,0.0,-0.1,-0.032,,-4.5,-2.8,-7.3,-0.1
14,2015-16,32,TOT,NBA,PF,10,44,14.4,.651,.833,.056,0.0,12.0,6.2,0.0,0.0,0.0,5.1,19.2,,0.1,0.0,0.1,.121,,1.3,-8.0,-6.6,-0.1
15,2015-16,32,OKC,NBA,PF,7,24,20.8,.708,.750,.000,0.0,17.2,9.1,0.0,0.0,0.0,7.7,23.1,,0.1,0.0,0.1,.181,,2.9,-8.5,-5.7,0.0
16,2015-16,32,MIL,NBA,PF,3,20,6.7,.543,1.000,.167,0.0,5.7,2.9,0.0,0.0,0.0,0.0,14.5,,0.0,0.0,0.0,.050,,-0.5,-7.3,-7.8,0.0
17,2016-17,33,MIL,NBA,PF,8,22,1.3,.357,.857,.000,0.0,15.7,7.9,0.0,0.0,0.0,0.0,14.5,,0.0,0.0,0.0,-0.075,,-6.9,-6.7,-13.6,-0.1
18,Career,,,NBA,,467,5657,12.7,.616,.779,.066,1.4,10.9,6.0,3.8,0.8,0.5,4.4,14.9,,11.1,3.4,14.5,.123,,1.7,-2.6,-0.9,1.6
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2 seasons,,NYK,NBA,,135,2661,13.1,.638,.825,.077,1.1,10.3,5.6,2.8,0.9,0.5,4.0,14.2,,6.1,1.7,7.8,.141,,2.7,-2.2,0.4,1.6
