,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1991-92,22,MIA,NBA,SG,61,1806,12.5,.513,.191,.194,4.9,6.7,5.8,23.4,1.6,0.6,17.6,20.0,,0.8,0.8,1.5,.040,,0.1,-1.5,-1.4,0.3
2,1992-93,23,MIA,NBA,SG,48,1610,16.1,.543,.213,.318,3.9,10.3,7.0,27.3,1.6,0.7,15.5,22.5,,2.3,1.2,3.5,.104,,2.2,-0.7,1.6,1.4
3,1993-94,24,MIA,NBA,SG,78,2776,17.2,.552,.243,.304,6.4,8.0,7.2,22.5,1.5,0.9,14.2,22.1,,6.2,1.9,8.1,.141,,3.6,-0.8,2.8,3.4
4,1994-95,25,TOT,NBA,SG,80,2665,16.1,.559,.414,.369,4.4,7.7,6.0,17.4,1.2,0.9,11.7,22.5,,5.3,2.4,7.8,.140,,2.6,-1.2,1.3,2.2
5,1994-95,25,MIA,NBA,SG,2,62,19.5,.530,.414,.759,7.4,3.9,5.7,18.3,1.7,1.2,9.4,30.4,,0.2,0.0,0.2,.153,,4.1,-3.9,0.2,0.0
6,1994-95,25,ATL,NBA,SG,78,2603,16.1,.560,.414,.358,4.4,7.8,6.0,17.3,1.2,0.9,11.8,22.3,,5.2,2.4,7.6,.139,,2.5,-1.2,1.3,2.2
7,1995-96,26,ATL,NBA,SG,80,2856,16.6,.551,.370,.337,4.9,8.7,6.7,13.4,1.3,0.5,10.3,23.0,,6.4,1.5,7.9,.133,,2.8,-2.0,0.8,2.0
8,1996-97,27,ATL,NBA,SG,72,2818,17.4,.548,.339,.343,3.9,6.1,5.0,20.2,1.2,0.6,11.8,25.0,,6.5,2.6,9.1,.154,,2.8,-1.6,1.3,2.3
9,1997-98,28,ATL,NBA,SG,73,2857,18.8,.563,.251,.413,5.7,7.0,6.4,18.4,1.4,0.7,11.9,23.9,,8.4,1.8,10.2,.171,,4.5,-1.4,3.1,3.7
10,1998-99,29,ATL,NBA,SG,36,1314,17.9,.526,.257,.417,4.5,8.9,6.7,19.0,1.5,0.6,13.4,26.4,,2.7,1.7,4.4,.162,,3.3,-0.2,3.2,1.7
11,1999-00,30,POR,NBA,SG,82,2689,17.3,.584,.268,.378,5.7,7.9,6.8,12.8,1.4,0.9,10.0,20.0,,7.7,2.7,10.4,.186,,3.6,-0.4,3.2,3.6
12,2000-01,31,POR,NBA,SG,81,2542,15.9,.587,.292,.440,4.2,8.4,6.4,13.6,1.0,0.7,12.7,19.7,,6.6,1.6,8.2,.155,,2.5,-1.5,1.1,2.0
13,2001-02,32,SAS,NBA,SG,77,2211,13.9,.588,.361,.265,2.4,7.4,5.0,11.5,1.3,0.5,12.4,18.3,,4.0,2.4,6.4,.139,,1.7,-0.5,1.3,1.8
14,2002-03,33,SAS,NBA,SG,53,1032,12.0,.528,.405,.392,2.5,8.4,5.6,10.9,1.4,0.6,11.2,17.3,,1.4,1.1,2.5,.117,,-0.1,-0.9,-1.0,0.3
15,2003-04,34,NOH,NBA,SG,71,929,11.8,.543,.365,.283,3.2,6.8,5.0,10.6,0.9,0.5,11.3,18.3,,1.5,0.4,1.9,.099,,-0.7,-2.9,-3.6,-0.4
16,2004-05,35,TOT,NBA,SG,50,750,13.6,.554,.423,.323,2.2,7.9,5.0,15.4,1.0,0.7,8.7,18.4,,1.5,0.3,1.8,.113,,1.2,-2.6,-1.4,0.1
17,2004-05,35,CHA,NBA,SG,37,636,14.8,.578,.413,.353,2.2,6.8,4.4,15.0,1.0,0.8,8.7,19.2,,1.5,0.2,1.7,.128,,2.1,-2.9,-0.8,0.2
18,2004-05,35,MIA,NBA,SG,13,114,7.0,.367,.500,.100,2.1,13.8,8.2,17.6,0.9,0.0,8.7,14.0,,-0.1,0.1,0.1,.028,,-3.3,-1.3,-4.6,-0.1
19,Career,,,NBA,,942,28855,16.1,.556,.306,.346,4.5,7.8,6.2,17.1,1.3,0.7,12.4,21.7,,61.2,22.5,83.7,.139,,2.6,-1.2,1.4,24.4
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5 seasons,,ATL,NBA,,339,12448,17.3,.552,.332,.368,4.7,7.6,6.1,17.5,1.3,0.7,11.7,23.9,,29.1,10.0,39.1,.151,,3.2,-1.4,1.8,11.9
22,5 seasons,,MIA,NBA,,202,6368,15.4,.537,.227,.281,5.3,8.3,6.8,23.9,1.6,0.7,15.3,21.5,,9.3,4.1,13.4,.101,,2.1,-1.0,1.2,5.1
23,2 seasons,,POR,NBA,,163,5231,16.6,.585,.279,.407,5.0,8.1,6.6,13.2,1.2,0.8,11.3,19.9,,14.3,4.3,18.6,.171,,3.1,-0.9,2.2,5.5
24,2 seasons,,SAS,NBA,,130,3243,13.3,.569,.374,.303,2.4,7.7,5.2,11.3,1.3,0.5,12.0,18.0,,5.4,3.5,8.9,.132,,1.2,-0.6,0.5,2.1
25,1 season,,NOH,NBA,,71,929,11.8,.543,.365,.283,3.2,6.8,5.0,10.6,0.9,0.5,11.3,18.3,,1.5,0.4,1.9,.099,,-0.7,-2.9,-3.6,-0.4
26,1 season,,CHA,NBA,,37,636,14.8,.578,.413,.353,2.2,6.8,4.4,15.0,1.0,0.8,8.7,19.2,,1.5,0.2,1.7,.128,,2.1,-2.9,-0.8,0.2
