,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1985-86,22,POR,NBA,PG,79,1214,14.8,.545,.094,.347,3.3,7.7,5.5,22.2,3.1,0.0,17.1,20.2,,1.2,1.1,2.3,.093,,-0.1,-1.0,-1.1,0.3
2,1986-87,23,POR,NBA,PG,80,2714,16.2,.570,.078,.434,3.0,10.8,6.9,33.6,2.7,0.2,21.8,17.0,,4.0,2.8,6.8,.120,,1.1,0.2,1.3,2.2
3,1987-88,24,POR,NBA,PG,82,2991,18.1,.592,.078,.364,2.3,11.3,6.8,35.9,2.3,0.3,19.1,16.8,,6.5,3.3,9.8,.157,,2.4,0.0,2.4,3.4
4,1988-89,25,POR,NBA,PG,81,3102,17.7,.555,.191,.283,2.9,10.2,6.4,32.8,2.2,0.2,16.1,19.1,,6.5,2.6,9.2,.142,,2.8,-0.6,2.2,3.3
5,1989-90,26,POR,NBA,PG,80,2781,20.0,.597,.246,.487,2.3,8.4,5.3,35.4,2.5,0.1,17.2,20.1,,7.9,3.8,11.7,.202,,4.4,0.0,4.3,4.4
6,1990-91,27,POR,NBA,PG,81,2665,21.7,.632,.332,.359,2.2,9.4,5.9,34.0,2.8,0.3,14.7,19.6,,9.2,3.9,13.0,.235,,5.9,0.3,6.1,5.5
7,1991-92,28,POR,NBA,PG,82,2784,18.1,.575,.287,.326,2.0,8.0,5.0,24.9,2.2,0.3,12.7,21.6,,7.0,3.5,10.6,.182,,3.6,-0.5,3.1,3.6
8,1992-93,29,POR,NBA,PG,81,2883,17.0,.577,.311,.350,2.1,10.1,6.0,21.7,1.7,0.2,13.5,21.1,,5.7,3.1,8.8,.147,,2.9,-0.5,2.4,3.2
9,1993-94,30,POR,NBA,PG,77,2074,16.4,.538,.337,.280,2.3,9.3,5.6,28.2,1.9,0.6,15.0,21.7,,3.5,1.8,5.4,.124,,2.4,-1.3,1.0,1.6
10,1994-95,31,POR,NBA,PG,35,770,13.7,.515,.427,.307,2.5,9.7,5.9,25.4,2.0,0.2,16.1,19.8,,0.9,0.8,1.7,.106,,0.6,-1.0,-0.4,0.3
11,1995-96,32,MIN,NBA,PG,82,2072,15.4,.552,.372,.344,2.1,10.2,6.1,35.1,2.2,0.6,19.8,18.7,,2.3,1.3,3.7,.085,,1.2,-2.0,-0.8,0.6
12,1996-97,33,MIN,NBA,PG,82,1568,14.5,.544,.445,.370,2.4,10.9,6.6,30.2,1.8,0.5,19.7,19.0,,1.5,1.2,2.7,.082,,0.3,-2.1,-1.8,0.1
13,1997-98,34,MIN,NBA,PG,82,1786,17.3,.586,.404,.338,2.4,8.2,5.3,23.5,1.8,0.6,13.6,19.1,,4.3,0.9,5.2,.139,,2.9,-2.2,0.7,1.2
14,1998-99,35,MIA,NBA,PG,50,1365,16.9,.603,.381,.400,1.2,10.5,6.2,19.6,2.0,0.6,14.5,18.4,,3.3,1.7,5.0,.178,,2.8,0.0,2.8,1.7
15,1999-00,36,SAS,NBA,PG,68,1613,16.6,.596,.447,.367,1.8,11.3,6.7,22.3,1.6,0.4,15.7,18.3,,3.4,2.3,5.6,.168,,2.7,0.0,2.7,1.9
16,2000-01,37,SAS,NBA,PG,80,1678,15.5,.583,.466,.264,1.7,11.4,6.8,24.5,1.7,0.5,17.5,16.7,,3.0,2.3,5.4,.154,,2.0,0.2,2.2,1.8
17,2001-02,38,SAS,NBA,PG,72,1294,13.9,.558,.442,.259,1.1,13.1,7.3,25.2,1.9,0.9,19.2,15.9,,1.6,1.9,3.5,.131,,0.2,0.6,0.8,0.9
18,Career,,,NBA,,1274,35354,17.2,.576,.286,.350,2.2,10.0,6.1,29.0,2.2,0.3,16.4,19.1,,71.9,38.5,110.4,.150,,2.6,-0.5,2.0,35.9
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10 seasons,,POR,NBA,,758,23978,17.9,.576,.236,.355,2.4,9.6,6.0,30.3,2.3,0.2,16.2,19.6,,52.5,26.8,79.3,.159,,2.9,-0.3,2.6,27.8
21,3 seasons,,MIN,NBA,,246,5426,15.7,.562,.403,.349,2.3,9.7,6.0,29.8,2.0,0.6,17.7,18.9,,8.1,3.4,11.5,.102,,1.5,-2.1,-0.6,1.9
22,3 seasons,,SAS,NBA,,220,4585,15.5,.582,.453,.301,1.6,11.8,6.9,23.9,1.7,0.5,17.3,17.0,,8.0,6.5,14.5,.152,,1.8,0.2,2.0,4.6
23,1 season,,MIA,NBA,,50,1365,16.9,.603,.381,.400,1.2,10.5,6.2,19.6,2.0,0.6,14.5,18.4,,3.3,1.7,5.0,.178,,2.8,0.0,2.8,1.7
