,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1995-96,22,DET,NBA,C,75,1305,14.0,.603,.004,.522,10.6,16.7,13.8,1.6,0.7,7.1,16.5,12.4,,1.6,2.2,3.8,.141,,-2.8,2.8,0.0,0.7
2,1996-97,23,DET,NBA,C,76,1292,15.9,.566,.000,.344,10.7,13.9,12.3,1.8,1.3,7.1,12.6,17.0,,1.8,2.1,3.9,.144,,-2.3,2.0,-0.2,0.6
3,1997-98,24,TOT,NBA,C,82,2447,16.2,.561,.000,.471,10.4,15.6,12.9,3.9,1.1,7.9,13.9,15.5,,3.4,3.4,6.7,.132,,-1.2,3.4,2.2,2.6
4,1997-98,24,DET,NBA,C,24,586,13.0,.566,.000,.568,9.3,15.3,12.3,4.1,1.1,7.1,19.7,13.7,,0.4,0.9,1.4,.111,,-2.5,3.6,1.1,0.5
5,1997-98,24,PHI,NBA,C,58,1861,17.2,.560,.000,.449,10.7,15.6,13.2,3.9,1.1,8.1,12.4,16.0,,2.9,2.5,5.4,.139,,-0.7,3.3,2.6,2.2
6,1998-99,25,PHI,NBA,PF,50,1627,16.9,.539,.000,.547,9.7,19.6,14.5,3.3,1.5,7.3,15.0,17.1,,2.1,3.3,5.4,.159,,-1.7,3.6,1.9,1.6
7,1999-00,26,PHI,NBA,PF,57,1795,16.7,.568,.000,.481,8.5,18.4,13.4,3.3,0.9,7.0,15.4,17.2,,2.2,3.3,5.6,.149,,-1.8,3.6,1.7,1.7
8,2000-01,27,PHI,NBA,C,50,1800,16.3,.562,.000,.475,8.0,17.7,13.0,5.3,0.9,7.6,18.6,17.0,,1.7,3.5,5.2,.138,,-1.6,4.9,3.3,2.4
9,2001-02,28,ATL,NBA,C,3,82,11.1,.523,.000,.550,6.9,15.4,11.1,2.0,0.6,7.2,22.0,17.6,,-0.1,0.1,0.0,.012,,-6.3,1.1,-5.2,-0.1
10,2002-03,29,ATL,NBA,C,81,2518,13.8,.512,.000,.360,7.3,19.7,13.7,4.8,1.2,7.3,16.6,15.0,,0.7,3.4,4.0,.077,,-3.4,3.3,0.0,1.2
11,2003-04,30,TOT,NBA,C,85,2664,14.4,.521,.000,.395,8.6,17.9,13.3,4.3,1.1,8.6,15.7,13.2,,1.8,3.4,5.2,.094,,-2.6,4.0,1.4,2.3
12,2003-04,30,ATL,NBA,C,53,1648,12.9,.500,.000,.394,7.3,18.8,13.1,5.1,1.0,7.4,16.4,14.5,,0.4,1.9,2.3,.066,,-3.4,3.2,-0.2,0.7
13,2003-04,30,POR,NBA,C,32,1016,16.8,.566,.000,.398,10.6,16.6,13.6,3.1,1.3,10.4,14.1,11.2,,1.4,1.6,3.0,.140,,-1.3,5.4,4.1,1.6
14,2004-05,31,POR,NBA,C,63,1731,10.1,.500,.000,.416,7.7,14.1,11.0,2.9,0.7,6.5,15.6,9.6,,0.5,1.7,2.3,.063,,-3.5,3.0,-0.5,0.7
15,2005-06,32,POR,NBA,C,55,1301,12.2,.599,.000,.439,8.1,17.8,12.9,3.4,0.8,5.2,17.2,9.9,,1.3,0.7,2.0,.074,,-2.3,1.8,-0.5,0.5
16,2006-07,33,BOS,NBA,C,2,44,6.7,.525,.000,1.333,5.3,13.9,9.5,0.0,1.2,5.3,17.4,5.9,,0.0,0.1,0.1,.073,,-5.6,1.2,-4.4,0.0
17,2007-08,34,TOT,NBA,C-PF,26,437,11.9,.534,.012,.506,8.5,15.6,12.0,4.7,0.9,6.7,16.8,13.2,,0.2,0.6,0.8,.091,,-3.4,3.2,-0.2,0.2
18,2007-08,34,MIN,NBA,PF,10,214,12.3,.563,.022,.556,6.8,14.5,10.6,4.9,0.7,7.1,17.6,14.3,,0.1,0.2,0.3,.067,,-3.4,2.4,-1.1,0.1
19,2007-08,34,DET,NBA,C,16,223,11.6,.501,.000,.450,10.1,16.7,13.4,4.6,1.0,6.4,15.8,12.0,,0.1,0.4,0.5,.115,,-3.4,3.9,0.6,0.1
20,2008-09,35,PHI,NBA,C,46,579,11.2,.560,.000,.547,9.4,17.1,13.2,2.2,1.6,6.6,15.0,7.4,,0.5,0.9,1.4,.115,,-2.9,3.9,1.0,0.4
21,2009-10,36,TOT,NBA,C,49,807,10.3,.511,.000,.329,8.9,14.3,11.6,4.7,0.8,6.0,19.1,12.3,,0.1,1.4,1.4,.084,,-4.0,3.7,-0.4,0.3
22,2009-10,36,SAS,NBA,C,21,183,7.8,.450,.000,.111,9.8,15.7,12.8,6.9,0.9,7.1,29.8,13.4,,-0.3,0.3,0.1,.019,,-6.1,4.7,-1.4,0.0
23,2009-10,36,CHA,NBA,C,28,624,11.0,.528,.000,.397,8.7,13.9,11.3,4.1,0.8,5.7,15.5,12.0,,0.3,1.0,1.3,.104,,-3.4,3.4,0.0,0.3
24,2010-11,37,LAL,NBA,C,10,71,4.4,.145,.000,.333,9.9,10.8,10.4,5.5,1.5,5.4,30.4,6.3,,-0.1,0.1,0.0,.000,,-6.4,4.7,-1.8,0.0
25,Career,,,NBA,,810,20500,14.3,.546,.000,.441,8.8,17.1,13.0,3.7,1.0,7.2,15.8,14.1,,17.6,30.3,47.9,.112,,-2.5,3.4,0.9,15.1
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5 seasons,,PHI,NBA,,261,7662,16.3,.558,.000,.488,9.3,17.7,13.5,3.8,1.1,7.4,15.3,16.1,,9.4,13.5,22.9,.144,,-1.6,3.8,2.3,8.3
28,4 seasons,,DET,NBA,,191,3406,14.4,.574,.001,.442,10.4,15.4,12.9,2.3,1.0,7.0,15.3,14.3,,3.9,5.7,9.6,.135,,-2.6,2.7,0.1,1.8
29,3 seasons,,POR,NBA,,150,4048,12.5,.549,.000,.418,8.6,15.9,12.3,3.1,0.9,7.0,15.7,10.1,,3.2,4.0,7.2,.086,,-2.6,3.2,0.7,2.7
30,3 seasons,,ATL,NBA,,137,4248,13.4,.508,.000,.377,7.3,19.3,13.4,4.8,1.1,7.4,16.6,14.9,,1.0,5.3,6.3,.071,,-3.4,3.2,-0.2,1.9
31,1 season,,CHA,NBA,,28,624,11.0,.528,.000,.397,8.7,13.9,11.3,4.1,0.8,5.7,15.5,12.0,,0.3,1.0,1.3,.104,,-3.4,3.4,0.0,0.3
32,1 season,,SAS,NBA,,21,183,7.8,.450,.000,.111,9.8,15.7,12.8,6.9,0.9,7.1,29.8,13.4,,-0.3,0.3,0.1,.019,,-6.1,4.7,-1.4,0.0
33,1 season,,LAL,NBA,,10,71,4.4,.145,.000,.333,9.9,10.8,10.4,5.5,1.5,5.4,30.4,6.3,,-0.1,0.1,0.0,.000,,-6.4,4.7,-1.8,0.0
34,1 season,,MIN,NBA,,10,214,12.3,.563,.022,.556,6.8,14.5,10.6,4.9,0.7,7.1,17.6,14.3,,0.1,0.2,0.3,.067,,-3.4,2.4,-1.1,0.1
35,1 season,,BOS,NBA,,2,44,6.7,.525,.000,1.333,5.3,13.9,9.5,0.0,1.2,5.3,17.4,5.9,,0.0,0.1,0.1,.073,,-5.6,1.2,-4.4,0.0
