,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1990-91,23,SAS,NBA,PF,35,161,16.3,.514,.000,.750,16.7,22.8,19.9,3.6,1.2,3.4,14.0,24.0,,0.1,0.3,0.4,.129,,-3.2,-1.5,-4.6,-0.1
2,1991-92,24,TOT,NBA,PF,18,90,3.8,.459,.000,.600,8.7,21.4,15.2,0.0,0.5,0.7,22.2,18.6,,-0.2,0.1,-0.1,-0.044,,-9.2,-5.2,-14.4,-0.3
3,1991-92,24,SAS,NBA,PF,1,9,-9.6,.200,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,,0.0,0.0,0.0,-0.247,,-14.1,-6.5,-20.6,0.0
4,1991-92,24,CHH,NBA,PF,3,13,-12.4,.129,.000,.667,8.1,25.3,16.5,0.0,3.6,0.0,50.8,24.5,,-0.2,0.0,-0.1,-0.500,,-23.1,-2.5,-25.6,-0.1
5,1991-92,24,BOS,NBA,PF,7,46,4.1,.465,.000,.444,5.0,16.0,10.8,0.0,0.0,1.3,15.7,11.9,,0.0,0.0,0.0,.007,,-7.0,-3.1,-10.1,-0.1
6,1991-92,24,GSW,NBA,PF,7,22,18.3,.669,.000,1.125,20.2,39.1,29.8,0.0,0.0,0.0,20.1,27.2,,0.1,0.0,0.1,.201,,-3.6,-10.8,-14.4,-0.1
7,1994-95,27,LAC,NBA,C,80,2127,11.7,.526,.005,.391,8.3,17.5,12.6,4.9,1.1,2.0,14.3,16.8,,0.8,1.4,2.2,.049,,-3.1,-0.3,-3.4,-0.8
8,1995-96,28,TOT,NBA,PF,54,1463,13.0,.538,.007,.363,10.0,18.3,14.1,3.4,1.0,1.0,12.7,17.4,,1.2,0.6,1.7,.057,,-2.8,-2.4,-5.2,-1.2
9,1995-96,28,TOR,NBA,PF,24,659,12.9,.541,.000,.332,9.4,20.7,15.0,4.4,1.0,1.0,13.5,17.4,,0.5,0.3,0.8,.057,,-2.8,-2.3,-5.1,-0.5
10,1995-96,28,PHI,NBA,PF,30,804,13.1,.535,.013,.390,10.5,16.4,13.4,2.6,1.0,1.0,12.1,17.5,,0.7,0.2,0.9,.056,,-2.7,-2.6,-5.3,-0.7
11,1996-97,29,NJN,NBA,PF,79,1954,11.9,.523,.002,.456,11.6,17.4,14.3,1.8,1.0,1.9,14.4,13.8,,1.6,1.2,2.8,.069,,-2.8,-1.2,-3.9,-0.9
12,1997-98,30,VAN,NBA,C,61,894,14.9,.536,.000,.443,10.3,19.5,14.9,4.0,1.5,1.9,14.0,21.4,,0.8,0.4,1.3,.067,,-2.5,-2.7,-5.3,-0.7
13,1998-99,31,VAN,NBA,PF,43,1143,15.9,.527,.005,.399,8.4,18.2,13.2,4.0,1.2,2.5,12.3,20.9,,1.3,0.5,1.8,.076,,-2.0,-1.8,-3.8,-0.5
14,1999-00,32,HOU,NBA,PF,10,109,13.8,.534,.000,.444,7.4,20.1,13.9,4.5,0.9,3.0,17.3,21.0,,0.1,0.1,0.2,.073,,-4.7,-1.4,-6.0,-0.1
15,2000-01,33,VAN,NBA,PF,52,823,9.6,.507,.000,.352,10.5,18.6,14.6,1.8,0.6,2.4,17.3,15.4,,0.1,0.6,0.7,.041,,-4.8,-1.3,-6.1,-0.9
16,2001-02,34,MEM,NBA,PF,73,1247,11.4,.503,.003,.335,9.0,20.0,14.5,3.5,1.3,1.7,14.0,17.0,,0.3,1.2,1.5,.059,,-4.4,-0.9,-5.3,-1.0
17,2002-03,35,UTA,NBA,C,58,792,9.2,.508,.000,.362,9.4,14.3,11.9,3.6,1.2,1.9,15.7,18.5,,0.2,0.8,1.0,.061,,-3.4,-1.3,-4.7,-0.5
18,2003-04,36,SAC,NBA,PF,59,789,9.7,.509,.005,.288,8.4,18.4,13.5,5.6,0.9,1.6,15.4,16.7,,0.3,0.6,0.9,.057,,-3.6,-1.3,-4.8,-0.6
19,2004-05,37,SAS,NBA,PF,61,699,8.5,.467,.000,.346,9.0,18.3,13.6,3.2,1.4,2.1,16.0,16.6,,-0.3,1.4,1.1,.078,,-5.4,1.1,-4.3,-0.4
20,Career,,,NBA,,683,12291,11.9,.519,.003,.391,9.6,18.1,13.8,3.5,1.1,1.9,14.4,17.3,,6.3,9.3,15.6,.061,,-3.3,-1.2,-4.6,-8.0
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4 seasons,,"VAN,MEM",NBA,,229,4107,13.0,.520,.002,.385,9.4,19.1,14.3,3.4,1.2,2.1,14.0,18.7,,2.5,2.8,5.3,.062,,-3.4,-1.6,-5.0,-3.1
23,3 seasons,,SAS,NBA,,97,869,9.8,.475,.000,.437,10.3,18.9,14.7,3.2,1.3,2.3,15.3,18.1,,-0.2,1.7,1.5,.084,,-5.1,0.5,-4.5,-0.6
24,1 season,,LAC,NBA,,80,2127,11.7,.526,.005,.391,8.3,17.5,12.6,4.9,1.1,2.0,14.3,16.8,,0.8,1.4,2.2,.049,,-3.1,-0.3,-3.4,-0.8
