,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1988-89,23,CHI,NBA,C,30,190,7.2,.422,.000,.194,11.3,15.9,13.7,8.1,1.0,1.9,16.1,21.0,,-0.3,0.2,-0.1,-0.021,,-5.9,-1.4,-7.2,-0.3
2,1989-90,24,CHI,NBA,C,77,884,9.1,.469,.019,.388,11.7,16.9,14.3,6.8,1.1,1.9,17.2,18.3,,-0.3,0.8,0.5,.028,,-4.3,-1.3,-5.6,-0.8
3,1990-91,25,CHI,NBA,C,74,972,13.7,.540,.013,.477,15.0,25.6,20.3,6.0,1.2,3.7,20.9,15.8,,0.6,1.7,2.3,.115,,-2.3,1.4,-0.9,0.3
4,1991-92,26,CHI,NBA,C,77,1007,14.2,.550,.007,.327,12.7,22.8,17.9,10.3,0.8,2.7,18.5,16.7,,0.8,1.7,2.5,.121,,-1.2,1.2,0.0,0.5
5,1992-93,27,CHI,NBA,C,72,998,14.8,.578,.004,.451,11.5,22.0,16.6,10.0,1.1,3.1,20.1,16.0,,1.0,1.5,2.5,.120,,-1.6,1.2,-0.4,0.4
6,1993-94,28,CHI,NBA,C,43,397,9.8,.464,.009,.286,11.8,25.4,18.6,12.2,1.1,1.9,25.0,18.7,,-0.4,0.7,0.2,.030,,-5.3,1.2,-4.1,-0.2
7,1994-95,29,CHI,NBA,C,78,1592,16.3,.570,.002,.423,15.7,23.0,19.4,8.8,0.9,2.7,17.6,18.5,,2.0,2.7,4.7,.142,,-0.8,1.1,0.4,0.9
8,1995-96,30,SAS,NBA,C,80,1396,13.7,.535,.003,.378,14.5,23.8,19.3,3.5,1.0,3.8,18.2,15.2,,0.7,2.7,3.4,.118,,-3.0,1.8,-1.2,0.3
9,1996-97,31,SAS,NBA,C,65,1918,16.7,.582,.000,.417,15.2,25.1,19.9,3.3,0.9,4.2,15.2,13.9,,2.9,1.5,4.4,.110,,-0.9,0.4,-0.5,0.7
10,1997-98,32,SAS,NBA,C,79,1491,14.8,.557,.003,.451,14.6,26.1,20.7,6.1,0.8,2.4,18.6,13.7,,1.5,3.2,4.7,.151,,-1.7,2.1,0.4,0.9
11,1998-99,33,SAS,NBA,C,37,445,11.7,.630,.000,.433,8.9,25.0,17.4,6.4,1.1,1.5,23.5,9.8,,0.5,1.0,1.5,.160,,-2.2,2.5,0.3,0.3
12,1999-00,34,CHI,NBA,C,67,1012,6.6,.392,.000,.625,10.0,20.5,15.1,10.9,0.7,3.1,26.7,13.2,,-1.6,1.1,-0.5,-0.023,,-6.7,1.6,-5.1,-0.8
13,2000-01,35,POR,NBA,C,13,58,18.5,.651,.000,.444,12.8,23.9,18.5,5.3,2.8,2.6,0.0,8.6,,0.2,0.1,0.3,.245,,1.3,2.1,3.3,0.1
14,Career,,,NBA,,792,12360,13.6,.537,.005,.415,13.5,23.3,18.5,7.1,1.0,3.0,18.9,15.5,,7.7,18.9,26.6,.103,,-2.4,1.1,-1.3,2.3
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8 seasons,,CHI,NBA,,518,7052,12.5,.521,.007,.415,12.9,22.0,17.5,9.0,1.0,2.8,19.8,16.8,,1.9,10.4,12.3,.083,,-2.8,0.9,-2.0,0.1
17,4 seasons,,SAS,NBA,,261,5250,14.9,.564,.002,.415,14.3,25.0,19.8,4.4,0.9,3.4,17.6,13.8,,5.6,8.4,14.0,.128,,-1.8,1.5,-0.4,2.2
18,1 season,,POR,NBA,,13,58,18.5,.651,.000,.444,12.8,23.9,18.5,5.3,2.8,2.6,0.0,8.6,,0.2,0.1,0.3,.245,,1.3,2.1,3.3,0.1
