,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2007-08,23,HOU,NBA,PG,51,608,13.1,.535,.484,.218,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,,0.6,0.8,1.4,.112,,0.0,-1.8,-1.8,0.0
2,2008-09,24,HOU,NBA,PG,80,1998,12.9,.521,.395,.220,2.0,7.0,4.6,20.2,1.2,0.3,12.7,22.9,,1.4,2.2,3.6,.086,,0.2,-1.5,-1.3,0.4
3,2009-10,25,HOU,NBA,PG,82,2919,16.0,.549,.394,.224,2.0,6.6,4.2,25.6,1.2,0.3,13.7,25.7,,3.9,1.6,5.5,.091,,2.7,-2.5,0.2,1.6
4,2010-11,26,TOT,NBA,PG,59,1284,13.1,.489,.402,.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,,0.7,0.4,1.1,.040,,0.4,-4.0,-3.5,-0.5
5,2010-11,26,HOU,NBA,PG,34,811,11.7,.465,.437,.214,1.5,5.6,3.6,25.2,1.3,0.2,11.5,26.1,,0.1,0.3,0.4,.023,,-0.1,-3.9,-4.0,-0.4
6,2010-11,26,PHO,NBA,PG,25,473,15.6,.533,.335,.285,2.2,4.4,3.3,35.3,1.4,0.2,16.4,25.7,,0.6,0.1,0.7,.070,,1.4,-4.1,-2.8,-0.1
7,2012-13,28,TOT,NBA,PG,53,997,11.8,.555,.424,.165,1.5,7.9,4.6,18.0,1.5,0.8,16.5,18.1,,0.8,0.0,0.8,.041,,0.0,-2.7,-2.7,-0.2
8,2012-13,28,SAC,NBA,PG,46,959,12.1,.562,.419,.172,1.4,8.1,4.7,17.8,1.5,0.6,16.2,18.0,,0.9,0.0,0.9,.045,,0.2,-2.7,-2.5,-0.1
9,2012-13,28,HOU,NBA,PG,7,38,5.6,.385,.538,.000,3.0,3.0,3.0,23.1,1.3,6.0,23.5,19.6,,-0.1,0.0,0.0,-0.063,,-5.8,-0.5,-6.3,0.0
10,2013-14,29,TOT,NBA,PG,72,1557,12.5,.518,.427,.164,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,,1.3,0.9,2.2,.067,,0.4,-1.9,-1.5,0.2
11,2013-14,29,HOU,NBA,PG,43,716,11.9,.529,.502,.167,3.8,5.7,4.8,18.1,1.7,0.6,15.3,20.4,,0.6,0.5,1.1,.076,,0.3,-2.1,-1.8,0.0
12,2013-14,29,DEN,NBA,PG,29,841,12.9,.508,.365,.160,2.6,7.5,5.0,27.7,1.6,0.6,16.2,20.5,,0.6,0.4,1.0,.058,,0.4,-1.6,-1.2,0.2
13,2014-15,30,CHI,NBA,PG,82,1885,14.4,.534,.383,.213,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25.0,,1.7,1.5,3.3,.083,,1.0,-2.4,-1.4,0.3
14,2015-16,31,CHI,NBA,PG,69,1108,11.8,.494,.394,.136,2.0,7.5,4.8,26.0,1.4,0.7,14.2,22.9,,0.2,0.7,0.9,.040,,-0.5,-2.8,-3.3,-0.4
15,2016-17,32,IND,NBA,PG,65,894,9.5,.507,.427,.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,,-0.2,0.5,0.3,.016,,-2.1,-2.6,-4.6,-0.6
16,Career,,,NBA,,613,13250,13.4,.525,.404,.200,2.1,6.9,4.5,23.7,1.4,0.5,14.4,23.2,,10.5,8.6,19.1,.069,,0.7,-2.4,-1.7,0.9
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6 seasons,,HOU,NBA,,297,7090,13.9,.527,.417,.215,2.2,6.6,4.4,23.1,1.3,0.4,13.5,24.0,,6.7,5.3,12.0,.081,,1.2,-2.3,-1.1,1.6
19,2 seasons,,CHI,NBA,,151,2993,13.5,.520,.387,.185,1.9,7.5,4.8,24.9,1.4,0.6,14.7,24.3,,1.9,2.3,4.2,.067,,0.5,-2.6,-2.1,-0.1
20,1 season,,IND,NBA,,65,894,9.5,.507,.427,.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,,-0.2,0.5,0.3,.016,,-2.1,-2.6,-4.6,-0.6
21,1 season,,SAC,NBA,,46,959,12.1,.562,.419,.172,1.4,8.1,4.7,17.8,1.5,0.6,16.2,18.0,,0.9,0.0,0.9,.045,,0.2,-2.7,-2.5,-0.1
22,1 season,,DEN,NBA,,29,841,12.9,.508,.365,.160,2.6,7.5,5.0,27.7,1.6,0.6,16.2,20.5,,0.6,0.4,1.0,.058,,0.4,-1.6,-1.2,0.2
23,1 season,,PHO,NBA,,25,473,15.6,.533,.335,.285,2.2,4.4,3.3,35.3,1.4,0.2,16.4,25.7,,0.6,0.1,0.7,.070,,1.4,-4.1,-2.8,-0.1
