,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,21,DET,NBA,SF,69,4,13.3,2.0,4.3,.464,0.4,1.4,.305,1.6,2.9,.540,.514,0.7,0.8,.821,0.5,2.0,2.5,0.5,0.4,0.4,0.7,1.7,5.1
1,22,DET,NBA,SF,72,16,20.1,2.7,6.5,.410,1.0,2.4,.401,1.7,4.2,.415,.483,1.1,1.5,.759,0.9,2.9,3.8,1.1,0.5,0.5,0.8,2.3,7.5
2,23,DET,NBA,SF,41,4,14.7,1.8,5.5,.322,0.3,1.5,.210,1.5,4.0,.364,.350,0.9,1.0,.814,0.3,1.9,2.2,0.8,0.5,0.5,1.0,1.5,4.7
3,24,TOT,NBA,SF,55,0,12.3,1.6,3.8,.433,0.7,1.8,.418,0.9,2.0,.445,.531,0.5,0.6,.765,0.3,1.9,2.2,0.8,0.3,0.4,0.5,1.5,4.5
4,24,DET,NBA,SF,24,0,14.5,1.8,4.0,.443,0.9,1.7,.525,0.9,2.4,.386,.552,0.6,0.8,.833,0.4,2.2,2.6,0.9,0.2,0.3,0.5,1.8,5.1
5,24,MEM,NBA,SF,31,0,10.6,1.5,3.6,.423,0.6,1.9,.345,0.9,1.7,.509,.514,0.4,0.5,.688,0.2,1.7,1.9,0.7,0.3,0.5,0.5,1.3,4.0
6,25,TOT,NBA,SF,22,1,6.7,1.1,3.1,.353,0.5,1.7,.324,0.5,1.4,.387,.441,0.3,0.5,.600,0.2,1.0,1.2,0.4,0.2,0.2,0.2,0.8,3.0
7,25,TOR,NBA,SF,8,0,4.1,0.4,1.6,.231,0.0,1.0,.000,0.4,0.6,.600,.231,0.3,0.4,.667,0.3,0.6,0.9,0.3,0.0,0.0,0.0,0.5,1.0
8,25,SAS,NBA,SF,14,1,8.2,1.5,3.9,.382,0.9,2.1,.414,0.6,1.9,.346,.491,0.3,0.5,.571,0.2,1.2,1.4,0.4,0.3,0.3,0.4,1.0,4.1
9,26,TOT,NBA,SF,34,4,10.1,1.5,4.1,.355,0.7,2.1,.338,0.8,2.1,.371,.440,0.1,0.2,.833,0.3,1.9,2.2,0.5,0.4,0.1,0.7,1.1,3.8
10,26,SAS,NBA,SF,26,4,10.3,1.5,4.4,.348,0.7,2.2,.333,0.8,2.2,.362,.430,0.2,0.2,1.000,0.2,2.1,2.3,0.3,0.3,0.1,0.7,1.2,4.0
11,26,ATL,NBA,SF,8,0,9.5,1.3,3.3,.385,0.6,1.8,.357,0.6,1.5,.417,.481,0.1,0.3,.500,0.5,1.3,1.8,1.0,0.5,0.3,0.6,1.1,3.3
12,,,NBA,,293,29,14.1,1.9,4.8,.402,0.6,1.8,.351,1.3,3.0,.433,.469,0.7,0.9,.778,0.5,2.1,2.6,0.7,0.4,0.4,0.7,1.6,5.2
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,DET,NBA,,206,24,16.1,2.2,5.3,.409,0.6,1.8,.358,1.5,3.5,.436,.470,0.9,1.1,.791,0.6,2.3,2.9,0.8,0.4,0.5,0.8,1.9,5.8
15,,SAS,NBA,,40,5,9.6,1.5,4.3,.359,0.8,2.2,.360,0.8,2.1,.357,.450,0.2,0.3,.727,0.2,1.8,2.0,0.4,0.3,0.2,0.6,1.1,4.0
16,,MEM,NBA,,31,0,10.6,1.5,3.6,.423,0.6,1.9,.345,0.9,1.7,.509,.514,0.4,0.5,.688,0.2,1.7,1.9,0.7,0.3,0.5,0.5,1.3,4.0
17,,ATL,NBA,,8,0,9.5,1.3,3.3,.385,0.6,1.8,.357,0.6,1.5,.417,.481,0.1,0.3,.500,0.5,1.3,1.8,1.0,0.5,0.3,0.6,1.1,3.3
18,,TOR,NBA,,8,0,4.1,0.4,1.6,.231,0.0,1.0,.000,0.4,0.6,.600,.231,0.3,0.4,.667,0.3,0.6,0.9,0.3,0.0,0.0,0.0,0.5,1.0
