,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,20,SAS,NBA,PF,82,23,18.2,3.4,6.0,.556,0.0,0.0,.000,3.4,6.0,.558,.556,1.1,2.0,.547,2.4,4.0,6.4,0.8,0.6,0.5,1.4,2.7,7.8
1,21,SAS,NBA,PF,81,65,21.4,3.6,7.2,.501,0.0,0.0,.000,3.6,7.2,.503,.501,1.1,1.7,.657,2.7,4.3,7.0,1.0,1.2,0.5,1.4,2.6,8.3
2,22,SAS,NBA,PF,64,62,21.3,4.2,7.9,.534,0.0,0.0,.000,4.2,7.9,.535,.534,1.1,1.9,.613,2.4,3.1,5.5,1.2,0.9,0.2,1.4,2.6,9.5
3,23,SAS,NBA,PF,61,16,14.0,2.3,4.4,.524,0.0,0.0,.000,2.3,4.4,.526,.524,0.7,1.1,.629,1.1,2.7,3.8,0.7,0.6,0.2,0.8,1.8,5.4
4,24,DAL,NBA,PF,78,13,15.6,2.7,5.0,.534,0.0,0.0,.000,2.7,5.0,.537,.534,1.0,1.6,.636,1.8,2.9,4.7,0.9,0.8,0.3,1.0,2.5,6.4
5,25,WAS,NBA,PF,29,0,6.2,0.9,2.0,.456,0.0,0.0,,0.9,2.0,.456,.456,0.1,0.2,.667,0.6,1.4,1.9,0.1,0.2,0.0,0.4,1.4,1.9
6,26,WAS,NBA,C,29,0,7.5,1.0,2.3,.412,0.0,0.0,.000,1.0,2.3,.418,.412,0.2,0.4,.385,0.7,1.3,2.0,0.4,0.3,0.1,0.5,1.8,2.1
7,,,NBA,,424,179,16.6,2.9,5.6,.524,0.0,0.0,.000,2.9,5.6,.526,.524,0.9,1.5,.608,1.9,3.2,5.1,0.8,0.7,0.3,1.1,2.4,6.8
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,SAS,NBA,,288,166,18.9,3.4,6.4,.528,0.0,0.0,.000,3.4,6.4,.530,.528,1.0,1.7,.606,2.2,3.6,5.8,0.9,0.8,0.4,1.3,2.5,7.8
10,,DAL,NBA,,78,13,15.6,2.7,5.0,.534,0.0,0.0,.000,2.7,5.0,.537,.534,1.0,1.6,.636,1.8,2.9,4.7,0.9,0.8,0.3,1.0,2.5,6.4
11,,WAS,NBA,,58,0,6.9,0.9,2.2,.432,0.0,0.0,.000,0.9,2.1,.435,.432,0.2,0.3,.474,0.6,1.3,1.9,0.2,0.3,0.1,0.5,1.6,2.0
