,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,21,TOT,NBA,SG-SF,35,1,7.5,0.7,1.9,.388,0.1,0.5,.263,0.6,1.4,.438,.425,0.5,0.7,.667,0.4,0.7,1.1,0.3,0.2,0.0,0.3,0.4,2.1
1,21,MIN,NBA,SG,25,0,4.3,0.3,1.0,.333,0.0,0.2,.167,0.3,0.7,.389,.354,0.5,0.6,.750,0.2,0.4,0.6,0.1,0.1,0.0,0.1,0.2,1.2
2,21,PHI,NBA,SF,10,1,15.3,1.8,4.3,.419,0.4,1.3,.308,1.4,3.0,.467,.465,0.4,0.8,.500,1.1,1.4,2.5,0.8,0.3,0.1,0.8,1.0,4.4
3,22,IND,NBA,SF,45,4,11.3,1.4,3.4,.430,0.3,0.8,.378,1.1,2.5,.447,.477,0.6,0.9,.692,0.3,1.2,1.5,0.6,0.4,0.2,0.4,0.5,3.8
4,23,IND,NBA,SF,69,27,20.7,2.3,4.9,.467,0.7,1.8,.392,1.6,3.1,.512,.540,0.8,1.1,.711,0.8,2.7,3.6,0.7,0.6,0.3,0.5,0.9,6.1
5,,,NBA,,149,32,14.7,1.7,3.7,.448,0.5,1.2,.376,1.2,2.5,.483,.509,0.7,0.9,.698,0.6,1.8,2.4,0.6,0.4,0.2,0.4,0.7,4.4
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,IND,NBA,,114,31,17.0,2.0,4.3,.456,0.6,1.4,.389,1.4,2.9,.489,.520,0.7,1.0,.704,0.6,2.1,2.7,0.6,0.5,0.3,0.5,0.7,5.2
8,,MIN,NBA,,25,0,4.3,0.3,1.0,.333,0.0,0.2,.167,0.3,0.7,.389,.354,0.5,0.6,.750,0.2,0.4,0.6,0.1,0.1,0.0,0.1,0.2,1.2
9,,PHI,NBA,,10,1,15.3,1.8,4.3,.419,0.4,1.3,.308,1.4,3.0,.467,.465,0.4,0.8,.500,1.1,1.4,2.5,0.8,0.3,0.1,0.8,1.0,4.4
