,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,21,NYK,NBA,PG,59,35,28.9,3.6,9.1,.401,0.8,2.7,.306,2.8,6.4,.440,.446,1.5,1.8,.798,0.7,2.4,3.2,2.8,1.7,0.1,1.9,2.9,9.5
1,22,NYK,NBA,SG,45,45,22.1,2.4,6.1,.396,1.1,2.8,.402,1.3,3.3,.392,.489,0.8,1.0,.766,0.7,2.3,3.0,1.7,1.0,0.2,0.8,2.2,6.8
2,23,NYK,NBA,SG,74,58,26.5,2.5,6.5,.378,1.0,3.1,.333,1.4,3.5,.418,.457,0.7,1.0,.746,1.1,3.1,4.2,1.7,1.2,0.2,1.1,2.8,6.7
3,24,TOT,NBA,SG,62,25,24.9,3.1,7.6,.410,1.1,3.2,.342,2.0,4.4,.458,.481,0.7,1.0,.672,0.9,2.7,3.6,2.2,1.3,0.3,1.5,2.2,8.0
4,24,NYK,NBA,SG,24,24,26.0,3.7,9.0,.409,1.0,2.8,.348,2.7,6.2,.436,.463,1.0,1.5,.676,0.9,2.5,3.4,3.3,1.3,0.1,1.8,2.8,9.3
5,24,CLE,NBA,SG,38,1,24.2,2.8,6.7,.410,1.2,3.4,.338,1.6,3.3,.484,.496,0.5,0.7,.667,0.9,2.9,3.8,1.5,1.3,0.3,1.3,1.9,7.2
6,25,CLE,NBA,SG,54,5,24.4,2.1,5.6,.374,0.8,2.7,.295,1.3,2.9,.447,.444,0.7,0.9,.784,0.6,3.2,3.8,1.7,1.0,0.4,1.1,2.2,5.8
7,26,CLE,NBA,SG,76,31,25.5,2.6,6.4,.411,1.2,3.4,.360,1.4,3.0,.469,.507,0.9,1.2,.789,0.5,2.4,2.9,1.4,0.8,0.4,1.0,2.0,7.5
8,,,NBA,,370,199,25.6,2.7,6.9,.396,1.0,3.0,.340,1.7,3.9,.440,.470,0.9,1.2,.764,0.8,2.7,3.4,1.9,1.2,0.2,1.2,2.4,7.4
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,NYK,NBA,,202,162,26.2,2.9,7.5,.394,1.0,2.9,.343,2.0,4.6,.426,.460,1.0,1.3,.761,0.9,2.6,3.5,2.2,1.3,0.2,1.3,2.7,7.9
11,,CLE,NBA,,168,37,24.8,2.5,6.3,.400,1.1,3.2,.337,1.4,3.1,.466,.486,0.8,1.0,.768,0.6,2.7,3.4,1.5,1.0,0.4,1.1,2.0,6.8
