,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,20,PHO,NBA,C,60,7,10.2,1.2,2.3,.518,0.0,0.0,.000,1.2,2.3,.522,.518,0.8,1.1,.691,0.9,1.1,2.0,0.1,0.2,0.7,0.5,1.6,3.2
1,21,PHO,NBA,C,51,31,19.3,3.4,5.7,.588,0.0,0.0,,3.4,5.7,.588,.588,1.7,2.5,.704,2.0,2.8,4.9,0.1,0.2,1.0,0.8,2.3,8.4
2,22,PHO,NBA,C,67,56,14.8,2.7,5.3,.501,0.0,0.0,,2.7,5.3,.501,.501,1.1,1.5,.740,1.2,2.0,3.2,0.1,0.3,0.7,0.7,2.1,6.4
3,23,PHO,NBA,C,64,0,14.0,1.9,4.2,.461,0.0,0.0,,1.9,4.2,.461,.461,1.6,2.2,.714,1.4,1.9,3.3,0.3,0.3,0.9,0.7,2.0,5.4
4,24,NOH,NBA,C,82,82,26.0,4.7,8.8,.534,0.0,0.0,,4.7,8.8,.534,.534,2.0,2.5,.778,2.8,2.9,5.6,0.8,0.4,1.6,1.3,2.0,11.3
5,25,POR,NBA,C,82,82,31.7,4.3,7.9,.551,0.0,0.0,.000,4.3,7.8,.552,.551,2.4,3.0,.818,4.0,4.6,8.5,0.9,0.3,1.7,1.0,2.4,11.1
6,26,POR,NBA,C,59,59,27.8,4.0,7.4,.535,0.0,0.0,.000,4.0,7.4,.537,.535,1.7,2.2,.772,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6
7,27,NYK,NBA,C,82,82,27.1,4.4,8.1,.539,0.0,0.0,.000,4.4,8.1,.540,.539,1.6,2.0,.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3
8,28,CHI,NBA,C,81,81,28.0,4.7,9.6,.493,0.0,0.0,.000,4.7,9.5,.494,.493,0.9,1.3,.721,3.0,3.4,6.4,1.0,0.2,1.4,1.1,1.9,10.4
9,,,NBA,,628,480,22.9,3.6,6.8,.526,0.0,0.0,.000,3.6,6.8,.527,.526,1.5,2.0,.761,2.5,3.0,5.5,0.7,0.3,1.3,1.0,2.1,8.7
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,PHO,NBA,,242,94,14.4,2.3,4.4,.517,0.0,0.0,.000,2.3,4.4,.518,.517,1.3,1.8,.714,1.4,1.9,3.3,0.2,0.2,0.8,0.7,2.0,5.8
12,,POR,NBA,,141,141,30.1,4.2,7.7,.545,0.0,0.0,.000,4.2,7.7,.546,.545,2.1,2.6,.802,3.7,4.1,7.8,0.9,0.3,1.6,1.1,2.3,10.5
13,,NOH,NBA,,82,82,26.0,4.7,8.8,.534,0.0,0.0,,4.7,8.8,.534,.534,2.0,2.5,.778,2.8,2.9,5.6,0.8,0.4,1.6,1.3,2.0,11.3
14,,NYK,NBA,,82,82,27.1,4.4,8.1,.539,0.0,0.0,.000,4.4,8.1,.540,.539,1.6,2.0,.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3
15,,CHI,NBA,,81,81,28.0,4.7,9.6,.493,0.0,0.0,.000,4.7,9.5,.494,.493,0.9,1.3,.721,3.0,3.4,6.4,1.0,0.2,1.4,1.1,1.9,10.4
