,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,21,HOU,NBA,PF,19,0,14.5,2.3,4.9,.457,0.3,1.0,.263,2.0,3.9,.507,.484,0.7,0.9,.765,1.5,1.9,3.4,0.8,0.6,1.0,0.7,1.1,5.5
1,22,HOU,NBA,PF,76,71,27.3,5.1,9.4,.542,0.4,1.3,.307,4.7,8.0,.581,.564,1.6,2.6,.605,2.1,4.8,6.9,1.1,0.7,1.3,0.9,1.8,12.1
2,23,HOU,NBA,PF,33,24,26.9,4.8,9.1,.528,0.4,1.1,.351,4.4,7.9,.553,.550,1.7,2.8,.606,2.4,4.3,6.7,1.1,0.5,1.8,1.1,2.4,11.7
3,24,HOU,NBA,PF,50,11,20.9,3.3,7.3,.452,0.5,1.6,.316,2.8,5.8,.490,.486,1.5,2.3,.664,1.2,3.0,4.2,0.8,0.5,0.8,1.0,1.7,8.7
4,25,TOT,NBA,PF,54,12,23.5,4.3,9.1,.470,0.4,1.4,.253,3.9,7.7,.510,.490,1.9,3.1,.606,1.2,4.5,5.7,1.1,0.7,1.0,0.9,1.2,10.8
5,25,NOP,NBA,PF,51,12,24.8,4.5,9.6,.473,0.4,1.5,.253,4.2,8.1,.513,.493,2.0,3.3,.606,1.3,4.7,5.9,1.1,0.8,1.0,0.9,1.3,11.5
6,25,MIL,NBA,PF,3,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0
7,,,NBA,,232,118,24.0,4.2,8.5,.501,0.4,1.3,.299,3.8,7.1,.539,.525,1.6,2.6,.622,1.7,4.0,5.7,1.0,0.6,1.2,0.9,1.7,10.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,HOU,NBA,,178,106,24.1,4.2,8.3,.512,0.4,1.3,.314,3.8,6.9,.549,.537,1.5,2.4,.628,1.9,3.9,5.8,1.0,0.6,1.2,1.0,1.8,10.4
10,,NOP,NBA,,51,12,24.8,4.5,9.6,.473,0.4,1.5,.253,4.2,8.1,.513,.493,2.0,3.3,.606,1.3,4.7,5.9,1.1,0.8,1.0,0.9,1.3,11.5
11,,MIL,NBA,,3,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0
