,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2008-09,23,ORL,NBA,SG,77,42,25.2,3.2,7.0,.450,1.1,2.6,.404,2.1,4.4,.478,.526,1.0,1.2,.830,0.2,2.1,2.3,1.2,1.0,0.2,0.9,2.0,8.4
2,2009-10,24,NJN,NBA,SG,71,66,33.5,4.8,10.9,.436,1.1,3.2,.338,3.7,7.7,.476,.485,1.9,2.2,.869,0.8,2.7,3.5,1.7,1.3,0.3,1.1,1.8,12.5
3,2010-11,25,HOU,NBA,SG,81,1,21.3,3.1,7.1,.439,0.9,2.1,.408,2.2,5.0,.453,.501,1.2,1.5,.792,0.6,2.0,2.6,1.2,0.7,0.2,0.8,1.3,8.3
4,2011-12,26,HOU,NBA,SG,58,26,30.3,4.3,10.0,.433,1.5,3.7,.401,2.8,6.3,.452,.508,1.2,1.5,.826,0.4,2.3,2.7,1.5,1.2,0.4,1.1,1.8,11.4
5,2012-13,27,BOS,NBA,SG,78,39,24.9,3.2,6.8,.464,0.7,2.0,.372,2.4,4.8,.503,.519,0.8,0.9,.861,0.4,2.0,2.4,1.8,1.1,0.3,1.1,1.8,7.8
6,2013-14,28,TOT,NBA,SG,79,47,25.0,3.7,7.8,.480,0.9,2.5,.371,2.8,5.3,.531,.539,1.3,1.4,.884,0.4,2.0,2.4,1.5,0.8,0.4,0.9,1.6,9.6
7,2013-14,28,BOS,NBA,SG,30,0,16.8,3.0,6.1,.492,0.8,1.7,.442,2.2,4.4,.511,.555,0.6,0.7,.818,0.3,1.4,1.6,1.1,0.7,0.3,0.8,1.2,7.4
8,2013-14,28,MEM,NBA,SG,49,47,30.0,4.2,8.8,.476,1.0,2.9,.345,3.2,5.9,.540,.532,1.7,1.8,.900,0.4,2.4,2.8,1.7,0.9,0.4,1.0,1.8,11.0
9,2014-15,29,MEM,NBA,SG,77,74,30.6,3.7,8.4,.448,1.2,2.9,.402,2.6,5.4,.473,.518,1.4,1.7,.860,0.3,2.0,2.3,2.0,1.0,0.2,1.0,1.7,10.1
10,2015-16,30,TOT,NBA,SG,79,65,29.5,3.7,8.1,.454,1.0,2.7,.378,2.6,5.3,.493,.518,1.3,1.5,.839,0.4,2.2,2.6,1.7,1.1,0.4,0.9,1.7,9.6
11,2015-16,30,MEM,NBA,SG,51,37,29.2,3.8,8.2,.458,1.0,2.7,.370,2.8,5.5,.502,.519,1.5,1.8,.826,0.4,1.9,2.3,1.5,1.0,0.3,1.0,1.5,10.0
12,2015-16,30,CHO,NBA,SG,28,28,30.2,3.5,7.9,.445,1.1,2.8,.392,2.4,5.0,.475,.516,0.8,0.9,.885,0.4,2.8,3.1,2.1,1.2,0.4,0.8,2.0,8.9
13,2016-17,31,NYK,NBA,SG,77,74,31.9,4.2,9.1,.456,1.4,3.5,.401,2.8,5.6,.490,.533,1.1,1.3,.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8
14,Career,,,NBA,,677,434,27.9,3.7,8.3,.451,1.1,2.8,.386,2.7,5.5,.483,.516,1.2,1.5,.848,0.5,2.2,2.7,1.7,1.0,0.3,1.0,1.7,9.8
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3 seasons,,MEM,NBA,,177,158,30.0,3.9,8.4,.459,1.1,2.8,.377,2.8,5.6,.501,.522,1.5,1.8,.862,0.3,2.1,2.5,1.8,1.0,0.3,1.0,1.7,10.3
17,2 seasons,,HOU,NBA,,139,27,25.0,3.6,8.3,.436,1.1,2.8,.404,2.5,5.5,.452,.504,1.2,1.5,.806,0.6,2.1,2.6,1.4,0.9,0.3,0.9,1.5,9.6
18,2 seasons,,BOS,NBA,,108,39,22.6,3.1,6.6,.471,0.8,1.9,.389,2.4,4.7,.505,.528,0.7,0.9,.851,0.4,1.9,2.2,1.6,1.0,0.3,1.0,1.6,7.7
19,1 season,,NYK,NBA,,77,74,31.9,4.2,9.1,.456,1.4,3.5,.401,2.8,5.6,.490,.533,1.1,1.3,.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8
20,1 season,,ORL,NBA,,77,42,25.2,3.2,7.0,.450,1.1,2.6,.404,2.1,4.4,.478,.526,1.0,1.2,.830,0.2,2.1,2.3,1.2,1.0,0.2,0.9,2.0,8.4
21,1 season,,NJN,NBA,,71,66,33.5,4.8,10.9,.436,1.1,3.2,.338,3.7,7.7,.476,.485,1.9,2.2,.869,0.8,2.7,3.5,1.7,1.3,0.3,1.1,1.8,12.5
22,1 season,,CHO,NBA,,28,28,30.2,3.5,7.9,.445,1.1,2.8,.392,2.4,5.0,.475,.516,0.8,0.9,.885,0.4,2.8,3.1,2.1,1.2,0.4,0.8,2.0,8.9
