,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2013-14,22,HOU,NBA,PG,22,0,11.5,1.4,4.0,.356,0.8,2.5,.327,0.6,1.5,.406,.460,1.0,1.3,.724,0.3,0.8,1.1,1.0,0.4,0.2,1.0,1.1,4.6
2,2014-15,23,TOT,NBA,PG,47,21,20.0,3.1,8.0,.386,1.9,5.2,.370,1.2,2.8,.417,.507,1.0,1.3,.817,0.4,1.5,1.9,2.1,0.6,0.1,1.3,1.8,9.2
3,2014-15,23,HOU,NBA,PG,25,9,14.8,2.1,5.2,.405,1.3,3.4,.381,0.8,1.9,.447,.527,0.6,0.8,.762,0.4,0.9,1.3,1.2,0.6,0.0,0.9,1.1,6.2
4,2014-15,23,PHI,NBA,PG,22,12,25.9,4.2,11.2,.377,2.7,7.4,.364,1.5,3.9,.400,.496,1.5,1.8,.846,0.3,2.1,2.5,3.1,0.7,0.1,1.8,2.5,12.6
5,2015-16,24,PHI,NBA,SG,77,39,25.5,3.4,9.4,.360,2.3,6.3,.363,1.1,3.1,.354,.482,1.9,2.3,.833,0.3,2.0,2.3,1.8,0.7,0.2,1.2,1.7,11.0
6,2016-17,25,CHI,NBA,SG,39,0,15.2,1.6,4.4,.364,0.6,2.4,.266,1.0,2.0,.481,.436,0.8,0.8,.909,0.2,1.1,1.3,0.9,0.6,0.0,0.5,0.9,4.6
7,Career,,,NBA,,185,60,20.3,2.7,7.4,.368,1.7,4.8,.352,1.0,2.6,.396,.482,1.4,1.6,.828,0.3,1.5,1.8,1.6,0.6,0.1,1.0,1.5,8.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,PHI,NBA,,99,51,25.6,3.6,9.8,.364,2.4,6.5,.363,1.2,3.3,.366,.486,1.8,2.2,.836,0.3,2.0,2.3,2.1,0.7,0.2,1.3,1.9,11.4
10,2 seasons,,HOU,NBA,,47,9,13.2,1.8,4.6,.385,1.1,3.0,.360,0.7,1.7,.430,.500,0.8,1.1,.740,0.4,0.8,1.2,1.1,0.5,0.1,0.9,1.1,5.4
11,1 season,,CHI,NBA,,39,0,15.2,1.6,4.4,.364,0.6,2.4,.266,1.0,2.0,.481,.436,0.8,0.8,.909,0.2,1.1,1.3,0.9,0.6,0.0,0.5,0.9,4.6
