G,Date,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/2/12,MIA,W,104.0000,84.0000,36.0000,84.0000,0.4290,19.0000,36.0000,0.5280,13.0000,15.0000,0.8670,13.0000,41.0000,27.0000,10.0000,0.0000,12.0000,22.0000,33.0000,71.0000,0.4650,7.0000,20.0000,0.3500,11.0000,13.0000,0.8460,7.0000,41.0000,18.0000,4.0000,5.0000,21.0000,18.0000
2,11/4/12,PHI,W,100.0000,84.0000,39.0000,77.0000,0.5060,11.0000,27.0000,0.4070,11.0000,18.0000,0.6110,8.0000,39.0000,18.0000,12.0000,5.0000,14.0000,10.0000,34.0000,79.0000,0.4300,8.0000,17.0000,0.4710,8.0000,10.0000,0.8000,10.0000,41.0000,14.0000,8.0000,2.0000,18.0000,18.0000
3,11/5/12,PHI,W,110.0000,88.0000,39.0000,84.0000,0.4640,13.0000,32.0000,0.4060,19.0000,19.0000,1.0000,9.0000,44.0000,24.0000,7.0000,5.0000,7.0000,17.0000,29.0000,86.0000,0.3370,8.0000,22.0000,0.3640,22.0000,26.0000,0.8460,19.0000,54.0000,19.0000,3.0000,2.0000,13.0000,19.0000
4,11/9/12,DAL,W,104.0000,94.0000,35.0000,84.0000,0.4170,8.0000,22.0000,0.3640,26.0000,38.0000,0.6840,11.0000,43.0000,17.0000,12.0000,4.0000,9.0000,21.0000,33.0000,81.0000,0.4070,8.0000,28.0000,0.2860,20.0000,23.0000,0.8700,9.0000,50.0000,17.0000,4.0000,3.0000,20.0000,28.0000
5,11/13/12,ORL,W,99.0000,89.0000,41.0000,84.0000,0.4880,9.0000,24.0000,0.3750,8.0000,11.0000,0.7270,6.0000,31.0000,15.0000,11.0000,1.0000,9.0000,14.0000,37.0000,75.0000,0.4930,5.0000,14.0000,0.3570,10.0000,17.0000,0.5880,9.0000,42.0000,28.0000,7.0000,5.0000,20.0000,9.0000
6,11/15/12,SAS,W,104.0000,100.0000,39.0000,86.0000,0.4530,11.0000,26.0000,0.4230,15.0000,23.0000,0.6520,10.0000,41.0000,17.0000,6.0000,6.0000,7.0000,19.0000,38.0000,87.0000,0.4370,8.0000,29.0000,0.2760,16.0000,21.0000,0.7620,13.0000,48.0000,21.0000,4.0000,7.0000,10.0000,20.0000
7,11/16/12,MEM,L,95.0000,105.0000,37.0000,72.0000,0.5140,5.0000,19.0000,0.2630,16.0000,21.0000,0.7620,10.0000,34.0000,18.0000,7.0000,6.0000,13.0000,26.0000,37.0000,76.0000,0.4870,5.0000,15.0000,0.3330,26.0000,32.0000,0.8130,12.0000,35.0000,15.0000,7.0000,6.0000,14.0000,24.0000
8,11/18/12,IND,W,88.0000,76.0000,33.0000,90.0000,0.3670,7.0000,25.0000,0.2800,15.0000,19.0000,0.7890,15.0000,48.0000,19.0000,9.0000,4.0000,8.0000,15.0000,28.0000,71.0000,0.3940,8.0000,20.0000,0.4000,12.0000,18.0000,0.6670,9.0000,47.0000,21.0000,4.0000,7.0000,19.0000,18.0000
9,11/20/12,NOH,W,102.0000,80.0000,37.0000,83.0000,0.4460,14.0000,36.0000,0.3890,14.0000,19.0000,0.7370,13.0000,49.0000,19.0000,6.0000,3.0000,10.0000,20.0000,29.0000,69.0000,0.4200,8.0000,18.0000,0.4440,14.0000,21.0000,0.6670,5.0000,36.0000,16.0000,2.0000,3.0000,13.0000,21.0000
10,11/21/12,DAL,L,111.0000,114.0000,39.0000,77.0000,0.5060,15.0000,31.0000,0.4840,18.0000,22.0000,0.8180,5.0000,37.0000,25.0000,10.0000,2.0000,14.0000,17.0000,42.0000,85.0000,0.4940,13.0000,29.0000,0.4480,17.0000,21.0000,0.8100,11.0000,42.0000,22.0000,8.0000,1.0000,13.0000,18.0000
11,11/23/12,HOU,L,103.0000,131.0000,37.0000,86.0000,0.4300,17.0000,39.0000,0.4360,12.0000,14.0000,0.8570,6.0000,30.0000,22.0000,8.0000,9.0000,15.0000,21.0000,46.0000,89.0000,0.5170,14.0000,25.0000,0.5600,25.0000,28.0000,0.8930,11.0000,49.0000,22.0000,8.0000,6.0000,14.0000,17.0000
12,11/25/12,DET,W,121.0000,100.0000,38.0000,79.0000,0.4810,17.0000,33.0000,0.5150,28.0000,31.0000,0.9030,10.0000,37.0000,24.0000,13.0000,4.0000,11.0000,19.0000,37.0000,78.0000,0.4740,9.0000,20.0000,0.4500,17.0000,22.0000,0.7730,10.0000,38.0000,20.0000,6.0000,4.0000,19.0000,22.0000
13,11/26/12,BRK,L,89.0000,96.0000,33.0000,85.0000,0.3880,6.0000,21.0000,0.2860,17.0000,24.0000,0.7080,17.0000,50.0000,14.0000,9.0000,2.0000,14.0000,24.0000,37.0000,91.0000,0.4070,9.0000,28.0000,0.3210,13.0000,19.0000,0.6840,18.0000,50.0000,23.0000,5.0000,7.0000,12.0000,21.0000
14,11/28/12,MIL,W,102.0000,88.0000,35.0000,73.0000,0.4790,11.0000,21.0000,0.5240,21.0000,25.0000,0.8400,8.0000,38.0000,18.0000,11.0000,1.0000,14.0000,20.0000,33.0000,72.0000,0.4580,5.0000,13.0000,0.3850,17.0000,21.0000,0.8100,5.0000,36.0000,24.0000,8.0000,4.0000,17.0000,20.0000
15,11/30/12,WAS,W,108.0000,87.0000,43.0000,81.0000,0.5310,12.0000,29.0000,0.4140,10.0000,15.0000,0.6670,3.0000,32.0000,24.0000,7.0000,1.0000,8.0000,20.0000,35.0000,78.0000,0.4490,5.0000,18.0000,0.2780,12.0000,21.0000,0.5710,13.0000,42.0000,11.0000,5.0000,4.0000,17.0000,14.0000
16,12/2/12,PHO,W,106.0000,99.0000,40.0000,90.0000,0.4440,12.0000,29.0000,0.4140,14.0000,17.0000,0.8240,16.0000,43.0000,21.0000,7.0000,5.0000,7.0000,13.0000,39.0000,80.0000,0.4880,8.0000,23.0000,0.3480,13.0000,19.0000,0.6840,11.0000,45.0000,21.0000,5.0000,0.0000,17.0000,23.0000
17,12/5/12,CHA,W,100.0000,98.0000,39.0000,92.0000,0.4240,13.0000,41.0000,0.3170,9.0000,13.0000,0.6920,10.0000,36.0000,23.0000,9.0000,8.0000,8.0000,18.0000,39.0000,83.0000,0.4700,7.0000,16.0000,0.4380,13.0000,15.0000,0.8670,12.0000,50.0000,26.0000,2.0000,4.0000,12.0000,14.0000
18,12/6/12,MIA,W,112.0000,92.0000,41.0000,91.0000,0.4510,18.0000,44.0000,0.4090,12.0000,19.0000,0.6320,11.0000,46.0000,20.0000,9.0000,4.0000,7.0000,19.0000,32.0000,76.0000,0.4210,6.0000,16.0000,0.3750,22.0000,28.0000,0.7860,7.0000,43.0000,17.0000,7.0000,4.0000,14.0000,21.0000
19,12/8/12,CHI,L,85.0000,93.0000,27.0000,84.0000,0.3210,8.0000,23.0000,0.3480,23.0000,28.0000,0.8210,14.0000,40.0000,14.0000,10.0000,6.0000,15.0000,17.0000,34.0000,78.0000,0.4360,7.0000,13.0000,0.5380,18.0000,18.0000,1.0000,10.0000,47.0000,18.0000,10.0000,6.0000,19.0000,20.0000
20,12/9/12,DEN,W,112.0000,106.0000,37.0000,86.0000,0.4300,12.0000,30.0000,0.4000,26.0000,37.0000,0.7030,13.0000,39.0000,20.0000,9.0000,2.0000,9.0000,22.0000,40.0000,72.0000,0.5560,5.0000,17.0000,0.2940,21.0000,29.0000,0.7240,5.0000,40.0000,18.0000,4.0000,6.0000,16.0000,22.0000
21,12/11/12,BRK,W,100.0000,97.0000,36.0000,78.0000,0.4620,14.0000,28.0000,0.5000,14.0000,18.0000,0.7780,10.0000,35.0000,20.0000,5.0000,2.0000,10.0000,21.0000,36.0000,68.0000,0.5290,4.0000,18.0000,0.2220,21.0000,28.0000,0.7500,7.0000,37.0000,21.0000,5.0000,3.0000,11.0000,21.0000
22,12/13/12,LAL,W,116.0000,107.0000,42.0000,79.0000,0.5320,12.0000,25.0000,0.4800,20.0000,30.0000,0.6670,4.0000,33.0000,25.0000,10.0000,2.0000,6.0000,20.0000,35.0000,84.0000,0.4170,12.0000,37.0000,0.3240,25.0000,29.0000,0.8620,12.0000,44.0000,13.0000,4.0000,4.0000,13.0000,21.0000
