,,,,Team,,Opponent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,,,,,,,Rk,G,Date,?,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,?,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
2,,,,,,,1,1,2014-10-29,,CHI,L,80,104,31,85,.365,3,17,.176,15,17,.882,14,38,19,9,5,11,22,,36,71,.507,7,24,.292,25,30,.833,10,47,21,9,4,15,18
3,,,,,,,2,2,2014-10-30,@,CLE,W,95,90,37,69,.536,6,12,.500,15,18,.833,9,35,30,9,1,15,26,,32,70,.457,9,24,.375,17,20,.850,11,33,22,5,2,19,15
4,,,,,,,3,3,2014-11-02,,CHO,W,96,93,39,78,.500,8,16,.500,10,17,.588,8,35,23,5,0,12,26,,33,70,.471,6,15,.400,21,29,.724,8,38,20,7,2,12,16
5,,,,,,,4,4,2014-11-04,,WAS,L,83,98,30,81,.370,8,15,.533,15,19,.789,15,43,16,5,4,18,23,,39,80,.488,8,18,.444,12,19,.632,10,41,26,8,4,12,25
6,,,,,,,5,5,2014-11-05,@,DET,L,95,98,39,90,.433,9,20,.450,8,10,.800,11,43,25,3,9,9,23,,32,87,.368,11,23,.478,23,33,.697,19,55,17,5,4,8,16
7,,,,,,,6,6,2014-11-07,@,BRK,L,99,110,37,90,.411,8,19,.421,17,21,.810,15,43,22,7,2,14,24,,38,74,.514,14,24,.583,20,26,.769,7,42,18,6,6,16,24
8,,,,,,,7,7,2014-11-08,@,ATL,L,96,103,40,84,.476,8,21,.381,8,11,.727,13,44,26,2,6,15,29,,33,81,.407,9,22,.409,28,36,.778,12,41,18,10,5,8,17
9,,,,,,,8,8,2014-11-10,,ATL,L,85,91,36,83,.434,6,26,.231,7,12,.583,11,40,23,4,2,15,26,,27,71,.380,10,27,.370,27,28,.964,9,38,20,7,3,15,16
10,,,,,,,9,9,2014-11-12,,ORL,L,95,97,37,86,.430,8,23,.348,13,14,.929,11,40,17,2,6,7,27,,33,70,.471,6,12,.500,25,32,.781,4,37,20,4,1,10,19
11,,,,,,,10,10,2014-11-14,,UTA,L,100,102,39,82,.476,5,8,.625,17,20,.850,7,31,15,12,1,8,26,,36,70,.514,10,22,.455,20,25,.800,11,39,25,6,8,18,20
12,,,,,,,11,11,2014-11-16,,DEN,W,109,93,41,76,.539,6,14,.429,21,27,.778,8,43,16,9,3,15,22,,32,82,.390,13,34,.382,16,26,.615,10,39,20,9,0,17,21
13,,,,,,,12,12,2014-11-18,@,MIL,L,113,117,44,80,.550,11,25,.440,14,19,.737,11,28,30,9,3,12,22,,43,78,.551,9,17,.529,22,27,.815,17,44,30,5,0,16,24
14,,,,,,,13,13,2014-11-19,@,MIN,L,99,115,34,69,.493,9,16,.563,22,28,.786,8,33,19,6,3,22,22,,44,89,.494,11,22,.500,16,22,.727,15,35,26,15,2,14,23
15,,,,,,,14,14,2014-11-22,,PHI,W,91,83,33,66,.500,6,17,.353,19,21,.905,6,40,15,7,2,18,22,,30,75,.400,8,26,.308,15,25,.600,10,36,13,8,1,18,21
16,,,,,,,15,15,2014-11-24,@,HOU,L,86,91,35,76,.461,6,22,.273,10,15,.667,9,40,25,8,5,17,20,,32,76,.421,14,36,.389,13,19,.684,10,38,19,13,4,16,19
17,,,,,,,16,16,2014-11-26,@,DAL,L,102,109,39,92,.424,14,28,.500,10,16,.625,15,53,21,7,3,21,32,,38,95,.400,4,31,.129,29,38,.763,20,56,20,12,5,11,16
18,,,,,,,17,17,2014-11-28,@,OKC,L,78,105,29,75,.387,2,19,.105,18,24,.750,7,33,17,3,6,12,22,,38,86,.442,10,24,.417,19,23,.826,18,57,20,9,0,14,30
19,,,,,,,18,18,2014-11-30,,MIA,L,79,86,31,88,.352,3,24,.125,14,20,.700,20,50,14,6,3,12,22,,30,72,.417,7,23,.304,19,31,.613,10,41,20,8,1,14,20
20,,,,,,,19,19,2014-12-02,,BRK,L,93,98,35,81,.432,11,28,.393,12,14,.857,13,40,22,8,3,14,21,,39,89,.438,6,17,.353,14,20,.700,21,49,22,7,5,14,20
21,,,,,,,20,20,2014-12-04,,CLE,L,87,90,37,88,.420,8,26,.308,5,6,.833,17,47,26,11,3,21,25,,32,70,.457,5,18,.278,21,26,.808,6,33,19,8,1,17,16
22,,,,,,,,,,Team,,Opponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,Rk,G,Date,?,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,?,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
24,,,,,,,21,21,2014-12-05,@,CHO,L,102,103,37,79,.468,10,22,.455,18,22,.818,4,34,23,5,4,6,21,,42,88,.477,4,18,.222,15,18,.833,10,41,19,2,7,7,20
25,,,,,,,22,22,2014-12-07,,POR,L,99,103,41,79,.519,5,19,.263,12,14,.857,4,37,20,6,4,13,23,,36,85,.424,10,28,.357,21,29,.724,16,44,21,8,2,9,17
26,,,,,,,23,23,2014-12-09,@,NOP,L,93,104,37,78,.474,9,19,.474,10,13,.769,6,30,19,8,8,13,20,,40,80,.500,4,15,.267,20,26,.769,12,43,22,7,8,11,14
27,,,,,,,24,24,2014-12-10,@,SAS,L,95,109,37,76,.487,6,15,.400,15,17,.882,10,36,22,4,1,17,25,,37,73,.507,10,19,.526,25,30,.833,8,35,22,10,4,9,16
28,,,,,,,25,25,2014-12-12,@,BOS,W,101,95,40,81,.494,6,16,.375,15,18,.833,11,40,26,13,5,13,20,,37,85,.435,7,22,.318,14,18,.778,12,41,28,3,3,17,18
29,,,,,,,26,26,2014-12-14,,TOR,L,90,95,29,78,.372,9,29,.310,23,28,.821,12,43,15,11,4,22,22,,36,78,.462,9,24,.375,14,18,.778,9,42,24,14,2,23,25
30,,,,,,,27,27,2014-12-16,,DAL,L,87,107,37,84,.440,5,21,.238,8,10,.800,10,35,23,11,5,12,13,,42,83,.506,15,33,.455,8,8,1.000,10,41,30,9,4,17,14
31,,,,,,,28,28,2014-12-18,@,CHI,L,97,103,38,82,.463,6,9,.667,15,19,.789,14,41,19,7,6,16,24,,34,75,.453,12,23,.522,23,30,.767,11,32,23,9,8,11,17
32,,,,,,,29,29,2014-12-20,,PHO,L,90,99,35,88,.398,7,22,.318,13,16,.813,17,45,17,11,4,14,21,,35,78,.449,10,25,.400,19,23,.826,12,43,15,10,3,14,12
33,,,,,,,30,30,2014-12-21,@,TOR,L,108,118,40,82,.488,5,14,.357,23,26,.885,8,32,27,6,5,11,22,,42,86,.488,14,33,.424,20,27,.741,16,43,24,7,4,10,24
34,,,,,,,31,31,2014-12-25,,WAS,L,91,102,36,80,.450,4,22,.182,15,19,.789,6,36,17,5,4,7,15,,44,86,.512,7,16,.438,7,10,.700,13,45,25,4,3,10,20
35,,,,,,,32,32,2014-12-27,@,SAC,L,129,135,48,97,.495,6,20,.300,27,32,.844,16,43,30,10,10,15,29,,49,89,.551,8,16,.500,29,33,.879,10,39,23,9,7,17,27
36,,,,,,,33,33,2014-12-28,@,POR,L,79,101,31,93,.333,7,27,.259,10,15,.667,15,49,19,6,1,11,13,,38,81,.469,16,36,.444,9,12,.750,7,48,25,8,7,11,15
37,,,,,,,34,34,2014-12-31,@,LAC,L,78,99,32,84,.381,4,17,.235,10,15,.667,7,40,24,6,2,7,19,,36,82,.439,15,34,.441,12,20,.600,5,50,28,6,3,10,13
38,,,,,,,35,35,2015-01-02,,DET,L,81,97,32,91,.352,10,24,.417,7,14,.500,17,47,18,13,4,11,15,,38,76,.500,13,33,.394,8,14,.571,9,49,24,10,3,16,16
39,,,,,,,36,36,2015-01-04,,MIL,L,82,95,31,76,.408,9,25,.360,11,14,.786,7,36,23,8,2,16,20,,35,77,.455,4,16,.250,21,27,.778,14,48,23,10,4,18,20
40,,,,,,,37,37,2015-01-05,@,MEM,L,83,105,33,76,.434,8,26,.308,9,13,.692,7,37,25,9,5,20,17,,43,82,.524,7,15,.467,12,19,.632,11,45,25,14,5,17,15
41,,,,,,,38,38,2015-01-07,@,WAS,L,91,101,34,82,.415,11,26,.423,12,16,.750,10,41,18,11,0,15,22,,39,76,.513,8,16,.500,15,21,.714,9,44,28,9,4,16,13
42,,,,,,,39,39,2015-01-08,,HOU,L,96,120,37,80,.463,11,26,.423,11,21,.524,10,38,22,12,1,21,22,,41,77,.532,16,36,.444,22,32,.688,7,36,25,14,5,19,23
43,,,,,,,40,40,2015-01-10,,CHO,L,82,110,33,85,.388,8,29,.276,8,9,.889,4,29,17,9,4,12,24,,39,78,.500,7,16,.438,25,33,.758,11,51,18,8,5,15,14
44,,,,,,,,,,Team,,Opponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,Rk,G,Date,?,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,?,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
46,,,,,,,41,41,2015-01-15,@,MIL,L,79,95,28,68,.412,8,22,.364,15,20,.750,5,36,22,5,6,21,32,,28,72,.389,8,18,.444,31,42,.738,14,44,21,13,2,15,17
47,,,,,,,42,42,2015-01-19,,NOP,W,99,92,38,78,.487,10,23,.435,13,17,.765,9,34,22,2,8,4,14,,35,84,.417,8,27,.296,14,20,.700,20,50,13,1,1,9,17
48,,,,,,,43,43,2015-01-21,@,PHI,W,98,91,37,91,.407,7,20,.350,17,20,.850,18,52,26,6,6,11,22,,29,79,.367,8,23,.348,25,32,.781,15,43,20,7,13,14,19
