Date,Home=0,Opp,W1,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
10/25/16,1,CLE,0,L,88,117,32,87,0.368,9,27,0.333,15,20,0.75,13,42,17,6,6,18,22,45,94,0.479,13,35,0.371,14,19,0.737,11,51,31,12,5,14,22
10/29/16,0,MEM,1,W,111,104,40,76,0.526,6,21,0.286,25,39,0.641,6,41,24,4,4,12,25,37,86,0.43,9,25,0.36,21,26,0.808,11,40,19,3,2,12,30
11/1/16,1,DET,0,L,89,102,35,86,0.407,7,22,0.318,12,15,0.8,8,43,18,6,9,11,20,41,89,0.461,8,13,0.615,12,21,0.571,10,48,19,7,5,10,16
11/2/16,0,HOU,0,L,99,118,37,85,0.435,8,20,0.4,17,25,0.68,7,34,18,10,6,16,22,42,89,0.472,15,40,0.375,19,27,0.704,19,54,25,12,8,19,21
11/4/16,1,CHI,1,W,117,104,46,89,0.517,9,21,0.429,16,21,0.762,11,40,32,7,2,5,23,37,84,0.44,8,23,0.348,22,27,0.815,15,42,15,4,4,12,16
11/6/16,0,UTA,0,L,109,114,42,83,0.506,8,20,0.4,17,19,0.895,10,39,18,8,5,12,26,38,75,0.507,8,25,0.32,30,35,0.857,7,34,21,6,4,10,19
11/9/16,0,BRK,1,W,110,96,44,92,0.478,10,30,0.333,12,17,0.706,9,50,25,11,5,14,21,33,79,0.418,11,33,0.333,19,27,0.704,7,40,19,9,4,18,20
11/11/16,1,BOS,0,L,87,115,33,94,0.351,6,23,0.261,15,17,0.882,21,57,19,7,11,25,26,35,90,0.389,11,27,0.407,34,43,0.791,19,53,23,16,3,15,18
11/12/16,1,TOR,0,L,107,118,44,97,0.454,7,23,0.304,12,16,0.75,17,49,19,3,2,16,23,39,83,0.47,7,22,0.318,33,38,0.868,11,44,18,10,6,11,20
11/14/16,0,DAL,1,W,93,77,34,78,0.436,9,25,0.36,16,18,0.889,14,51,18,5,5,17,16,32,84,0.381,5,27,0.185,8,11,0.727,11,40,15,8,7,11,16
11/16/16,0,DET,1,W,105,102,42,93,0.452,9,25,0.36,12,19,0.632,19,52,24,8,9,9,11,42,85,0.494,8,23,0.348,10,12,0.833,8,40,19,6,1,10,14
11/17/16,1,WAS,0,L,112,119,41,86,0.477,12,29,0.414,18,20,0.9,10,36,23,9,1,13,20,44,81,0.543,15,25,0.6,16,18,0.889,7,37,26,7,2,15,21
11/20/16,0,ATL,1,W,104,94,42,88,0.477,10,27,0.37,10,14,0.714,11,50,21,8,1,15,23,34,85,0.4,6,21,0.286,20,29,0.69,14,48,17,7,6,13,15
11/22/16,0,POR,1,W,107,103,45,96,0.469,9,29,0.31,8,8,1,10,43,26,8,5,13,23,38,86,0.442,6,22,0.273,21,26,0.808,11,44,18,5,5,16,13
11/25/16,0,CHO,1,W,113,111,45,97,0.464,11,28,0.393,12,13,0.923,13,55,26,9,8,16,21,43,93,0.462,8,29,0.276,17,27,0.63,10,46,25,6,4,13,14
