Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-10-26,,HOU,W,120,114,45,89,.506,12,35,.343,18,22,.818,11,39,21,10,4,15,24,,44,86,.512,7,29,.241,19,27,.704,10,39,29,10,1,14,23
2,2,2016-10-28,@,UTA,L,89,96,32,84,.381,9,23,.391,16,21,.762,11,43,16,6,7,14,29,,31,75,.413,6,25,.240,28,40,.700,13,47,14,4,7,14,18
3,3,2016-10-30,@,OKC,L,96,113,35,87,.402,7,32,.219,19,24,.792,11,41,20,15,2,21,18,,45,95,.474,9,26,.346,14,17,.824,10,45,29,15,6,19,22
4,4,2016-11-01,@,IND,L,108,115,40,89,.449,6,28,.214,22,25,.880,11,44,14,8,2,19,25,,41,87,.471,10,28,.357,23,29,.793,11,43,19,10,8,15,20
5,5,2016-11-02,@,ATL,W,123,116,48,90,.533,9,22,.409,18,20,.900,11,42,24,11,9,15,25,,41,85,.482,11,32,.344,23,29,.793,10,37,30,10,1,18,19
6,6,2016-11-04,,GSW,W,117,97,45,95,.474,8,30,.267,19,21,.905,16,51,26,9,5,16,19,,39,86,.453,5,32,.156,14,20,.700,9,40,26,13,3,20,13
7,7,2016-11-06,,PHO,W,119,108,41,90,.456,10,23,.435,27,35,.771,15,53,22,8,5,19,22,,40,91,.440,6,20,.300,22,28,.786,11,40,20,8,2,17,30
8,8,2016-11-08,,DAL,L,97,109,38,78,.487,10,26,.385,11,14,.786,8,37,20,6,1,16,19,,43,82,.524,10,23,.435,13,15,.867,8,37,24,11,4,11,12
9,9,2016-11-10,@,SAC,W,101,91,38,74,.514,9,27,.333,16,22,.727,4,42,18,8,2,21,19,,34,85,.400,8,21,.381,15,20,.750,11,43,18,13,3,15,19
10,10,2016-11-12,@,NOP,W,126,99,52,94,.553,16,30,.533,6,7,.857,10,47,36,8,5,10,17,,39,90,.433,6,20,.300,15,19,.789,12,42,20,4,5,10,10
11,11,2016-11-13,@,MIN,L,99,125,33,71,.465,8,24,.333,25,30,.833,5,39,16,6,5,17,31,,42,80,.525,13,27,.481,28,42,.667,9,44,28,10,4,10,19
12,12,2016-11-15,,BRK,W,125,118,41,92,.446,9,28,.321,34,43,.791,14,55,24,9,2,11,17,,45,99,.455,12,41,.293,16,20,.800,9,47,23,8,6,14,27
13,13,2016-11-18,,SAS,L,107,116,39,87,.448,12,25,.480,17,21,.810,15,45,24,6,1,13,21,,44,78,.564,10,24,.417,18,19,.947,3,34,30,8,6,12,18
14,14,2016-11-20,,CHI,L,110,118,41,93,.441,13,31,.419,15,21,.714,10,37,26,11,3,10,19,,45,87,.517,8,22,.364,20,28,.714,16,56,27,6,3,16,16
15,15,2016-11-22,,OKC,W,111,109,42,83,.506,14,27,.519,13,16,.813,6,35,25,8,7,17,17,,45,92,.489,11,27,.407,8,11,.727,11,40,29,11,6,15,14
16,16,2016-11-23,@,GSW,L,106,149,40,93,.430,8,20,.400,18,22,.818,7,37,22,5,1,11,25,,53,86,.616,19,36,.528,24,35,.686,6,48,47,7,5,10,20
17,17,2016-11-25,,GSW,L,85,109,32,90,.356,5,22,.227,16,23,.696,14,45,20,12,3,18,16,,43,83,.518,11,28,.393,12,17,.706,4,44,31,10,10,17,21
18,18,2016-11-27,,ATL,W,109,94,42,95,.442,8,20,.400,17,20,.850,15,53,20,7,2,9,15,,39,88,.443,12,35,.343,4,10,.400,7,38,25,5,6,12,19
19,19,2016-11-29,@,NOP,L,88,105,37,87,.425,5,30,.167,9,18,.500,9,47,26,8,5,12,17,,38,88,.432,8,31,.258,21,25,.840,13,54,24,10,3,8,17
20,20,2016-11-30,@,CHI,W,96,90,33,81,.407,2,8,.250,28,41,.683,18,60,17,12,3,23,24,,32,91,.352,4,21,.190,22,29,.759,14,46,22,15,11,14,26
21,21,2016-12-02,@,TOR,L,80,113,32,93,.344,6,26,.231,10,17,.588,19,46,16,6,2,16,18,,45,83,.542,12,29,.414,11,13,.846,7,44,25,8,5,10,18
22,22,2016-12-03,@,MEM,L,100,103,35,81,.432,7,21,.333,23,29,.793,14,44,16,7,4,18,18,,41,88,.466,10,30,.333,11,15,.733,14,43,32,13,7,11,19
23,23,2016-12-05,,UTA,L,101,107,39,87,.448,5,14,.357,18,23,.783,15,43,15,8,1,10,23,,38,80,.475,13,32,.406,18,29,.621,11,39,26,5,7,12,18
24,24,2016-12-07,@,HOU,L,95,134,34,87,.391,5,20,.250,22,27,.815,14,39,14,13,4,27,22,,51,94,.543,15,36,.417,17,21,.810,15,52,35,20,2,20,22
25,25,2016-12-09,,PHO,L,115,119,40,87,.460,9,26,.346,26,34,.765,10,49,18,4,2,15,21,,45,95,.474,13,30,.433,16,21,.762,9,44,26,8,8,7,24
26,26,2016-12-11,,NYK,L,112,118,42,88,.477,10,28,.357,18,22,.818,9,41,26,7,1,14,22,,41,84,.488,10,22,.455,26,31,.839,8,44,21,9,11,10,15
