Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-10-30,,IND,L,90,95,34,85,.400,5,11,.455,17,21,.810,15,43,17,7,5,15,29,,30,70,.429,10,23,.435,25,30,.833,6,37,19,5,12,16,18
2,2,2013-11-01,@,ORL,L,90,110,32,92,.348,6,12,.500,20,26,.769,17,44,16,7,5,12,21,,39,70,.557,11,22,.500,21,27,.778,5,44,22,11,7,18,19
3,3,2013-11-02,,CHA,W,105,84,37,75,.493,7,13,.538,24,28,.857,8,43,30,10,18,17,26,,30,80,.375,3,21,.143,21,36,.583,14,41,13,8,4,13,22
4,4,2013-11-05,,PHO,L,98,104,37,85,.435,10,18,.556,14,19,.737,8,40,26,12,11,13,20,,39,78,.500,12,25,.480,14,22,.636,7,41,25,10,4,15,20
5,5,2013-11-06,@,MEM,W,99,84,38,78,.487,4,13,.308,19,21,.905,13,39,16,10,5,13,17,,34,71,.479,4,15,.267,12,14,.857,7,29,17,5,5,18,20
6,6,2013-11-08,,LAL,W,96,85,38,87,.437,3,9,.333,17,22,.773,11,50,25,10,8,8,22,,31,80,.388,6,19,.316,17,26,.654,12,48,19,2,4,14,18
7,7,2013-11-10,@,PHO,L,94,101,39,88,.443,4,13,.308,12,13,.923,14,43,20,6,3,15,20,,38,78,.487,7,22,.318,18,23,.783,10,40,14,10,11,14,16
8,8,2013-11-12,@,LAL,L,95,116,34,84,.405,3,10,.300,24,33,.727,9,31,23,11,3,13,20,,44,79,.557,11,20,.550,17,21,.810,9,53,33,7,4,19,31
9,9,2013-11-13,@,UTA,L,105,111,42,85,.494,5,12,.417,16,20,.800,11,34,19,13,3,13,30,,37,72,.514,9,22,.409,28,39,.718,14,44,23,9,7,21,19
10,10,2013-11-16,,PHI,W,135,98,52,86,.605,13,28,.464,18,27,.667,10,43,30,11,17,13,25,,35,83,.422,6,19,.316,22,31,.710,10,38,16,8,2,17,21
11,11,2013-11-20,,UTA,W,105,98,40,79,.506,5,15,.333,20,33,.606,14,44,24,9,13,12,20,,37,83,.446,8,24,.333,16,20,.800,9,37,27,7,7,14,25
12,12,2013-11-22,,CLE,W,104,100,36,88,.409,6,17,.353,26,33,.788,19,48,20,11,6,12,20,,41,77,.532,8,23,.348,10,16,.625,6,37,15,7,5,19,26
13,13,2013-11-25,@,SAS,L,93,112,37,97,.381,2,15,.133,17,20,.850,17,48,21,11,6,15,18,,44,81,.543,10,25,.400,14,19,.737,7,45,30,12,7,19,18
14,14,2013-11-26,,GSW,L,101,102,41,87,.471,9,19,.474,10,13,.769,14,47,22,5,8,16,21,,40,88,.455,7,19,.368,15,21,.714,9,41,25,8,6,10,14
15,15,2013-11-29,@,PHI,W,121,105,51,93,.548,8,20,.400,11,14,.786,10,40,30,13,9,12,21,,42,92,.457,12,31,.387,9,21,.429,18,49,28,6,4,18,19
16,16,2013-12-01,@,NYK,W,103,99,38,77,.494,10,21,.476,17,23,.739,9,32,22,10,1,12,19,,34,76,.447,13,35,.371,18,21,.857,13,42,23,9,9,17,23
17,17,2013-12-02,@,CHI,W,131,128,50,113,.442,11,23,.478,20,27,.741,22,54,25,9,5,11,34,,48,101,.475,8,23,.348,24,34,.706,16,55,34,4,7,16,23
18,18,2013-12-04,,DAL,L,97,100,38,94,.404,7,22,.318,14,15,.933,18,58,21,5,2,16,17,,37,86,.430,11,24,.458,15,22,.682,8,38,25,8,8,7,16
19,19,2013-12-06,,OKC,L,95,109,33,88,.375,3,16,.188,26,34,.765,19,49,19,9,3,16,21,,39,77,.506,7,21,.333,24,30,.800,7,41,20,9,11,14,22
20,20,2013-12-11,,DET,W,111,106,38,84,.452,9,23,.391,26,32,.813,16,51,23,10,7,15,22,,42,96,.438,5,21,.238,17,27,.630,15,43,17,10,6,13,19
21,21,2013-12-13,,MEM,W,104,98,39,76,.513,9,22,.409,17,20,.850,8,31,22,3,5,6,12,,40,80,.500,6,15,.400,12,17,.706,12,42,24,3,2,11,17
22,22,2013-12-15,@,DEN,L,93,102,37,85,.435,7,24,.292,12,19,.632,9,32,23,10,8,13,23,,37,85,.435,7,24,.292,21,28,.750,15,51,23,7,7,16,24
