Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2014-10-28,,DAL,W,101,100,37,70,.529,14,28,.500,13,16,.813,9,38,23,5,3,20,20,,38,78,.487,8,21,.381,16,19,.842,9,33,17,9,3,10,20
2,2,2014-10-31,@,PHO,L,89,94,32,78,.410,8,25,.320,17,23,.739,5,45,20,3,3,12,25,,35,87,.402,2,18,.111,22,26,.846,12,50,15,2,5,7,21
3,3,2014-11-05,,ATL,W,94,92,31,69,.449,5,17,.294,27,38,.711,11,50,25,7,9,19,15,,38,92,.413,8,25,.320,8,11,.727,10,37,26,14,5,13,25
4,4,2014-11-06,@,HOU,L,81,98,31,90,.344,2,20,.100,17,19,.895,12,41,17,12,1,14,24,,34,72,.472,10,27,.370,20,33,.606,8,44,18,7,6,21,20
5,5,2014-11-08,,NOP,L,99,100,36,80,.450,5,18,.278,22,29,.759,17,49,15,4,7,18,17,,40,85,.471,8,21,.381,12,14,.857,6,30,22,11,9,11,20
6,6,2014-11-10,@,LAC,W,89,85,33,83,.398,2,19,.105,21,27,.778,10,39,20,11,4,8,17,,33,74,.446,5,22,.227,14,17,.824,8,44,26,6,8,15,20
7,7,2014-11-11,@,GSW,W,113,100,46,93,.495,10,25,.400,11,15,.733,8,36,28,9,1,8,19,,38,70,.543,7,20,.350,17,20,.850,1,38,23,5,4,19,16
8,8,2014-11-14,@,LAL,W,93,80,33,80,.413,10,23,.435,17,20,.850,7,44,28,9,2,10,23,,28,75,.373,2,12,.167,22,31,.710,11,46,17,6,5,13,13
9,9,2014-11-15,@,SAC,L,91,94,34,80,.425,7,24,.292,16,18,.889,7,38,24,6,8,14,25,,37,86,.430,0,12,.000,20,24,.833,8,42,19,5,6,9,18
10,10,2014-11-17,,PHI,W,100,75,36,81,.444,10,26,.385,18,21,.857,6,52,27,9,8,17,17,,27,83,.325,4,26,.154,17,24,.708,5,39,15,11,4,13,18
11,11,2014-11-19,@,CLE,W,92,90,35,74,.473,5,16,.313,17,25,.680,10,42,26,11,4,15,20,,37,83,.446,7,18,.389,9,13,.692,10,38,23,7,5,16,21
12,12,2014-11-21,@,MIN,W,121,92,46,84,.548,13,21,.619,16,18,.889,14,53,26,6,11,20,22,,37,90,.411,4,13,.308,14,22,.636,11,34,16,12,3,11,17
13,13,2014-11-22,,BRK,W,99,87,41,79,.519,8,21,.381,9,11,.818,6,48,29,7,9,14,9,,34,91,.374,9,27,.333,10,10,1.000,13,44,24,5,5,11,14
14,14,2014-11-26,,IND,W,106,100,41,74,.554,5,15,.333,19,29,.655,8,45,21,8,5,15,20,,40,87,.460,10,21,.476,10,18,.556,7,36,23,9,1,12,23
15,15,2014-11-28,,SAC,W,112,104,42,82,.512,12,24,.500,16,20,.800,4,33,29,8,9,6,19,,38,75,.507,6,10,.600,22,26,.846,8,46,22,4,4,14,20
16,16,2014-11-30,@,BOS,W,111,89,41,85,.482,11,26,.423,18,20,.900,10,45,25,9,5,14,11,,36,87,.414,6,18,.333,11,15,.733,12,42,21,5,5,15,21
17,17,2014-12-01,@,PHI,W,109,103,36,83,.434,9,26,.346,28,35,.800,11,52,25,6,3,14,20,,38,89,.427,12,29,.414,15,25,.600,8,42,22,9,3,10,29
18,18,2014-12-03,@,BRK,L,93,95,36,101,.356,12,32,.375,9,12,.750,18,58,23,5,6,8,19,,37,90,.411,9,19,.474,12,18,.667,9,54,20,2,2,10,10
19,19,2014-12-05,@,MEM,W,107,101,40,84,.476,14,25,.560,13,16,.813,12,44,25,5,8,14,22,,37,80,.463,5,12,.417,22,26,.846,7,37,19,4,7,10,19
20,20,2014-12-06,,MIN,W,123,101,47,82,.573,7,18,.389,22,25,.880,8,43,30,5,6,16,24,,35,83,.422,6,16,.375,25,32,.781,8,33,20,10,2,8,22
21,21,2014-12-09,@,UTA,L,96,100,39,84,.464,4,20,.200,14,23,.609,11,37,23,12,8,13,21,,40,80,.500,4,14,.286,16,22,.727,8,43,18,5,7,18,23
22,22,2014-12-10,,NYK,W,109,95,37,73,.507,10,19,.526,25,30,.833,8,35,22,10,4,9,16,,37,76,.487,6,15,.400,15,17,.882,10,36,22,4,1,17,25
23,23,2014-12-12,,LAL,L,110,112,42,90,.467,12,31,.387,14,21,.667,12,47,23,10,5,19,16,,44,96,.458,12,24,.500,12,15,.800,14,49,27,11,4,14,19
24,24,2014-12-14,@,DEN,W,99,91,34,74,.459,5,16,.313,26,35,.743,11,43,26,9,11,13,20,,34,83,.410,8,16,.500,15,21,.714,15,45,20,10,4,21,29
25,25,2014-12-15,@,POR,L,95,108,38,78,.487,4,11,.364,15,22,.682,9,42,19,5,4,15,21,,41,89,.461,7,18,.389,19,22,.864,11,46,18,8,2,11,19
26,26,2014-12-17,,MEM,L,116,117,43,105,.410,17,35,.486,13,27,.481,19,60,31,6,11,14,16,,48,107,.449,10,27,.370,11,14,.786,13,58,29,12,6,12,27
27,27,2014-12-19,,POR,L,119,129,45,109,.413,8,20,.400,21,26,.808,17,60,24,8,4,16,22,,47,110,.427,13,35,.371,22,23,.957,15,58,18,12,5,14,24
