Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,Off eFG%,Off TOV%,Off ORB%,Off FT/FGA,Def eFG%,Def TOV%,Def DRB%,Def FT/FGA,G,W,L,WIN%,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks*,28.2,48,34,51,31,3.61,-0.12,3.49,105.1,101.4,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.19399999999999998,82,48,34,0.585,19830,3168,6923,0.45799999999999996,815,2326,0.35,2353,4597,0.512,1282,1638,0.7829999999999999,679,2772,3451,2100,747,486,1226,1570,8433
Boston Celtics*,25.2,48,34,50,32,3.21,-0.37,2.84,106.8,103.6,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.20800000000000002,0.48700000000000004,14.6,74.6,0.231,82,48,34,0.585,19780,3216,7318,0.439,717,2142,0.335,2499,5176,0.483,1520,1929,0.7879999999999999,950,2733,3683,1981,752,348,1127,1796,8669
Brooklyn Nets,26.9,21,61,22,60,-7.35,0.24,-7.12,103.2,110.9,95.2,0.24600000000000002,0.218,0.527,0.49200000000000005,13.6,24.1,0.18600000000000003,0.534,13.1,75.7,0.17600000000000002,82,21,61,0.256,19755,3136,6920,0.45299999999999996,531,1508,0.35200000000000004,2605,5412,0.48100000000000004,1286,1699,0.757,863,2614,3477,1829,627,332,1212,1476,8089
Charlotte Hornets*,26.0,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,95.7,0.28,0.348,0.545,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,82,48,34,0.585,19855,3036,6922,0.439,873,2410,0.36200000000000004,2163,4512,0.479,1534,1941,0.79,734,2869,3603,1778,595,438,1030,1487,8479
Chicago Bulls,27.6,42,40,37,45,-1.48,0.01,-1.46,105.0,106.5,95.7,0.24,0.244,0.526,0.48700000000000004,12.6,24.5,0.18899999999999997,0.485,10.7,74.9,0.182,82,42,40,0.512,19905,3165,7170,0.441,651,1753,0.371,2514,5417,0.46399999999999997,1354,1720,0.787,907,2889,3796,1870,495,470,1141,1545,8335
Cleveland Cavaliers*,28.1,57,25,57,25,6.0,-0.55,5.45,110.9,104.5,93.3,0.259,0.35200000000000004,0.5579999999999999,0.524,12.7,25.1,0.19399999999999998,0.496,12.6,78.5,0.205,82,57,25,0.695,19855,3171,6888,0.46,880,2428,0.36200000000000004,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555
Dallas Mavericks*,30.3,42,40,40,42,-0.3,0.29,-0.02,106.7,107.0,94.3,0.265,0.33899999999999997,0.544,0.502,12.0,20.6,0.21100000000000002,0.504,12.8,76.2,0.198,82,42,40,0.512,20005,3064,6900,0.444,806,2342,0.344,2258,4558,0.495,1454,1831,0.794,751,2781,3532,1813,560,306,1047,1595,8388
Denver Nuggets,24.7,33,49,33,49,-3.1,0.29,-2.81,105.6,108.9,95.7,0.282,0.27699999999999997,0.531,0.489,13.2,25.8,0.21600000000000003,0.515,12.6,77.3,0.21600000000000003,82,33,49,0.402,19830,3093,7003,0.442,656,1943,0.33799999999999997,2437,5060,0.48200000000000004,1513,1974,0.7659999999999999,941,2718,3659,1858,609,395,1202,1723,8355
Detroit Pistons*,25.0,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,95.1,0.29600000000000004,0.303,0.522,0.491,12.2,27.0,0.19699999999999998,0.504,12.5,79.3,0.196,82,44,38,0.537,19880,3111,7087,0.439,740,2148,0.345,2371,4939,0.48,1399,2095,0.6679999999999999,1021,2777,3798,1594,573,304,1110,1557,8361
Golden State Warriors*,27.4,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,99.3,0.25,0.36200000000000004,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.20800000000000002,82,73,9,0.89,19880,3489,7159,0.48700000000000004,1077,2592,0.41600000000000004,2412,4567,0.528,1366,1790,0.763,816,2972,3788,2373,689,498,1245,1701,9421
Houston Rockets*,27.8,41,41,42,40,0.2,0.14,0.34,108.3,108.1,97.6,0.35200000000000004,0.37,0.5529999999999999,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.21899999999999997,82,41,41,0.5,19830,3094,6847,0.452,878,2533,0.34700000000000003,2216,4314,0.514,1671,2407,0.6940000000000001,930,2601,3531,1821,821,430,1307,1790,8737
Indiana Pacers*,26.9,45,37,46,36,1.71,-0.09,1.62,104.6,102.9,96.6,0.268,0.27,0.536,0.49700000000000005,13.5,23.4,0.205,0.489,14.3,76.0,0.205,82,45,37,0.5489999999999999,19880,3142,6985,0.45,663,1889,0.35100000000000003,2479,5096,0.486,1430,1872,0.764,847,2779,3626,1741,742,391,1219,1641,8377
