,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2008-09,20,LAC,NBA,C,53,13,14.5,1.8,2.8,.633,0.0,0.0,,1.8,2.8,.633,.633,0.8,2.1,.385,1.4,3.1,4.5,0.2,0.2,1.1,0.8,1.8,4.3
2,2009-10,21,LAC,NBA,C,70,12,16.2,2.1,3.4,.605,0.0,0.0,.000,2.1,3.4,.610,.605,0.7,1.8,.375,1.7,3.3,5.0,0.3,0.2,0.9,1.1,2.2,4.8
3,2010-11,22,LAC,NBA,C,80,66,25.6,2.9,4.3,.686,0.0,0.0,.000,2.9,4.3,.688,.686,1.2,2.7,.452,2.6,4.6,7.2,0.5,0.5,1.8,1.3,3.2,7.1
4,2011-12,23,LAC,NBA,C,66,66,27.2,3.1,4.9,.632,0.0,0.0,.000,3.1,4.9,.634,.632,1.1,2.1,.525,3.1,5.2,8.3,0.3,0.5,2.0,1.1,2.9,7.4
5,2012-13,24,LAC,NBA,C,82,82,24.5,3.8,6.0,.643,0.0,0.0,,3.8,6.0,.643,.643,1.2,3.0,.386,2.6,4.7,7.2,0.3,0.6,1.4,1.2,2.3,8.8
6,2013-14,25,LAC,NBA,C,82,82,35.0,4.2,6.3,.676,0.0,0.0,,4.2,6.3,.676,.676,2.0,4.6,.428,4.0,9.5,13.6,0.9,1.0,2.5,1.5,3.2,10.4
7,2014-15,26,LAC,NBA,C,82,82,34.4,4.6,6.5,.710,0.0,0.0,.250,4.6,6.5,.713,.711,2.3,5.7,.397,4.8,10.1,15.0,0.7,1.0,2.2,1.3,3.0,11.5
8,2015-16,27,LAC,NBA,C,77,77,33.7,4.6,6.6,.703,0.0,0.0,.000,4.6,6.6,.704,.703,3.5,8.0,.430,3.5,10.3,13.8,1.2,0.7,2.3,1.4,2.7,12.7
9,2016-17,28,LAC,NBA,C,81,81,31.7,5.1,7.1,.714,0.0,0.0,.000,5.1,7.1,.717,.714,2.5,5.2,.482,3.7,10.1,13.8,1.2,0.6,1.7,1.4,2.6,12.7
10,Career,,,NBA,,673,561,27.7,3.7,5.5,.677,0.0,0.0,.091,3.7,5.4,.679,.677,1.7,4.1,.430,3.1,7.0,10.1,0.7,0.6,1.8,1.3,2.7,9.1
