,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2007-08,23,ORL,NBA,C,6,0,6.8,1.3,2.8,.471,0.0,0.0,,1.3,2.8,.471,.471,0.3,0.5,.667,1.3,1.3,2.7,0.3,0.2,0.2,0.3,0.7,3.0
2,2008-09,24,ORL,NBA,PF,63,3,12.6,1.7,3.0,.567,0.0,0.0,1.000,1.7,3.0,.565,.570,0.4,0.7,.578,1.5,3.0,4.5,0.2,0.3,0.8,0.4,1.8,3.8
3,2009-10,25,ORL,NBA,C,81,0,13.4,1.5,2.8,.533,0.0,0.0,.000,1.5,2.8,.540,.533,0.6,0.9,.680,1.3,2.9,4.2,0.2,0.2,0.9,0.6,1.7,3.6
4,2010-11,26,TOT,NBA,C,80,14,25.4,4.2,7.5,.561,0.0,0.1,.250,4.2,7.5,.563,.561,1.8,2.4,.725,1.9,6.0,7.9,0.9,0.5,1.1,1.0,2.4,10.2
5,2010-11,26,ORL,NBA,C,25,2,15.8,1.8,3.2,.543,0.0,0.0,,1.8,3.2,.543,.543,0.5,0.7,.667,1.5,3.2,4.7,0.7,0.3,0.8,0.7,2.1,4.0
6,2010-11,26,PHO,NBA,C,55,12,29.7,5.3,9.5,.563,0.0,0.1,.250,5.3,9.4,.566,.564,2.3,3.2,.731,2.0,7.3,9.3,1.0,0.5,1.3,1.2,2.5,13.0
7,2011-12,27,PHO,NBA,C,66,66,32.0,6.5,11.7,.555,0.0,0.0,.000,6.5,11.6,.557,.555,2.5,3.8,.649,2.8,7.2,10.0,0.9,0.7,1.5,1.4,2.2,15.4
8,2012-13,28,PHO,NBA,C,61,61,30.8,4.8,9.3,.521,0.0,0.0,.000,4.8,9.2,.524,.521,1.5,2.3,.652,2.1,6.4,8.5,1.2,0.7,1.6,1.6,2.1,11.1
9,2013-14,29,WAS,NBA,C,81,80,32.8,5.6,10.4,.542,0.0,0.0,1.000,5.6,10.4,.541,.542,1.9,2.8,.686,2.5,7.0,9.5,1.7,0.5,1.5,1.6,2.5,13.2
10,2014-15,30,WAS,NBA,C,82,82,29.9,5.4,9.5,.566,0.0,0.0,.000,5.4,9.4,.569,.566,1.5,2.1,.703,2.2,6.5,8.7,1.2,0.6,1.3,1.2,2.3,12.2
11,2015-16,31,WAS,NBA,C,75,74,30.1,5.8,10.2,.567,0.0,0.0,.000,5.8,10.2,.567,.567,1.9,2.8,.705,3.0,6.9,9.9,1.4,0.6,1.3,1.6,2.6,13.5
12,2016-17,32,WAS,NBA,C,82,82,31.2,4.8,8.2,.579,0.0,0.0,.000,4.8,8.2,.580,.579,1.3,1.9,.648,2.9,7.5,10.4,1.5,0.5,0.8,1.4,2.6,10.8
13,Career,,,NBA,,677,462,26.4,4.4,8.0,.556,0.0,0.0,.150,4.4,8.0,.557,.556,1.5,2.2,.679,2.2,5.9,8.2,1.0,0.5,1.2,1.2,2.2,10.4
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4 seasons,,WAS,NBA,,320,318,31.0,5.4,9.5,.562,0.0,0.0,.143,5.4,9.5,.563,.563,1.7,2.4,.687,2.6,7.0,9.6,1.4,0.6,1.2,1.5,2.5,12.4
16,3 seasons,,PHO,NBA,,182,139,30.9,5.6,10.2,.547,0.0,0.0,.111,5.6,10.2,.549,.547,2.1,3.1,.676,2.3,7.0,9.3,1.0,0.6,1.5,1.4,2.2,13.3
17,4 seasons,,ORL,NBA,,175,5,13.3,1.6,2.9,.545,0.0,0.0,.250,1.6,2.9,.547,.546,0.5,0.8,.645,1.4,2.9,4.3,0.3,0.2,0.8,0.5,1.7,3.7
