,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2003-04,22,PHI,NBA,SF,74,0,11.9,1.6,4.4,.352,1.1,2.8,.391,0.5,1.6,.283,.476,0.3,0.3,.792,0.4,1.1,1.5,0.5,0.3,0.1,0.6,1.4,4.5
2,2004-05,23,PHI,NBA,SF,82,57,32.5,3.9,9.3,.418,2.8,6.8,.405,1.1,2.5,.453,.567,1.0,1.2,.854,0.5,4.1,4.6,2.2,1.3,0.4,1.3,3.2,11.5
3,2005-06,24,PHI,NBA,SF,82,43,31.3,4.0,9.3,.430,2.2,5.3,.420,1.7,3.9,.443,.551,1.2,1.5,.849,0.3,3.0,3.3,2.0,0.8,0.3,1.2,2.7,11.5
4,2006-07,25,PHI,NBA,SF,74,1,30.9,5.0,11.4,.440,1.8,4.1,.430,3.2,7.3,.446,.518,2.6,2.8,.914,0.4,3.1,3.5,1.4,0.8,0.3,1.6,2.5,14.4
5,2007-08,26,TOT,NBA,SG-PF,75,0,23.1,3.4,7.7,.443,1.5,3.9,.375,1.9,3.7,.516,.540,1.6,1.7,.915,0.3,2.0,2.3,1.3,0.6,0.4,1.0,2.6,9.9
6,2007-08,26,PHI,NBA,PF,25,0,26.3,3.6,9.1,.396,1.5,4.3,.352,2.1,4.8,.437,.480,1.2,1.4,.912,0.5,2.4,2.9,1.3,0.8,0.2,1.1,2.7,10.0
7,2007-08,26,UTA,NBA,SG,50,0,21.5,3.3,7.0,.474,1.5,3.8,.388,1.8,3.2,.575,.579,1.8,1.9,.917,0.2,1.8,2.0,1.4,0.4,0.5,0.9,2.5,9.8
8,2008-09,27,UTA,NBA,SF,78,2,24.0,3.1,7.2,.438,1.3,3.4,.386,1.8,3.8,.485,.529,1.4,1.6,.882,0.4,2.9,3.3,1.8,0.6,0.4,1.2,2.2,9.0
9,2009-10,28,UTA,NBA,SG,52,0,18.3,2.7,5.4,.493,1.1,2.1,.536,1.5,3.3,.465,.598,0.8,0.9,.796,0.2,1.9,2.1,1.7,0.5,0.2,0.8,1.5,7.2
10,2010-11,29,CHI,NBA,SG,82,0,20.1,3.0,6.8,.434,1.5,3.5,.415,1.5,3.3,.455,.542,0.9,1.1,.885,0.1,1.7,1.8,1.5,0.4,0.2,0.7,1.9,8.3
11,2011-12,30,CHI,NBA,SG,65,7,22.6,2.7,6.3,.432,1.8,4.2,.435,0.9,2.2,.426,.575,0.8,1.0,.833,0.4,2.0,2.4,1.7,0.6,0.2,0.8,1.7,8.1
12,2012-13,31,ATL,NBA,SF,74,60,30.5,3.7,8.1,.461,2.6,5.6,.457,1.2,2.5,.471,.618,0.9,1.1,.859,0.3,3.6,4.0,2.0,0.9,0.5,0.9,2.3,10.9
13,2013-14,32,ATL,NBA,SG,71,71,33.9,4.1,8.6,.475,2.6,5.5,.472,1.5,3.1,.479,.626,1.2,1.3,.926,0.3,3.7,4.0,2.9,1.0,0.3,1.4,2.1,12.0
14,2014-15,33,ATL,NBA,SG,75,75,32.2,3.9,8.0,.487,2.9,6.0,.492,0.9,2.0,.470,.671,1.4,1.6,.898,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1
15,2015-16,34,ATL,NBA,SG,80,80,30.0,3.4,7.7,.435,2.0,5.0,.398,1.4,2.7,.502,.563,0.6,0.7,.833,0.2,3.1,3.3,2.1,0.8,0.4,1.2,2.0,9.2
16,2016-17,35,TOT,NBA,SG,67,22,26.2,3.6,7.7,.464,2.4,5.4,.451,1.1,2.3,.494,.621,0.6,0.6,.905,0.1,2.7,2.8,1.6,0.5,0.3,1.0,1.6,10.1
17,2016-17,35,ATL,NBA,SG,32,21,27.9,3.4,7.7,.439,2.0,5.0,.409,1.3,2.7,.494,.571,0.8,0.8,.889,0.0,2.8,2.8,2.3,0.7,0.4,1.3,1.5,9.5
18,2016-17,35,CLE,NBA,SG,35,1,24.5,3.7,7.7,.487,2.8,5.7,.485,1.0,2.0,.493,.667,0.4,0.4,.933,0.2,2.6,2.8,1.0,0.3,0.2,0.8,1.7,10.7
19,Career,,,NBA,,1031,418,26.5,3.4,7.8,.443,2.0,4.6,.431,1.5,3.2,.461,.571,1.1,1.3,.880,0.3,2.8,3.1,1.8,0.7,0.3,1.1,2.1,10.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5 seasons,,PHI,NBA,,337,101,26.9,3.6,8.7,.418,2.0,4.8,.409,1.7,3.9,.430,.532,1.3,1.4,.880,0.4,2.8,3.2,1.6,0.8,0.3,1.2,2.5,10.5
22,5 seasons,,ATL,NBA,,332,307,31.3,3.7,8.0,.462,2.5,5.5,.452,1.3,2.6,.483,.615,1.0,1.1,.887,0.2,3.5,3.7,2.4,0.8,0.5,1.3,2.0,10.9
23,3 seasons,,UTA,NBA,,180,2,21.7,3.0,6.6,.461,1.3,3.1,.416,1.7,3.5,.502,.560,1.3,1.5,.879,0.3,2.3,2.6,1.6,0.5,0.4,1.0,2.1,8.7
24,2 seasons,,CHI,NBA,,147,7,21.2,2.9,6.6,.433,1.6,3.8,.425,1.2,2.8,.445,.556,0.9,1.0,.863,0.3,1.8,2.1,1.6,0.5,0.2,0.8,1.8,8.2
25,1 season,,CLE,NBA,,35,1,24.5,3.7,7.7,.487,2.8,5.7,.485,1.0,2.0,.493,.667,0.4,0.4,.933,0.2,2.6,2.8,1.0,0.3,0.2,0.8,1.7,10.7
