,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2012-13,22,POR,NBA,SG,73,5,12.2,1.6,4.2,.382,0.1,0.9,.138,1.5,3.3,.447,.396,0.7,0.9,.769,0.5,1.5,2.0,0.8,0.5,0.1,0.8,0.8,4.0
2,2013-14,23,POR,NBA,SG,41,0,9.4,1.6,3.8,.417,0.2,0.8,.303,1.3,3.0,.447,.449,0.6,0.8,.813,0.4,1.4,1.8,0.8,0.2,0.2,0.4,0.8,4.0
3,2014-15,24,TOT,NBA,SG,58,0,16.9,2.6,6.1,.425,0.4,1.5,.271,2.2,4.6,.474,.458,1.3,1.6,.787,0.4,2.3,2.8,1.4,0.8,0.3,1.1,1.2,6.8
4,2014-15,24,POR,NBA,SG,30,0,10.0,1.3,3.3,.380,0.1,0.6,.222,1.1,2.7,.415,.400,0.3,0.5,.667,0.1,1.0,1.1,0.9,0.5,0.1,0.6,0.7,3.0
5,2014-15,24,DEN,NBA,SG,28,0,24.4,4.0,9.0,.443,0.7,2.4,.284,3.3,6.6,.500,.480,2.3,2.8,.810,0.8,3.8,4.6,1.9,1.2,0.5,1.6,1.8,11.0
6,2015-16,25,DEN,NBA,SG,82,1,28.7,5.2,12.0,.432,1.4,4.0,.345,3.8,8.0,.476,.489,2.6,3.3,.806,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4
7,2016-17,26,DEN,NBA,SG,60,19,28.4,4.9,11.1,.443,1.5,3.9,.370,3.5,7.2,.483,.508,2.4,3.2,.753,1.0,3.3,4.3,3.4,0.8,0.5,1.6,1.8,13.7
8,Career,,,NBA,,314,25,20.1,3.4,7.9,.427,0.8,2.4,.324,2.6,5.5,.471,.476,1.6,2.1,.784,0.6,2.9,3.6,1.9,0.7,0.3,1.2,1.3,9.1
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,DEN,NBA,,170,20,27.9,4.9,11.2,.437,1.3,3.7,.348,3.6,7.5,.482,.495,2.5,3.2,.788,0.8,4.2,5.1,2.7,0.9,0.5,1.6,1.8,13.6
11,3 seasons,,POR,NBA,,144,5,11.0,1.5,3.9,.391,0.2,0.8,.198,1.4,3.1,.441,.412,0.6,0.8,.768,0.4,1.4,1.8,0.8,0.4,0.1,0.7,0.7,3.8
