,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2010-11,21,SAC,NBA,C,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2,2011-12,22,SAC,NBA,C,18,0,6.1,0.7,1.5,.444,0.0,0.0,,0.7,1.5,.444,.444,0.3,0.7,.417,0.9,1.3,2.2,0.0,0.2,0.8,0.3,0.7,1.6
3,2012-13,23,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013-14,24,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2014-15,25,MIA,NBA,C,48,32,23.8,5.1,8.1,.628,0.0,0.0,,5.1,8.1,.628,.628,1.6,3.3,.500,3.0,7.0,10.0,0.1,0.6,2.6,1.2,2.7,11.8
6,2015-16,26,MIA,NBA,C,73,43,29.1,5.7,9.3,.606,0.0,0.0,,5.7,9.3,.606,.606,2.9,4.5,.650,3.3,8.6,11.8,0.4,0.6,3.7,1.9,2.8,14.2
7,2016-17,27,MIA,NBA,C,77,77,32.6,7.0,12.6,.557,0.0,0.0,,7.0,12.6,.557,.557,2.9,4.6,.628,3.8,10.3,14.1,0.7,0.7,2.1,2.0,2.9,17.0
8,Career,,,NBA,,217,152,27.1,5.6,9.5,.585,0.0,0.0,,5.6,9.5,.585,.585,2.4,3.9,.611,3.2,8.2,11.4,0.4,0.6,2.6,1.6,2.6,13.6
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,MIA,NBA,,198,152,29.2,6.1,10.3,.587,0.0,0.0,,6.1,10.3,.587,.587,2.6,4.3,.613,3.4,8.9,12.3,0.5,0.6,2.8,1.8,2.8,14.7
11,2 seasons,,SAC,NBA,,19,0,5.8,0.6,1.4,.444,0.0,0.0,,0.6,1.4,.444,.444,0.3,0.6,.417,0.8,1.2,2.1,0.0,0.2,0.8,0.3,0.7,1.5
