,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2010-11,22,GSW,NBA,PG,29,0,9.8,1.0,2.5,.389,0.0,0.2,.200,0.9,2.3,.403,.396,0.7,0.9,.760,0.4,0.8,1.2,1.4,1.1,0.3,0.6,1.1,2.6
2,2011-12,23,NYK,NBA,PG,35,25,26.9,4.9,10.9,.446,0.7,2.1,.320,4.2,8.8,.477,.478,4.2,5.2,.798,0.5,2.5,3.1,6.2,1.6,0.3,3.6,2.2,14.6
3,2012-13,24,HOU,NBA,PG,82,82,32.2,4.8,10.9,.441,1.1,3.1,.339,3.8,7.8,.483,.490,2.6,3.4,.785,0.4,2.6,3.0,6.1,1.6,0.4,2.9,2.5,13.4
4,2013-14,25,HOU,NBA,PG,71,33,28.9,4.2,9.3,.446,1.2,3.2,.358,3.0,6.1,.492,.508,3.1,3.7,.823,0.5,2.2,2.6,4.1,1.0,0.4,2.5,2.3,12.5
5,2014-15,26,LAL,NBA,PG,74,30,25.8,3.7,8.8,.424,0.9,2.4,.369,2.9,6.5,.444,.473,2.9,3.6,.795,0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2
6,2015-16,27,CHO,NBA,SG,78,13,26.3,3.8,9.3,.412,1.0,2.9,.336,2.9,6.4,.446,.464,3.1,3.7,.815,0.5,2.7,3.2,3.0,0.7,0.5,1.9,2.1,11.7
7,2016-17,28,BRK,NBA,PG,36,33,24.5,4.9,11.1,.438,1.6,4.3,.372,3.3,6.8,.480,.510,3.2,3.9,.816,0.3,3.4,3.8,5.1,1.1,0.4,2.4,2.2,14.5
8,Career,,,NBA,,405,216,26.6,4.1,9.4,.433,1.0,2.8,.350,3.1,6.6,.467,.484,2.9,3.6,.804,0.4,2.4,2.9,4.5,1.2,0.4,2.4,2.3,12.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,HOU,NBA,,153,115,30.7,4.5,10.2,.443,1.1,3.2,.348,3.4,7.0,.486,.497,2.8,3.5,.804,0.4,2.4,2.8,5.2,1.3,0.4,2.7,2.4,13.0
11,1 season,,CHO,NBA,,78,13,26.3,3.8,9.3,.412,1.0,2.9,.336,2.9,6.4,.446,.464,3.1,3.7,.815,0.5,2.7,3.2,3.0,0.7,0.5,1.9,2.1,11.7
12,1 season,,LAL,NBA,,74,30,25.8,3.7,8.8,.424,0.9,2.4,.369,2.9,6.5,.444,.473,2.9,3.6,.795,0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2
13,1 season,,BRK,NBA,,36,33,24.5,4.9,11.1,.438,1.6,4.3,.372,3.3,6.8,.480,.510,3.2,3.9,.816,0.3,3.4,3.8,5.1,1.1,0.4,2.4,2.2,14.5
14,1 season,,NYK,NBA,,35,25,26.9,4.9,10.9,.446,0.7,2.1,.320,4.2,8.8,.477,.478,4.2,5.2,.798,0.5,2.5,3.1,6.2,1.6,0.3,3.6,2.2,14.6
15,1 season,,GSW,NBA,,29,0,9.8,1.0,2.5,.389,0.0,0.2,.200,0.9,2.3,.403,.396,0.7,0.9,.760,0.4,0.8,1.2,1.4,1.1,0.3,0.6,1.1,2.6
