,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2009-10,23,UTA,NBA,SG,82,48,24.7,3.3,6.9,.483,0.8,2.0,.382,2.6,4.9,.525,.539,2.0,2.4,.829,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1.9,9.4
2,2010-11,24,POR,NBA,SG,82,69,33.6,5.4,11.9,.449,1.9,4.6,.407,3.5,7.3,.476,.528,3.2,3.8,.844,0.6,2.6,3.1,2.0,1.2,0.1,1.7,2.4,15.9
3,2011-12,25,POR,NBA,SG,66,53,33.8,4.8,11.6,.412,2.0,5.1,.383,2.8,6.5,.434,.496,2.2,2.6,.860,0.8,2.5,3.4,1.7,1.5,0.2,1.1,2.2,13.7
4,2012-13,26,POR,NBA,SG,69,69,34.8,5.1,11.7,.436,2.4,6.2,.398,2.7,5.6,.478,.540,2.2,2.7,.797,0.5,2.3,2.8,2.5,1.3,0.3,1.6,2.5,14.8
5,2013-14,27,POR,NBA,SG,82,82,33.9,5.4,12.3,.441,2.5,6.2,.393,3.0,6.1,.490,.541,3.1,3.7,.837,0.6,2.9,3.5,2.4,0.9,0.2,1.3,2.1,16.4
6,2014-15,28,POR,NBA,SG,60,60,33.7,5.6,12.5,.448,2.9,7.4,.389,2.7,5.1,.534,.563,1.8,2.4,.752,0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2,15.9
7,2015-16,29,DAL,NBA,SF,78,78,33.9,4.2,10.9,.388,2.4,6.7,.360,1.8,4.2,.432,.498,1.6,1.9,.863,0.3,2.7,3.1,1.9,1.0,0.2,1.0,2.3,12.5
8,2016-17,30,DAL,NBA,SG,73,73,34.2,4.6,11.6,.393,2.4,6.6,.363,2.2,5.0,.432,.496,2.0,2.5,.816,0.2,3.3,3.5,2.9,1.1,0.2,1.4,2.2,13.5
9,Career,,,NBA,,592,532,32.7,4.8,11.1,.430,2.1,5.5,.383,2.7,5.6,.475,.525,2.3,2.8,.828,0.5,2.6,3.2,2.1,1.1,0.2,1.3,2.2,13.9
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5 seasons,,POR,NBA,,359,333,34.0,5.3,12.0,.438,2.3,5.8,.394,3.0,6.2,.479,.534,2.6,3.1,.825,0.6,2.7,3.3,2.2,1.2,0.2,1.4,2.3,15.4
12,2 seasons,,DAL,NBA,,151,151,34.0,4.4,11.3,.390,2.4,6.6,.362,2.0,4.6,.432,.497,1.8,2.2,.837,0.3,3.0,3.3,2.4,1.0,0.2,1.2,2.3,13.0
13,1 season,,UTA,NBA,,82,48,24.7,3.3,6.9,.483,0.8,2.0,.382,2.6,4.9,.525,.539,2.0,2.4,.829,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1.9,9.4
